algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
Remote IBE-KEM-MPK 128,203.934259,106.460814,0.010940,2.004462,0.010940
Remote IBE-KEM-MPK 128,196.234915,100.249246,0.011750,2.287775,0.011750
Remote IBE-KEM-MPK 128,198.211476,100.978394,0.006060,2.243414,0.006060
Remote IBE-KEM-MPK 128,197.936693,100.653530,0.007790,2.073403,0.007790
Remote IBE-KEM-MPK 128,196.691248,100.020153,0.010620,2.002472,0.010620
Remote IBE-KEM-MPK 128,198.393210,101.207575,0.011400,2.405185,0.011400
Remote IBE-KEM-MPK 128,200.676697,102.790923,0.015080,2.652959,0.015080
Remote IBE-KEM-MPK 128,197.942571,100.709879,0.012130,2.097342,0.012130
Remote IBE-KEM-MPK 128,197.764941,100.621348,0.040960,2.037712,0.040960
Remote IBE-KEM-MPK 128,195.547898,99.443675,0.049561,1.990522,0.049561
Remote IBE-KEM-MPK 128,198.305086,100.757190,0.011010,2.069832,0.011010
Remote IBE-KEM-MPK 128,198.385354,100.953052,0.015210,2.139503,0.015210
Remote IBE-KEM-MPK 128,195.042187,99.218002,0.010750,2.010272,0.010750
Remote IBE-KEM-MPK 128,198.221242,100.959921,0.011720,2.278315,0.011720
Remote IBE-KEM-MPK 128,198.633106,100.873580,0.013660,2.145603,0.013660
Remote IBE-KEM-MPK 128,198.367092,101.986642,0.018700,2.884611,0.018700
Remote IBE-KEM-MPK 128,197.693507,101.304735,0.011250,2.224584,0.011250
Remote IBE-KEM-MPK 128,198.470724,101.180723,0.008030,2.353866,0.008030
Remote IBE-KEM-MPK 128,197.824914,100.882699,0.014400,2.187894,0.014400
Remote IBE-KEM-MPK 128,195.993867,99.877500,0.008070,2.160074,0.008070
Remote IBE-KEM-MPK 128,195.807233,99.709666,0.011500,2.225184,0.011500
Remote IBE-KEM-MPK 128,197.204528,100.252462,0.009580,2.033832,0.009580
Remote IBE-KEM-MPK 128,197.572771,100.828088,0.009010,2.365685,0.009010
Remote IBE-KEM-MPK 128,196.710923,100.432825,0.010311,2.294725,0.010311
Remote IBE-KEM-MPK 128,196.753984,100.707386,0.011820,2.520037,0.011820
Remote IBE-KEM-MPK 128,195.837209,99.794127,0.013430,2.049903,0.013430
Remote IBE-KEM-MPK 128,196.173936,99.818287,0.013890,2.047902,0.013890
Remote IBE-KEM-MPK 128,197.714852,100.694466,0.011630,2.063543,0.011630
Remote IBE-KEM-MPK 128,198.089623,100.704727,0.011390,2.166634,0.011390
Remote IBE-KEM-MPK 128,196.895283,100.443223,0.009980,2.632918,0.009980
Remote IBE-KEM-MPK 128,195.818421,99.774135,0.010880,2.084483,0.010880
Remote IBE-KEM-MPK 128,200.470605,102.375874,0.012150,2.045272,0.012150
Remote IBE-KEM-MPK 128,197.300027,100.523684,0.043310,2.244335,0.043310
Remote IBE-KEM-MPK 128,196.933423,100.429763,0.036200,1.978291,0.036200
Remote IBE-KEM-MPK 128,196.400466,99.995978,0.009650,2.226894,0.009650
Remote IBE-KEM-MPK 128,196.871767,100.306481,0.012780,2.053002,0.012780
Remote IBE-KEM-MPK 128,195.268933,99.647564,0.011370,1.938581,0.011370
Remote IBE-KEM-MPK 128,198.227896,101.400293,0.011270,2.365576,0.011270
Remote IBE-KEM-MPK 128,197.502600,101.449043,0.012160,2.912681,0.012160
Remote IBE-KEM-MPK 128,197.448341,100.497233,0.011161,2.114883,0.011161
Remote IBE-KEM-MPK 128,198.050992,100.833545,0.012780,2.181953,0.012780
Remote IBE-KEM-MPK 128,196.379455,99.991497,0.011580,2.052102,0.011580
Remote IBE-KEM-MPK 128,196.467355,100.129498,0.011700,2.205234,0.011700
Remote IBE-KEM-MPK 128,197.816919,100.694684,0.012350,2.043522,0.012350
Remote IBE-KEM-MPK 128,197.004980,100.224999,0.010140,2.324385,0.010140
Remote IBE-KEM-MPK 128,196.566825,100.522362,0.011480,2.607607,0.011480
Remote IBE-KEM-MPK 128,198.412016,101.252830,0.011441,2.393606,0.011441
Remote IBE-KEM-MPK 128,196.271812,99.902775,0.011280,2.072553,0.011280
Remote IBE-KEM-MPK 128,198.082392,100.717125,0.011070,2.165204,0.011070
Remote IBE-KEM-MPK 128,196.531526,100.167458,0.010491,2.178734,0.010491
Remote IBE-KEM-MPK 128,196.126066,100.131438,0.011940,2.796141,0.011940
Remote IBE-KEM-MPK 128,196.750947,100.020207,0.011370,2.007852,0.011370
Remote IBE-KEM-MPK 128,198.428425,101.426422,0.016671,2.104793,0.016671
Remote IBE-KEM-MPK 128,194.748285,98.913185,0.010220,1.842610,0.010220
Remote IBE-KEM-MPK 128,198.357814,101.110247,0.011460,2.340026,0.011460
Remote IBE-KEM-MPK 128,196.994358,100.275969,0.010920,2.039842,0.010920
Remote IBE-KEM-MPK 128,195.076587,99.243797,0.014830,2.015280,0.014830
Remote IBE-KEM-MPK 128,197.368198,100.498831,0.016521,2.236754,0.016521
Remote IBE-KEM-MPK 128,199.693367,101.660773,0.008870,2.263133,0.008870
Remote IBE-KEM-MPK 128,198.008208,100.934194,0.010490,2.464837,0.010490
Remote IBE-KEM-MPK 128,199.980291,101.948607,0.012320,2.500607,0.012320
Remote IBE-KEM-MPK 128,199.415823,101.666433,0.006860,1.928671,0.006860
Remote IBE-KEM-MPK 128,201.723829,104.839018,0.010720,2.079223,0.010720
Remote IBE-KEM-MPK 128,198.349635,100.901255,0.010630,1.991361,0.010630
Remote IBE-KEM-MPK 128,195.538502,99.712442,0.010500,2.460127,0.010500
Remote IBE-KEM-MPK 128,198.185540,100.933605,0.010750,2.003892,0.010750
Remote IBE-KEM-MPK 128,199.646038,101.698274,0.039350,2.224145,0.039350
Remote IBE-KEM-MPK 128,196.987317,100.589741,0.023140,2.615068,0.023140
Remote IBE-KEM-MPK 128,198.613263,100.933164,0.058970,2.365605,0.058970
Remote IBE-KEM-MPK 128,197.962200,101.066226,0.012530,2.589208,0.012530
Remote IBE-KEM-MPK 128,196.610532,100.263397,0.010560,2.391396,0.010560
Remote IBE-KEM-MPK 128,198.560484,101.189998,0.054591,2.326766,0.054591
Remote IBE-KEM-MPK 128,196.366181,100.323989,0.010281,2.166924,0.010281
Remote IBE-KEM-MPK 128,198.759669,101.427690,0.015180,2.196514,0.015180
Remote IBE-KEM-MPK 128,198.258440,100.980726,0.013510,1.986142,0.013510
Remote IBE-KEM-MPK 128,197.842665,100.844674,0.010170,2.380336,0.010170
Remote IBE-KEM-MPK 128,197.876965,100.776052,0.012020,2.136333,0.012020
Remote IBE-KEM-MPK 128,201.346297,103.834816,0.016960,2.078143,0.016960
Remote IBE-KEM-MPK 128,197.585662,100.619430,0.012590,2.183723,0.012590
Remote IBE-KEM-MPK 128,197.164597,100.719362,0.009120,2.287415,0.009120
Remote IBE-KEM-MPK 128,197.643902,100.783322,0.006820,1.942451,0.006820
Remote IBE-KEM-MPK 128,196.543890,100.036394,0.035430,2.121373,0.035430
Remote IBE-KEM-MPK 128,198.202968,100.757572,0.010650,2.088142,0.010650
Remote IBE-KEM-MPK 128,197.798242,100.774441,0.010590,2.362045,0.010590
Remote IBE-KEM-MPK 128,199.566754,101.512501,0.008690,2.241215,0.008690
Remote IBE-KEM-MPK 128,196.846988,100.535680,0.011230,2.175754,0.011230
Remote IBE-KEM-MPK 128,199.551642,101.899934,0.010670,2.109123,0.010670
Remote IBE-KEM-MPK 128,197.662782,100.638981,0.012300,2.214965,0.012300
Remote IBE-KEM-MPK 128,197.971285,100.882193,0.010470,2.288214,0.010470
Remote IBE-KEM-MPK 128,197.677612,101.573540,0.013210,2.034262,0.013210
Remote IBE-KEM-MPK 128,198.565392,101.296698,0.010130,2.278345,0.010130
Remote IBE-KEM-MPK 128,199.718693,101.927844,0.010550,2.756079,0.010550
Remote IBE-KEM-MPK 128,197.592120,100.562429,0.009990,2.037512,0.009990
Remote IBE-KEM-MPK 128,197.924364,100.944693,0.012100,2.073472,0.012100
Remote IBE-KEM-MPK 128,197.421639,101.315418,0.010340,2.623109,0.010340
Remote IBE-KEM-MPK 128,196.750609,100.171905,0.011830,2.037852,0.011830
Remote IBE-KEM-MPK 128,197.123695,100.252115,0.010750,1.917460,0.010750
Remote IBE-KEM-MPK 128,199.780123,102.594480,0.016690,2.787169,0.016690
Remote IBE-KEM-MPK 128,195.797860,99.945492,0.008930,2.373836,0.008930
Remote IBE-KEM-MPK 128,196.763661,100.322716,0.011750,2.352315,0.011750
Remote IBE-KEM-MPK 128,198.238636,100.997623,0.010790,2.161564,0.010790
Remote IBE-KEM-MPK 128,200.161376,102.083614,0.011081,2.437146,0.011081
Remote IBE-KEM-MPK 128,197.920712,101.063324,0.010020,2.826061,0.010020
Remote IBE-KEM-MPK 128,197.775681,100.720490,0.019790,2.260955,0.019790
Remote IBE-KEM-MPK 128,195.935271,99.695900,0.011530,2.075153,0.011530
Remote IBE-KEM-MPK 128,197.030134,100.487428,0.011561,2.379196,0.011561
Remote IBE-KEM-MPK 128,197.404536,100.458847,0.016980,2.008481,0.016980
Remote IBE-KEM-MPK 128,199.903214,101.594730,0.011240,2.094343,0.011240
Remote IBE-KEM-MPK 128,197.531658,101.182305,0.015311,2.764760,0.015311
Remote IBE-KEM-MPK 128,198.423628,101.359397,0.013291,2.355156,0.013291
Remote IBE-KEM-MPK 128,197.519138,100.593979,0.009921,2.098242,0.009921
Remote IBE-KEM-MPK 128,196.319405,100.054784,0.011560,2.049113,0.011560
Remote IBE-KEM-MPK 128,198.386138,100.977722,0.011380,2.275365,0.011380
Remote IBE-KEM-MPK 128,196.799890,100.236625,0.010220,1.991521,0.010220
Remote IBE-KEM-MPK 128,198.173305,100.893483,0.011390,2.142073,0.011390
Remote IBE-KEM-MPK 128,197.183114,100.516228,0.011580,2.030652,0.011580
Remote IBE-KEM-MPK 128,195.965821,99.717209,0.011400,2.265275,0.011400
Remote IBE-KEM-MPK 128,198.626840,101.389928,0.047120,2.552978,0.047120
Remote IBE-KEM-MPK 128,196.268574,99.971012,0.013020,2.255455,0.013020
Remote IBE-KEM-MPK 128,196.693763,99.960422,0.010180,2.284485,0.010180
Remote IBE-KEM-MPK 128,198.304355,101.201575,0.010890,2.365544,0.010890
Remote IBE-KEM-MPK 128,197.763450,100.823900,0.013780,2.315845,0.013780
Remote IBE-KEM-MPK 128,197.583658,100.281075,0.008921,1.967792,0.008921
Remote IBE-KEM-MPK 128,196.106787,99.918372,0.011120,2.463996,0.011120
Remote IBE-KEM-MPK 128,198.583569,101.531588,0.011530,2.541538,0.011530
Remote IBE-KEM-MPK 128,199.537990,101.671631,0.014890,1.950121,0.014890
Remote IBE-KEM-MPK 128,200.073846,102.082015,0.014821,2.568697,0.014821
Remote IBE-KEM-MPK 128,196.777249,100.489417,0.020590,2.315595,0.020590
Remote IBE-KEM-MPK 128,198.518478,101.230976,0.061921,2.478977,0.061921
Remote IBE-KEM-MPK 128,196.747988,100.523038,0.040270,2.634889,0.040270
Remote IBE-KEM-MPK 128,197.466317,100.835251,0.011070,2.209834,0.011070
Remote IBE-KEM-MPK 128,199.342668,101.288907,0.012110,2.054953,0.012110
Remote IBE-KEM-MPK 128,196.495337,100.025032,0.008290,2.084232,0.008290
Remote IBE-KEM-MPK 128,198.737370,101.598989,0.011980,2.521398,0.011980
Remote IBE-KEM-MPK 128,199.768240,102.647990,0.033270,2.011072,0.033270
