algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
Remote IBE-KEM 128,198.765323,101.186776,0.010520,2.044892,0.010520
Remote IBE-KEM 128,197.399862,100.164125,0.008390,1.868780,0.008390
Remote IBE-KEM 128,195.846490,100.043033,0.010690,2.631889,0.010690
Remote IBE-KEM 128,198.041235,100.810121,0.010990,2.115774,0.010990
Remote IBE-KEM 128,198.000963,101.063454,0.010890,2.550248,0.010890
Remote IBE-KEM 128,198.873723,101.420428,0.010230,2.413167,0.010230
Remote IBE-KEM 128,196.747420,100.184174,0.009450,2.213464,0.009450
Remote IBE-KEM 128,197.691909,100.600289,0.010981,2.113883,0.010981
Remote IBE-KEM 128,195.891776,99.596857,0.011790,2.167243,0.011790
Remote IBE-KEM 128,197.538147,100.551938,0.010620,2.194964,0.010620
Remote IBE-KEM 128,197.821349,100.713190,0.011521,2.257975,0.011521
Remote IBE-KEM 128,197.939109,100.866710,0.021600,2.026292,0.021600
Remote IBE-KEM 128,195.447651,99.371394,0.010010,1.999482,0.010010
Remote IBE-KEM 128,197.377921,100.259894,0.010560,2.081923,0.010560
Remote IBE-KEM 128,197.181631,100.150132,0.011380,2.043142,0.011380
Remote IBE-KEM 128,196.484593,99.791509,0.011910,1.999272,0.011910
Remote IBE-KEM 128,196.127206,99.687707,0.008501,1.920390,0.008501
Remote IBE-KEM 128,197.445074,100.435585,0.010970,2.079973,0.010970
Remote IBE-KEM 128,197.883298,100.576486,0.007370,2.087692,0.007370
Remote IBE-KEM 128,195.663303,99.671836,0.011011,2.056863,0.011011
Remote IBE-KEM 128,196.235359,99.817118,0.010960,2.120072,0.010960
Remote IBE-KEM 128,198.560405,101.231344,0.011220,2.744880,0.011220
Remote IBE-KEM 128,198.335180,101.095420,0.011500,2.530938,0.011500
Remote IBE-KEM 128,195.870302,99.815197,0.011740,2.331215,0.011740
Remote IBE-KEM 128,196.711023,100.356213,0.011950,2.040262,0.011950
Remote IBE-KEM 128,197.948226,100.681027,0.009840,2.072023,0.009840
Remote IBE-KEM 128,199.417371,101.324273,0.010571,2.128913,0.010571
Remote IBE-KEM 128,197.805252,100.641186,0.008580,2.135223,0.008580
Remote IBE-KEM 128,195.271936,99.315960,0.011500,2.150693,0.011500
Remote IBE-KEM 128,196.106105,99.911738,0.009940,2.175394,0.009940
Remote IBE-KEM 128,196.301978,100.004359,0.011060,2.168624,0.011060
Remote IBE-KEM 128,197.882826,100.886808,0.013030,2.228765,0.013030
Remote IBE-KEM 128,195.563327,99.588943,0.011260,2.108822,0.011260
Remote IBE-KEM 128,197.749423,100.681596,0.010840,2.358946,0.010840
Remote IBE-KEM 128,195.934350,99.844575,0.016860,2.110573,0.016860
Remote IBE-KEM 128,196.575769,100.161110,0.010291,2.288166,0.010291
Remote IBE-KEM 128,196.389530,99.831005,0.008520,1.960841,0.008520
Remote IBE-KEM 128,197.172095,100.435703,0.009221,2.294995,0.009221
Remote IBE-KEM 128,195.751028,99.917197,0.010090,2.758570,0.010090
Remote IBE-KEM 128,198.626790,102.133620,0.011360,3.602070,0.011360
Remote IBE-KEM 128,197.467567,100.505083,0.009970,2.105142,0.009970
Remote IBE-KEM 128,197.713739,100.625243,0.011080,2.543267,0.011080
Remote IBE-KEM 128,195.938319,99.609383,0.009160,2.017032,0.009160
Remote IBE-KEM 128,197.914682,101.024908,0.012820,2.782611,0.012820
Remote IBE-KEM 128,197.526926,100.424902,0.011151,2.118333,0.011151
Remote IBE-KEM 128,197.793400,100.577962,0.010660,1.987282,0.010660
Remote IBE-KEM 128,195.760907,99.653083,0.010110,2.275245,0.010110
Remote IBE-KEM 128,197.112220,100.250899,0.011440,2.046362,0.011440
Remote IBE-KEM 128,199.127112,101.206049,0.011230,2.038863,0.011230
Remote IBE-KEM 128,197.623331,100.502761,0.011730,2.185064,0.011730
Remote IBE-KEM 128,200.053043,102.328400,0.010050,2.144883,0.010050
Remote IBE-KEM 128,196.013123,99.484570,0.010090,2.008672,0.010090
Remote IBE-KEM 128,195.498780,99.416139,0.011860,1.994051,0.011860
Remote IBE-KEM 128,195.864077,99.648072,0.011020,2.416906,0.011020
Remote IBE-KEM 128,196.936779,100.368480,0.010460,2.277595,0.010460
Remote IBE-KEM 128,197.193130,100.354250,0.012320,2.106893,0.012320
Remote IBE-KEM 128,195.360961,99.436990,0.012020,2.226205,0.012020
Remote IBE-KEM 128,195.593884,99.567191,0.011411,2.121843,0.011411
Remote IBE-KEM 128,197.616274,100.569631,0.010230,2.421587,0.010230
Remote IBE-KEM 128,196.777816,100.027885,0.010560,2.041992,0.010560
Remote IBE-KEM 128,196.480015,99.675132,0.011840,2.033892,0.011840
Remote IBE-KEM 128,195.811469,99.658721,0.011790,2.550187,0.011790
Remote IBE-KEM 128,195.497522,99.502501,0.016550,2.013952,0.016550
Remote IBE-KEM 128,202.934702,106.270473,0.011550,2.268835,0.011550
Remote IBE-KEM 128,197.693128,100.621432,0.013240,2.067293,0.013240
Remote IBE-KEM 128,198.537764,101.421370,0.007760,2.295205,0.007760
Remote IBE-KEM 128,197.485323,100.505170,0.008690,2.253804,0.008690
Remote IBE-KEM 128,195.550311,99.495479,0.010220,2.272975,0.010220
Remote IBE-KEM 128,198.820491,101.216138,0.011630,2.213704,0.011630
Remote IBE-KEM 128,198.793236,101.360229,0.009730,2.214274,0.009730
Remote IBE-KEM 128,195.260739,99.352627,0.011160,2.132193,0.011160
Remote IBE-KEM 128,198.416544,100.824684,0.007831,2.055072,0.007831
Remote IBE-KEM 128,197.884048,100.797483,0.011940,2.039752,0.011940
Remote IBE-KEM 128,195.528557,99.415019,0.011010,2.035632,0.011010
Remote IBE-KEM 128,198.085197,100.798812,0.012640,2.125942,0.012640
Remote IBE-KEM 128,197.541153,100.460559,0.012620,2.265244,0.012620
Remote IBE-KEM 128,197.838955,100.733122,0.010550,1.974182,0.010550
Remote IBE-KEM 128,200.399397,102.427461,0.016790,2.255715,0.016790
Remote IBE-KEM 128,197.865595,100.797613,0.009030,2.090813,0.009030
Remote IBE-KEM 128,197.736074,100.960474,0.021760,2.332906,0.021760
Remote IBE-KEM 128,197.896985,100.508379,0.007850,1.969191,0.007850
Remote IBE-KEM 128,196.749145,100.395218,0.010370,2.564978,0.010370
Remote IBE-KEM 128,198.130447,100.895194,0.010620,2.132923,0.010620
Remote IBE-KEM 128,195.572919,99.560859,0.009900,2.192904,0.009900
Remote IBE-KEM 128,199.323391,101.853564,0.014430,2.505117,0.014430
Remote IBE-KEM 128,196.477249,99.916113,0.010951,2.064522,0.010951
Remote IBE-KEM 128,195.092934,99.103444,0.019950,1.964441,0.019950
Remote IBE-KEM 128,196.543960,100.313787,0.010900,2.861042,0.010900
Remote IBE-KEM 128,198.098840,100.945044,0.012180,2.037722,0.012180
Remote IBE-KEM 128,199.439061,101.147696,0.012240,2.060262,0.012240
Remote IBE-KEM 128,196.902626,100.013014,0.012201,1.986022,0.012201
Remote IBE-KEM 128,198.080206,100.762941,0.012310,2.291204,0.012310
Remote IBE-KEM 128,196.623640,100.274816,0.008760,2.543388,0.008760
Remote IBE-KEM 128,198.089375,100.584749,0.009120,1.952651,0.009120
Remote IBE-KEM 128,195.486298,99.080483,0.007660,1.830910,0.007660
Remote IBE-KEM 128,196.307755,99.861671,0.011870,2.092883,0.011870
Remote IBE-KEM 128,196.215125,99.783751,0.010470,2.218524,0.010470
Remote IBE-KEM 128,200.570837,101.963084,0.012520,2.374906,0.012520
Remote IBE-KEM 128,196.495159,100.062484,0.014120,2.171434,0.014120
Remote IBE-KEM 128,198.763911,101.435848,0.015021,2.358086,0.015021
Remote IBE-KEM 128,196.600838,100.219335,0.009681,2.491017,0.009681
Remote IBE-KEM 128,198.482739,100.989804,0.012030,2.362346,0.012030
Remote IBE-KEM 128,196.530347,100.227605,0.012120,2.559397,0.012120
Remote IBE-KEM 128,197.378427,100.344756,0.012340,2.080262,0.012340
Remote IBE-KEM 128,197.386328,100.483008,0.011530,2.274034,0.011530
Remote IBE-KEM 128,198.033004,100.853542,0.010880,2.340236,0.010880
Remote IBE-KEM 128,198.574299,101.042794,0.010900,2.103623,0.010900
Remote IBE-KEM 128,197.705766,101.584540,0.024341,3.840462,0.024341
