algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
Remote PDK IBE-KEM 128,99.679382,99.679182,0.019360,0.942561,0.019360
Remote PDK IBE-KEM 128,99.900723,99.900513,0.016470,1.333844,0.016470
Remote PDK IBE-KEM 128,98.350756,98.350566,0.016890,0.978150,0.016890
Remote PDK IBE-KEM 128,99.477309,99.477119,0.026370,1.019601,0.026370
Remote PDK IBE-KEM 128,99.092594,99.092374,0.018530,1.214733,0.018530
Remote PDK IBE-KEM 128,99.261787,99.261567,0.024440,1.028832,0.024440
Remote PDK IBE-KEM 128,98.976400,98.976190,0.028041,1.298164,0.028041
Remote PDK IBE-KEM 128,98.694147,98.693927,0.020541,1.129812,0.020541
Remote PDK IBE-KEM 128,98.882368,98.882188,0.020530,0.952551,0.020530
Remote PDK IBE-KEM 128,99.981609,99.981419,0.018650,1.285343,0.018650
Remote PDK IBE-KEM 128,99.315176,99.314956,0.023101,0.975580,0.023101
Remote PDK IBE-KEM 128,98.832536,98.832346,0.020800,0.980301,0.020800
Remote PDK IBE-KEM 128,100.725732,100.725492,0.022911,1.182624,0.022911
Remote PDK IBE-KEM 128,100.416344,100.416154,0.020500,1.448195,0.020500
Remote PDK IBE-KEM 128,100.256668,100.256458,0.022770,1.466987,0.022770
Remote PDK IBE-KEM 128,98.401995,98.401765,0.020220,1.039411,0.020220
Remote PDK IBE-KEM 128,99.610819,99.610629,0.021710,1.226363,0.021710
Remote PDK IBE-KEM 128,98.820740,98.820520,0.016730,1.338705,0.016730
Remote PDK IBE-KEM 128,99.911853,99.911653,0.020451,1.133613,0.020451
Remote PDK IBE-KEM 128,99.785468,99.785318,0.016810,1.298214,0.016810
Remote PDK IBE-KEM 128,99.074790,99.074550,0.021180,1.224104,0.021180
Remote PDK IBE-KEM 128,98.673824,98.673634,0.032440,1.383645,0.032440
Remote PDK IBE-KEM 128,98.742664,98.742464,0.028020,0.971631,0.028020
Remote PDK IBE-KEM 128,100.151943,100.151703,0.021890,1.042742,0.021890
Remote PDK IBE-KEM 128,99.015956,99.015666,0.023100,1.078621,0.023100
Remote PDK IBE-KEM 128,98.530078,98.529928,0.020390,0.974430,0.020390
Remote PDK IBE-KEM 128,98.888396,98.888206,0.016710,1.152093,0.016710
Remote PDK IBE-KEM 128,98.835532,98.835352,0.021781,0.965500,0.021781
Remote PDK IBE-KEM 128,98.231016,98.230776,0.020330,1.063832,0.020330
Remote PDK IBE-KEM 128,99.947115,99.946945,0.020500,0.916299,0.020500
Remote PDK IBE-KEM 128,99.171368,99.171178,0.020251,1.059471,0.020251
Remote PDK IBE-KEM 128,98.769241,98.769051,0.016940,0.957591,0.016940
Remote PDK IBE-KEM 128,98.221510,98.221320,0.017311,1.251884,0.017311
Remote PDK IBE-KEM 128,99.065483,99.065293,0.020220,1.162282,0.020220
Remote PDK IBE-KEM 128,100.003403,100.003193,0.037851,1.350934,0.037851
Remote PDK IBE-KEM 128,99.680081,99.679161,0.020260,1.016131,0.020260
Remote PDK IBE-KEM 128,99.645188,99.645008,0.016660,1.005100,0.016660
Remote PDK IBE-KEM 128,98.873999,98.873799,0.019541,0.929051,0.019541
Remote PDK IBE-KEM 128,98.504551,98.504351,0.027271,0.941850,0.027271
Remote PDK IBE-KEM 128,98.523681,98.523491,0.029861,0.941990,0.029861
Remote PDK IBE-KEM 128,100.466488,100.466298,0.020790,1.032131,0.020790
Remote PDK IBE-KEM 128,99.502988,99.502808,0.020370,1.015191,0.020370
Remote PDK IBE-KEM 128,100.139734,100.139544,0.022850,1.148952,0.022850
Remote PDK IBE-KEM 128,99.453037,99.452887,0.020281,1.175553,0.020281
Remote PDK IBE-KEM 128,98.188686,98.188516,0.020551,1.042741,0.020551
Remote PDK IBE-KEM 128,99.801224,99.801054,0.024031,1.088062,0.024031
Remote PDK IBE-KEM 128,98.389967,98.389787,0.016750,1.152553,0.016750
Remote PDK IBE-KEM 128,98.249124,98.248904,0.020320,0.919230,0.020320
Remote PDK IBE-KEM 128,100.292528,100.292298,0.026310,1.684699,0.026310
Remote PDK IBE-KEM 128,99.580111,99.579921,0.020170,1.314584,0.020170
Remote PDK IBE-KEM 128,98.624928,98.624738,0.019451,0.896989,0.019451
Remote PDK IBE-KEM 128,98.426655,98.426425,0.024000,1.198003,0.024000
Remote PDK IBE-KEM 128,98.586456,98.586266,0.020270,0.937279,0.020270
Remote PDK IBE-KEM 128,98.383186,98.383006,0.019170,1.140073,0.019170
Remote PDK IBE-KEM 128,99.810481,99.810241,0.018250,0.990151,0.018250
Remote PDK IBE-KEM 128,99.834552,99.834322,0.022040,1.689618,0.022040
Remote PDK IBE-KEM 128,99.660599,99.660419,0.020780,0.935200,0.020780
Remote PDK IBE-KEM 128,99.509781,99.509591,0.028081,1.328464,0.028081
Remote PDK IBE-KEM 128,99.173916,99.173726,0.021070,1.186394,0.021070
Remote PDK IBE-KEM 128,98.385516,98.385306,0.023430,0.988921,0.023430
Remote PDK IBE-KEM 128,100.094295,100.094125,0.020070,1.274094,0.020070
Remote PDK IBE-KEM 128,99.027917,99.027727,0.020220,0.986352,0.020220
Remote PDK IBE-KEM 128,99.130704,99.130474,0.020490,0.969731,0.020490
Remote PDK IBE-KEM 128,99.345781,99.345581,0.019630,0.930970,0.019630
Remote PDK IBE-KEM 128,98.437656,98.437446,0.026061,1.034772,0.026061
Remote PDK IBE-KEM 128,100.080644,100.080374,0.022650,1.196083,0.022650
Remote PDK IBE-KEM 128,98.643171,98.642941,0.026280,1.015471,0.026280
Remote PDK IBE-KEM 128,98.320690,98.320430,0.028930,0.999231,0.028930
Remote PDK IBE-KEM 128,99.354077,99.353847,0.023330,1.061341,0.023330
Remote PDK IBE-KEM 128,99.201767,99.201597,0.020251,0.913790,0.020251
Remote PDK IBE-KEM 128,99.484419,99.484259,0.024791,1.076692,0.024791
Remote PDK IBE-KEM 128,99.384146,99.383946,0.019821,1.141232,0.019821
Remote PDK IBE-KEM 128,99.084402,99.084182,0.022170,1.282493,0.022170
Remote PDK IBE-KEM 128,98.960363,98.960203,0.018710,0.978741,0.018710
Remote PDK IBE-KEM 128,99.203765,99.203565,0.024420,1.395135,0.024420
Remote PDK IBE-KEM 128,98.865041,98.864881,0.020000,1.349355,0.020000
Remote PDK IBE-KEM 128,98.075701,98.075521,0.015560,0.890550,0.015560
Remote PDK IBE-KEM 128,99.833539,99.833369,0.019630,1.794709,0.019630
Remote PDK IBE-KEM 128,100.366196,100.366016,0.022610,1.354435,0.022610
Remote PDK IBE-KEM 128,98.388306,98.388116,0.019561,0.914091,0.019561
Remote PDK IBE-KEM 128,99.734229,99.734039,0.019430,1.335934,0.019430
Remote PDK IBE-KEM 128,100.351637,100.351397,0.020101,0.991781,0.020101
Remote PDK IBE-KEM 128,98.774100,98.773900,0.025500,1.238304,0.025500
Remote PDK IBE-KEM 128,98.300939,98.300689,0.020540,0.973041,0.020540
Remote PDK IBE-KEM 128,99.566543,99.566383,0.020260,1.116253,0.020260
Remote PDK IBE-KEM 128,98.262484,98.262114,0.028381,0.949620,0.028381
Remote PDK IBE-KEM 128,98.718458,98.718258,0.020040,1.306994,0.020040
Remote PDK IBE-KEM 128,98.862090,98.861860,0.019301,0.965340,0.019301
Remote PDK IBE-KEM 128,99.647999,99.647799,0.022160,1.029152,0.022160
Remote PDK IBE-KEM 128,99.515707,99.515467,0.022540,0.963200,0.022540
Remote PDK IBE-KEM 128,99.046001,99.045781,0.016820,1.082441,0.016820
Remote PDK IBE-KEM 128,99.716999,99.716809,0.019800,1.001450,0.019800
Remote PDK IBE-KEM 128,99.064882,99.064662,0.016230,1.290113,0.016230
Remote PDK IBE-KEM 128,100.215445,100.215265,0.020280,1.175103,0.020280
Remote PDK IBE-KEM 128,98.496396,98.496246,0.021641,1.233783,0.021641
Remote PDK IBE-KEM 128,99.012342,99.012112,0.021250,0.931340,0.021250
Remote PDK IBE-KEM 128,99.440637,99.440397,0.019870,1.090942,0.019870
Remote PDK IBE-KEM 128,98.473127,98.472947,0.021470,1.250564,0.021470
