algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,98.311456,0.021300,0.184822
P256,98.293796,0.007641,0.178272
P256,97.235682,0.006080,0.144272
P256,97.892630,0.009730,0.387474
P256,98.188322,0.008579,0.250452
P256,98.642348,0.005320,0.131422
P256,98.620038,0.008970,0.175062
P256,98.220285,0.009420,0.228163
P256,98.039651,0.010470,0.173462
P256,98.350894,0.008211,0.164412
P256,97.326372,0.010901,0.256493
P256,98.972857,0.010031,0.182792
P256,99.039162,0.007870,0.143582
P256,98.490297,0.009370,0.171512
P256,97.512014,0.013170,0.193102
P256,97.629144,0.009970,0.183491
P256,97.323200,0.008340,0.180732
P256,98.531175,0.006870,0.180812
P256,97.863567,0.007310,0.141321
P256,98.729429,0.008010,0.166302
P256,98.849256,0.005070,0.151722
P256,97.142309,0.010490,0.187012
P256,97.875114,0.006760,0.168892
P256,97.581237,0.010330,0.165262
P256,97.907396,0.008490,0.162592
P256,99.231366,0.009480,0.184662
P256,98.741864,0.009750,0.256002
P256,98.038418,0.011211,0.186952
P256,98.125649,0.009690,0.161192
P256,96.474792,0.009350,0.170901
P256,96.962857,0.009430,0.200633
P256,97.042695,0.007960,0.139102
P256,98.820591,0.007370,0.147952
P256,97.958543,0.007360,0.194802
P256,98.070687,0.009490,0.162802
P256,97.119293,0.012610,0.234523
P256,97.945344,0.009190,0.169192
P256,96.748837,0.004600,0.136301
P256,97.048895,0.006160,0.146891
P256,97.194862,0.008320,0.177352
P256,98.389781,0.009350,0.183022
P256,97.021174,0.007350,0.183932
P256,98.042609,0.009931,0.189003
P256,96.847148,0.010510,0.234753
P256,97.665133,0.011370,0.175652
P256,96.530269,0.008820,0.182652
P256,98.151513,0.010580,0.219502
P256,98.206947,0.009831,0.218802
P256,97.022127,0.007240,0.158912
P256,97.957984,0.012490,0.183822
P256,97.717721,0.009980,0.170921
P256,97.515039,0.008410,0.436755
P256,98.673552,0.009060,0.204033
P256,98.582480,0.008970,0.142290
P256,98.085905,0.009470,0.185562
P256,98.099905,0.007560,0.228682
P256,97.754950,0.007760,0.154781
P256,97.787468,0.008170,0.191762
P256,98.069244,0.009130,0.154702
P256,97.181385,0.006890,0.136302
P256,97.644000,0.008550,0.364774
P256,97.877759,0.009380,0.160091
P256,98.211206,0.007840,0.234223
P256,96.835161,0.010360,0.174182
P256,97.906124,0.004570,0.156661
P256,98.603927,0.010371,0.144131
P256,97.806110,0.009600,0.190102
P256,98.181726,0.008981,0.169482
P256,97.623646,0.009821,0.180072
P256,96.463246,0.006480,0.160952
P256,97.542746,0.008591,0.177312
P256,97.379587,0.008870,0.140532
P256,97.472355,0.010300,0.183352
P256,98.726925,0.010570,0.195732
P256,98.559912,0.009420,0.185932
P256,96.763748,0.009620,0.193222
P256,97.261342,0.014110,0.217592
P256,96.976149,0.007300,0.134832
P256,97.423064,0.009611,0.176202
P256,97.544307,0.009910,0.139182
P256,97.997252,0.011630,0.142952
P256,98.238224,0.011960,0.158332
P256,97.805510,0.007420,0.139252
P256,99.018852,0.011830,0.171831
P256,98.815270,0.005880,0.166612
P256,97.446425,0.008890,0.209573
P256,99.313066,0.009340,0.200872
P256,98.108662,0.009680,0.174002
P256,96.628417,0.006670,0.162262
P256,97.986491,0.008150,0.190332
P256,99.141674,0.006970,0.161902
P256,98.300374,0.013390,0.247543
P256,97.096195,0.007170,0.160212
P256,96.860380,0.006030,0.133692
P256,98.485526,0.009040,0.181631
P256,97.265063,0.009450,0.202582
P256,99.106042,0.009250,0.179882
P256,99.214575,0.010790,0.167742
P256,97.825773,0.005990,0.159562
P256,97.070851,0.005171,0.142600
P256,97.632037,0.009230,0.179202
