algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
Remote IBE-KEM 128,4.484005,3.979287,0.011304,1.337443,0.011304
Remote IBE-KEM 128,4.280386,3.811456,0.009965,1.275668,0.009965
Remote IBE-KEM 128,4.405694,3.953115,0.010132,1.424798,0.010132
Remote IBE-KEM 128,4.698746,4.251240,0.009585,1.462126,0.009585
Remote IBE-KEM 128,6.160700,5.641725,0.014838,2.168029,0.014838
Remote IBE-KEM 128,4.873445,4.478500,0.011901,1.656699,0.011901
Remote IBE-KEM 128,4.299929,3.915801,0.010157,1.399325,0.010157
Remote IBE-KEM 128,4.295101,3.915290,0.010173,1.430140,0.010173
Remote IBE-KEM 128,6.182144,5.798405,0.014234,2.169047,0.014234
Remote IBE-KEM 128,4.419717,3.975440,0.011146,1.425682,0.011146
Remote IBE-KEM 128,4.081781,3.754838,0.005621,1.354116,0.005621
Remote IBE-KEM 128,4.654040,4.198340,0.012421,1.478581,0.012421
Remote IBE-KEM 128,4.922257,4.424478,0.008074,1.462866,0.008074
Remote IBE-KEM 128,4.067296,3.673386,0.027218,1.404761,0.027218
Remote IBE-KEM 128,4.420673,4.009323,0.007640,1.593596,0.007640
Remote IBE-KEM 128,4.407334,4.008521,0.010244,1.455398,0.010244
Remote IBE-KEM 128,4.786217,4.280591,0.014218,1.531351,0.014218
Remote IBE-KEM 128,4.322473,3.918232,0.008702,1.394805,0.008702
Remote IBE-KEM 128,4.278428,3.834762,0.005456,1.337549,0.005456
Remote IBE-KEM 128,5.013172,4.519430,0.013936,1.764143,0.013936
Remote IBE-KEM 128,4.249504,3.886519,0.024307,1.412671,0.024307
Remote IBE-KEM 128,4.372344,3.908600,0.010490,1.385436,0.010490
Remote IBE-KEM 128,6.873057,6.483118,0.012708,2.487339,0.012708
Remote IBE-KEM 128,5.042755,4.692645,0.011305,1.807188,0.011305
Remote IBE-KEM 128,4.240992,3.817823,0.005280,1.415166,0.005280
Remote IBE-KEM 128,5.167652,4.650568,0.016514,1.534225,0.016514
Remote IBE-KEM 128,4.231599,3.771758,0.009829,1.300693,0.009829
Remote IBE-KEM 128,4.349587,3.940156,0.009939,1.388920,0.009939
Remote IBE-KEM 128,4.532175,4.032546,0.009613,1.442873,0.009613
Remote IBE-KEM 128,4.982073,4.497913,0.009565,1.506890,0.009565
Remote IBE-KEM 128,4.152568,3.808440,0.010239,1.401525,0.010239
Remote IBE-KEM 128,4.545165,4.099168,0.011826,1.414757,0.011826
Remote IBE-KEM 128,4.056693,3.659131,0.008019,1.354458,0.008019
Remote IBE-KEM 128,4.209553,3.825800,0.009943,1.417734,0.009943
Remote IBE-KEM 128,4.178839,3.806238,0.012121,1.412564,0.012121
Remote IBE-KEM 128,4.250740,3.837059,0.011441,1.412665,0.011441
Remote IBE-KEM 128,4.459751,3.953195,0.010381,1.368042,0.010381
Remote IBE-KEM 128,4.293513,3.903858,0.010759,1.471826,0.010759
Remote IBE-KEM 128,4.201338,3.797084,0.012649,1.365822,0.012649
Remote IBE-KEM 128,4.273195,3.797793,0.013040,1.267616,0.013040
Remote IBE-KEM 128,4.379904,3.884505,0.032062,1.423161,0.032062
Remote IBE-KEM 128,4.215860,3.815995,0.010199,1.416555,0.010199
Remote IBE-KEM 128,4.308657,3.928079,0.012014,1.467251,0.012014
Remote IBE-KEM 128,4.207284,3.785761,0.006740,1.374738,0.006740
Remote IBE-KEM 128,4.392436,3.960905,0.014378,1.377482,0.014378
Remote IBE-KEM 128,4.169091,3.753237,0.009289,1.262976,0.009289
Remote IBE-KEM 128,4.448265,4.025445,0.011969,1.378221,0.011969
Remote IBE-KEM 128,4.280858,3.839734,0.008767,1.344908,0.008767
Remote IBE-KEM 128,4.272764,3.784284,0.009962,1.290444,0.009962
Remote IBE-KEM 128,4.321649,3.875759,0.005320,1.432912,0.005320
Remote IBE-KEM 128,5.487131,4.959557,0.007931,1.557092,0.007931
Remote IBE-KEM 128,4.294894,3.894742,0.010677,1.358208,0.010677
Remote IBE-KEM 128,4.239430,3.855336,0.010139,1.366083,0.010139
Remote IBE-KEM 128,6.039168,5.494667,0.014165,2.019167,0.014165
Remote IBE-KEM 128,4.194077,3.795385,0.009153,1.388898,0.009153
Remote IBE-KEM 128,5.023602,4.549761,0.010469,1.643323,0.010469
Remote IBE-KEM 128,4.701279,4.229163,0.006046,1.430653,0.006046
Remote IBE-KEM 128,6.711619,6.071302,0.013133,1.986204,0.013133
Remote IBE-KEM 128,4.273744,3.895308,0.010873,1.409687,0.010873
Remote IBE-KEM 128,4.350795,3.914249,0.005104,1.423158,0.005104
Remote IBE-KEM 128,4.631764,4.162899,0.012197,1.414746,0.012197
Remote IBE-KEM 128,4.241709,3.792167,0.007598,1.450861,0.007598
Remote IBE-KEM 128,4.304406,3.881852,0.023603,1.427164,0.023603
Remote IBE-KEM 128,4.905839,4.473055,0.014130,1.732636,0.014130
Remote IBE-KEM 128,4.328678,3.926029,0.010364,1.444362,0.010364
Remote IBE-KEM 128,4.210962,3.839733,0.010473,1.377694,0.010473
Remote IBE-KEM 128,4.439350,3.999948,0.006224,1.465305,0.006224
Remote IBE-KEM 128,4.346986,3.915101,0.007715,1.360129,0.007715
Remote IBE-KEM 128,3.996933,3.636778,0.008066,1.290840,0.008066
Remote IBE-KEM 128,6.328752,5.876807,0.013655,2.187642,0.013655
Remote IBE-KEM 128,5.153054,4.689847,0.016428,1.512784,0.016428
Remote IBE-KEM 128,4.613039,4.047625,0.013553,1.309700,0.013553
Remote IBE-KEM 128,4.238948,3.861761,0.010289,1.470720,0.010289
Remote IBE-KEM 128,4.188181,3.805947,0.005923,1.384074,0.005923
Remote IBE-KEM 128,4.254324,3.866767,0.011385,1.288975,0.011385
Remote IBE-KEM 128,7.814021,7.083134,0.013318,2.599211,0.013318
Remote IBE-KEM 128,4.400975,3.900030,0.027406,1.300593,0.027406
Remote IBE-KEM 128,4.072850,3.738258,0.012749,1.392771,0.012749
Remote IBE-KEM 128,4.283384,3.886588,0.010035,1.347839,0.010035
Remote IBE-KEM 128,4.196879,3.740982,0.023896,1.305000,0.023896
Remote IBE-KEM 128,4.198227,3.795103,0.008395,1.255250,0.008395
Remote IBE-KEM 128,5.210997,4.840763,0.011076,1.694944,0.011076
Remote IBE-KEM 128,4.297315,3.824497,0.010495,1.450456,0.010495
Remote IBE-KEM 128,4.284289,3.893626,0.008141,1.425374,0.008141
Remote IBE-KEM 128,4.190094,3.785423,0.012750,1.238774,0.012750
Remote IBE-KEM 128,5.155188,4.648940,0.011770,1.778328,0.011770
Remote IBE-KEM 128,4.245721,3.815947,0.008438,1.296924,0.008438
Remote IBE-KEM 128,6.457717,5.959588,0.013039,2.494574,0.013039
Remote IBE-KEM 128,4.477519,4.023517,0.012270,1.557255,0.012270
Remote IBE-KEM 128,5.570968,5.092042,0.012587,1.906367,0.012587
Remote IBE-KEM 128,4.077739,3.686018,0.014693,1.325999,0.014693
Remote IBE-KEM 128,5.610249,5.019064,0.017032,1.655142,0.017032
Remote IBE-KEM 128,4.280813,3.827850,0.010443,1.312776,0.010443
Remote IBE-KEM 128,4.549167,4.146801,0.005690,1.480565,0.005690
Remote IBE-KEM 128,4.259479,3.855635,0.009871,1.420632,0.009871
Remote IBE-KEM 128,4.154684,3.715193,0.023321,1.378299,0.023321
Remote IBE-KEM 128,4.277099,3.853417,0.009533,1.395505,0.009533
Remote IBE-KEM 128,6.160982,5.631641,0.010577,1.938107,0.010577
Remote IBE-KEM 128,4.626587,4.197997,0.006586,1.507203,0.006586
Remote IBE-KEM 128,3.979474,3.624294,0.007993,1.297673,0.007993
Remote IBE-KEM 128,4.621621,4.122229,0.013063,1.528276,0.013063
Remote IBE-KEM 128,4.110439,3.763604,0.005530,1.276087,0.005530
Remote IBE-KEM 128,5.286098,4.840092,0.012550,1.768715,0.012550
Remote IBE-KEM 128,4.204470,3.706342,0.005508,1.403682,0.005508
Remote IBE-KEM 128,6.711428,6.126388,0.021529,2.155551,0.021529
Remote IBE-KEM 128,4.328907,3.837753,0.010494,1.354796,0.010494
Remote IBE-KEM 128,4.198528,3.766904,0.005264,1.337630,0.005264
Remote IBE-KEM 128,5.076156,4.574680,0.013466,1.759587,0.013466
Remote IBE-KEM 128,4.145109,3.806339,0.010589,1.362875,0.010589
Remote IBE-KEM 128,4.217569,3.814341,0.010285,1.404799,0.010285
Remote IBE-KEM 128,5.036685,4.499219,0.015920,1.539753,0.015920
Remote IBE-KEM 128,4.996172,4.558063,0.014413,1.776490,0.014413
Remote IBE-KEM 128,5.106839,4.684879,0.012020,1.609475,0.012020
Remote IBE-KEM 128,7.015960,6.292134,0.017894,1.920184,0.017894
Remote IBE-KEM 128,4.412652,4.040482,0.022858,1.362681,0.022858
Remote IBE-KEM 128,5.936917,5.532276,0.020963,1.724987,0.020963
Remote IBE-KEM 128,4.407126,4.040975,0.013013,1.394575,0.013013
Remote IBE-KEM 128,4.481666,4.052344,0.005860,1.357396,0.005860
Remote IBE-KEM 128,4.550413,4.146129,0.011406,1.499724,0.011406
Remote IBE-KEM 128,5.603506,5.077003,0.011941,2.018845,0.011941
Remote IBE-KEM 128,4.213636,3.847615,0.012378,1.351322,0.012378
Remote IBE-KEM 128,4.333398,3.906809,0.006042,1.403918,0.006042
Remote IBE-KEM 128,4.203889,3.823669,0.011436,1.331759,0.011436
Remote IBE-KEM 128,4.368856,3.954219,0.010127,1.446508,0.010127
Remote IBE-KEM 128,4.478200,4.063607,0.010579,1.519362,0.010579
Remote IBE-KEM 128,4.211059,3.788859,0.009978,1.376518,0.009978
Remote IBE-KEM 128,4.866940,4.481874,0.013715,1.608874,0.013715
Remote IBE-KEM 128,4.176084,3.773622,0.010782,1.392172,0.010782
Remote IBE-KEM 128,4.423429,4.038798,0.011111,1.432046,0.011111
Remote IBE-KEM 128,4.227920,3.728188,0.005900,1.441382,0.005900
Remote IBE-KEM 128,4.261151,3.869025,0.009735,1.474388,0.009735
Remote IBE-KEM 128,7.992710,7.116738,0.011062,2.532579,0.011062
Remote IBE-KEM 128,4.234179,3.838065,0.005728,1.418583,0.005728
Remote IBE-KEM 128,6.079382,5.495558,0.014475,2.097240,0.014475
Remote IBE-KEM 128,6.068318,5.428123,0.016576,1.978365,0.016576
Remote IBE-KEM 128,5.494905,4.961459,0.013956,1.696981,0.013956
Remote IBE-KEM 128,4.622752,4.176102,0.011295,1.423015,0.011295
Remote IBE-KEM 128,4.121908,3.669429,0.008583,1.339730,0.008583
Remote IBE-KEM 128,5.556077,4.911422,0.010207,1.598365,0.010207
Remote IBE-KEM 128,4.492772,3.972088,0.005616,1.402345,0.005616
Remote IBE-KEM 128,4.318761,3.845020,0.010482,1.314127,0.010482
Remote IBE-KEM 128,4.447447,4.029504,0.009449,1.406400,0.009449
Remote IBE-KEM 128,4.172338,3.767279,0.005858,1.426927,0.005858
Remote IBE-KEM 128,4.283650,3.854469,0.006270,1.486034,0.006270
Remote IBE-KEM 128,6.341918,5.886690,0.012891,2.116097,0.012891
Remote IBE-KEM 128,4.385247,3.943231,0.005355,1.448896,0.005355
Remote IBE-KEM 128,4.205049,3.818406,0.010517,1.411568,0.010517
Remote IBE-KEM 128,4.429007,4.036677,0.010211,1.443604,0.010211
Remote IBE-KEM 128,4.196239,3.804149,0.008588,1.383915,0.008588
Remote IBE-KEM 128,4.679709,4.163590,0.011498,1.411414,0.011498
Remote IBE-KEM 128,4.362092,3.934284,0.010973,1.393480,0.010973
Remote IBE-KEM 128,4.398549,3.939710,0.020645,1.416896,0.020645
Remote IBE-KEM 128,4.300982,3.840605,0.016659,1.326554,0.016659
Remote IBE-KEM 128,5.905729,5.449896,0.015136,1.833006,0.015136
Remote IBE-KEM 128,4.269095,3.888902,0.007430,1.369630,0.007430
