algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,3.257543,0.006716,0.368098
P256,3.055370,0.008328,0.082972
P256,2.893436,0.005644,0.070476
P256,3.814752,0.005740,0.358058
P256,4.116343,0.006025,0.085455
P256,3.517788,0.005432,0.674046
P256,2.892701,0.005229,0.105583
P256,2.913516,0.005959,0.079103
P256,3.440742,0.006055,0.595013
P256,4.129024,0.006350,0.085573
P256,4.093162,0.006191,0.085208
P256,3.430678,0.004775,0.387210
P256,2.866784,0.005659,0.071820
P256,3.831767,0.005722,0.100174
P256,3.373664,0.005332,0.082116
P256,2.887999,0.006032,0.091436
P256,2.949653,0.007555,0.087212
P256,3.618449,0.005047,0.085300
P256,3.027638,0.005621,0.077511
P256,3.496222,0.003860,0.084684
P256,3.401897,0.005727,0.083307
P256,3.924994,0.006109,0.470504
P256,3.306756,0.005851,0.443350
P256,3.538299,0.005801,0.103878
P256,3.502557,0.005346,0.086150
P256,4.380040,0.007281,0.101827
P256,3.487591,0.003814,0.104077
P256,3.424896,0.005457,0.086209
P256,2.880739,0.005827,0.073843
P256,3.576368,0.005171,0.085405
P256,3.404020,0.005587,0.088301
P256,3.558976,0.004934,0.080493
P256,3.331614,0.005572,0.455971
P256,3.446077,0.005061,0.081808
P256,2.899755,0.005491,0.094579
P256,2.872914,0.006230,0.076309
P256,3.646366,0.005502,0.285410
P256,3.618366,0.005586,0.080689
P256,3.537470,0.006993,0.087569
P256,3.414625,0.004050,0.087297
P256,3.282484,0.005785,0.376458
P256,2.976520,0.005388,0.094569
P256,3.388894,0.005354,0.084145
P256,3.444950,0.005808,0.078375
P256,3.735690,0.006172,0.263477
P256,3.682827,0.005368,0.096808
P256,4.161057,0.006028,0.119909
P256,3.494967,0.006205,0.504175
P256,2.932845,0.005578,0.081493
P256,4.094706,0.005417,0.084796
P256,2.985588,0.006300,0.094745
P256,3.288568,0.006079,0.093699
P256,2.940646,0.005294,0.075705
P256,3.421075,0.005908,0.505824
P256,3.527406,0.005617,0.080764
P256,2.924602,0.005761,0.088444
P256,4.028265,0.006396,0.695815
P256,3.240664,0.005499,0.079119
P256,4.306418,0.005414,0.087628
P256,2.885153,0.004892,0.077126
P256,3.347426,0.006374,0.292537
P256,4.113197,0.005793,0.099675
P256,3.019453,0.005484,0.096431
P256,3.948208,0.006850,0.374456
P256,3.351896,0.005656,0.080697
P256,4.224177,0.004610,0.449282
P256,3.147957,0.005587,0.289067
P256,3.345023,0.006124,0.081989
P256,2.907491,0.005106,0.075699
P256,3.743495,0.006649,0.393225
P256,2.873554,0.006259,0.084577
P256,3.281987,0.006455,0.350337
P256,2.892412,0.005585,0.074903
P256,3.318153,0.005350,0.094976
P256,3.019900,0.005870,0.079556
P256,2.894425,0.005649,0.076936
P256,2.882675,0.005582,0.073723
P256,3.972200,0.005650,0.081628
P256,3.521256,0.004980,0.083036
P256,3.732250,0.005152,0.087755
P256,3.423139,0.003487,0.084017
P256,3.911944,0.005386,0.082488
P256,3.534373,0.005157,0.082737
P256,3.811781,0.004759,0.094790
P256,3.008435,0.005903,0.101720
P256,3.021469,0.005816,0.080372
P256,3.725560,0.006599,0.367302
P256,2.977576,0.006150,0.069179
P256,2.885137,0.005533,0.081295
P256,3.575979,0.005498,0.083367
P256,2.952689,0.005265,0.078169
P256,3.451582,0.006004,0.076961
P256,2.927357,0.005214,0.074513
P256,2.956402,0.006172,0.081512
P256,3.582848,0.004119,0.076654
P256,3.776734,0.005608,0.086686
P256,2.977141,0.006067,0.076926
P256,2.911749,0.005322,0.079389
P256,2.893537,0.005231,0.073465
P256,3.322817,0.006413,0.430013
P256,2.941744,0.006091,0.073410
P256,3.664632,0.007064,0.303128
P256,3.521019,0.005061,0.076680
P256,3.440550,0.004854,0.081997
P256,2.917019,0.005596,0.084498
P256,4.408865,0.011704,0.094661
P256,3.037653,0.004906,0.082327
P256,2.938528,0.005639,0.087457
P256,3.477348,0.006017,0.076501
P256,3.466106,0.005599,0.088378
P256,2.842068,0.005597,0.076387
P256,2.911932,0.005993,0.092130
P256,3.131190,0.007315,0.248540
P256,3.308584,0.006392,0.098206
P256,4.151658,0.005803,0.087846
P256,3.728504,0.005899,0.103833
P256,2.972392,0.010282,0.090372
P256,2.931723,0.005584,0.077556
P256,2.872696,0.006381,0.091457
P256,2.924380,0.005398,0.088126
P256,3.597191,0.006517,0.730679
P256,2.928558,0.005952,0.082486
P256,3.268720,0.004480,0.074780
P256,3.768758,0.006233,0.295887
P256,3.287049,0.007818,0.073451
P256,4.290766,0.005278,0.081549
P256,3.428823,0.005816,0.407750
P256,3.327024,0.005953,0.091113
P256,3.598384,0.003797,0.077818
P256,2.977905,0.007851,0.074307
P256,3.226100,0.006289,0.344624
P256,4.060620,0.006123,0.110719
P256,3.450276,0.005775,0.100628
P256,2.940088,0.005885,0.092596
P256,3.285855,0.004765,0.323060
P256,2.939720,0.005294,0.084263
P256,3.955446,0.006494,0.083972
P256,2.880378,0.005821,0.083096
P256,3.471375,0.005832,0.580523
P256,3.475265,0.005134,0.098212
P256,2.888549,0.005143,0.078233
P256,2.855213,0.005620,0.077160
P256,3.695547,0.006607,0.335261
P256,3.312791,0.007472,0.069473
P256,3.448041,0.005133,0.094138
P256,3.616086,0.004259,0.085136
P256,2.873860,0.005273,0.074134
P256,3.700345,0.004554,0.109244
P256,3.593058,0.007168,0.296263
P256,2.946698,0.006093,0.075405
P256,3.793777,0.003731,0.088995
P256,3.686224,0.003827,0.085356
P256,3.659160,0.005607,0.084068
P256,4.015329,0.005144,0.084175
P256,3.740990,0.006288,0.305364
P256,2.945826,0.007456,0.070435
P256,2.872666,0.007324,0.076775
P256,3.347804,0.006477,0.511907
P256,3.061032,0.006262,0.181233
P256,2.962659,0.008146,0.086467
P256,3.412853,0.006043,0.471506
P256,3.438337,0.006612,0.148362
P256,3.207922,0.005825,0.294382
P256,3.503618,0.003916,0.085352
P256,2.907906,0.006571,0.089298
P256,3.026506,0.005074,0.084966
P256,3.448719,0.005199,0.085811
P256,3.428359,0.004981,0.083429
P256,3.292451,0.005483,0.072247
P256,3.491965,0.006456,0.282850
P256,2.962120,0.005239,0.111295
P256,3.890362,0.005674,0.081750
P256,3.007877,0.005205,0.071997
P256,3.338222,0.006237,0.084593
P256,2.927862,0.005313,0.078618
P256,3.538981,0.006389,0.087221
P256,2.881431,0.005662,0.097323
P256,3.565543,0.005875,0.655185
P256,3.344979,0.005945,0.075780
P256,3.097545,0.005618,0.267514
P256,2.948626,0.005592,0.101800
P256,3.619611,0.003889,0.101185
P256,2.899287,0.005632,0.093212
P256,3.668133,0.007813,0.882547
P256,3.573451,0.005859,0.099178
P256,3.276544,0.006307,0.363011
P256,3.234363,0.005813,0.365257
P256,4.024555,0.022109,0.102785
P256,3.015840,0.005950,0.100591
P256,3.140175,0.005611,0.287311
P256,2.868628,0.004887,0.075254
P256,3.293124,0.005782,0.091231
