algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
Remote IBE-KEM 128,214.025448,112.570359,0.032318,4.223575,0.032318
Remote IBE-KEM 128,213.446413,111.859614,0.021900,4.189013,0.021900
Remote IBE-KEM 128,214.050817,112.502244,0.016923,4.272619,0.016923
Remote IBE-KEM 128,213.634258,112.125777,0.017073,4.358848,0.017073
Remote IBE-KEM 128,214.620778,112.976599,0.024584,4.344011,0.024584
Remote IBE-KEM 128,213.280716,111.847434,0.017854,4.431152,0.017854
Remote IBE-KEM 128,213.195800,111.821818,0.015606,4.044125,0.015606
Remote IBE-KEM 128,212.791795,111.464186,0.019670,4.539939,0.019670
Remote IBE-KEM 128,214.353939,112.811252,0.019581,4.452879,0.019581
Remote IBE-KEM 128,213.148320,111.871058,0.030907,4.005940,0.030907
Remote IBE-KEM 128,212.625191,111.142817,0.037282,4.333654,0.037282
Remote IBE-KEM 128,212.622296,110.929949,0.018044,4.395126,0.018044
Remote IBE-KEM 128,213.286136,111.679712,0.019944,4.044995,0.019944
Remote IBE-KEM 128,214.094735,112.471059,0.024281,4.123706,0.024281
Remote IBE-KEM 128,213.667226,112.332923,0.022865,4.408734,0.022865
Remote IBE-KEM 128,211.287213,109.830920,0.027666,4.059384,0.027666
Remote IBE-KEM 128,212.133830,110.689526,0.015544,3.548851,0.015544
Remote IBE-KEM 128,212.696626,111.639420,0.014932,4.296877,0.014932
Remote IBE-KEM 128,213.641941,112.096349,0.017809,3.959807,0.017809
Remote IBE-KEM 128,211.385451,109.965826,0.014831,4.376502,0.014831
Remote IBE-KEM 128,212.141864,110.510143,0.025584,3.502333,0.025584
Remote IBE-KEM 128,214.408798,112.673868,0.019801,4.525112,0.019801
Remote IBE-KEM 128,212.828341,111.384456,0.022705,3.384198,0.022705
Remote IBE-KEM 128,214.133530,112.443454,0.017701,4.149596,0.017701
Remote IBE-KEM 128,213.066654,111.907592,0.020234,4.430417,0.020234
Remote IBE-KEM 128,214.836191,113.194635,0.018415,4.081500,0.018415
Remote IBE-KEM 128,214.368355,112.815587,0.022915,4.380915,0.022915
Remote IBE-KEM 128,212.899810,111.322632,0.025064,4.116115,0.025064
Remote IBE-KEM 128,211.656102,110.117012,0.018351,4.111676,0.018351
Remote IBE-KEM 128,213.158608,111.864933,0.022572,4.280676,0.022572
Remote IBE-KEM 128,213.528159,112.143978,0.023820,4.430321,0.023820
Remote IBE-KEM 128,213.205149,111.973482,0.033755,4.007066,0.033755
Remote IBE-KEM 128,210.976625,109.988551,0.019976,4.583299,0.019976
Remote IBE-KEM 128,212.564708,111.178560,0.021829,4.136363,0.021829
Remote IBE-KEM 128,211.186710,109.930702,0.017590,4.144136,0.017590
Remote IBE-KEM 128,215.251455,113.399505,0.019687,4.429693,0.019687
Remote IBE-KEM 128,213.199591,112.099330,0.016514,4.482139,0.016514
Remote IBE-KEM 128,214.246301,112.805504,0.023612,4.413953,0.023612
Remote IBE-KEM 128,214.240873,112.764207,0.018603,4.822582,0.018603
