algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
Remote PDK IBE-KEM 128,14.907890,14.907479,0.046789,1.955821,0.046789
Remote PDK IBE-KEM 128,14.715115,14.714655,0.046621,1.924612,0.046621
Remote PDK IBE-KEM 128,15.054459,15.054010,0.046271,2.153422,0.046271
Remote PDK IBE-KEM 128,14.776649,14.776237,0.045521,2.120795,0.045521
Remote PDK IBE-KEM 128,15.454081,15.453630,0.046214,2.349778,0.046214
Remote PDK IBE-KEM 128,15.356193,15.355750,0.052045,2.277886,0.052045
Remote PDK IBE-KEM 128,15.313440,15.312994,0.046177,2.365642,0.046177
Remote PDK IBE-KEM 128,15.023091,15.022680,0.046432,2.228055,0.046432
Remote PDK IBE-KEM 128,14.966944,14.966495,0.045702,2.125402,0.045702
Remote PDK IBE-KEM 128,15.643921,15.643482,0.046054,2.425076,0.046054
Remote PDK IBE-KEM 128,14.963411,14.962998,0.051868,1.928908,0.051868
Remote PDK IBE-KEM 128,14.839231,14.838820,0.047115,1.996056,0.047115
Remote PDK IBE-KEM 128,15.035832,15.035374,0.064706,2.041091,0.064706
Remote PDK IBE-KEM 128,14.962134,14.961717,0.051170,2.096797,0.051170
Remote PDK IBE-KEM 128,14.677314,14.676864,0.056957,1.907622,0.056957
Remote PDK IBE-KEM 128,15.401849,15.401407,0.049355,2.378546,0.049355
Remote PDK IBE-KEM 128,14.900524,14.900012,0.046545,2.065221,0.046545
Remote PDK IBE-KEM 128,15.465928,15.465483,0.047334,2.379708,0.047334
Remote PDK IBE-KEM 128,14.704418,14.704003,0.047588,1.928163,0.047588
Remote PDK IBE-KEM 128,14.671774,14.671334,0.045945,2.144837,0.045945
Remote PDK IBE-KEM 128,14.966040,14.965658,0.043199,2.189823,0.043199
Remote PDK IBE-KEM 128,14.643453,14.643013,0.046523,1.988322,0.046523
Remote PDK IBE-KEM 128,14.714910,14.714467,0.046017,2.001492,0.046017
Remote PDK IBE-KEM 128,15.272359,15.271917,0.049036,2.200419,0.049036
Remote PDK IBE-KEM 128,15.291576,15.291163,0.049135,2.275029,0.049135
Remote PDK IBE-KEM 128,14.769494,14.769044,0.046897,2.131437,0.046897
Remote PDK IBE-KEM 128,14.971517,14.971071,0.046083,2.110117,0.046083
Remote PDK IBE-KEM 128,15.180110,15.179662,0.046151,2.236621,0.046151
Remote PDK IBE-KEM 128,14.924253,14.923813,0.046670,1.951352,0.046670
Remote PDK IBE-KEM 128,15.126133,15.125680,0.046884,2.062487,0.046884
Remote PDK IBE-KEM 128,14.946545,14.946138,0.061143,2.062534,0.061143
Remote PDK IBE-KEM 128,14.720889,14.720491,0.055690,2.023456,0.055690
Remote PDK IBE-KEM 128,15.234902,15.234262,0.045571,2.383874,0.045571
Remote PDK IBE-KEM 128,14.882816,14.882370,0.046398,2.135562,0.046398
Remote PDK IBE-KEM 128,15.254857,15.254420,0.056992,2.324253,0.056992
Remote PDK IBE-KEM 128,14.820108,14.819663,0.050329,2.034372,0.050329
