algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
Remote IBE-KEM 384,212.425182,116.388125,0.008361,0.823359,0.008361
Remote IBE-KEM 384,213.713926,117.317755,0.008850,0.582346,0.008850
Remote IBE-KEM 384,214.628956,118.186174,0.053421,0.742949,0.053421
Remote IBE-KEM 384,215.069350,117.756679,0.011400,0.806309,0.011400
Remote IBE-KEM 384,213.559994,116.230173,0.008670,0.937160,0.008670
Remote IBE-KEM 384,210.523212,114.619427,0.008280,0.562807,0.008280
Remote IBE-KEM 384,211.410121,115.763838,0.008050,0.570097,0.008050
Remote IBE-KEM 384,216.919920,119.856352,0.009250,0.811809,0.009250
Remote IBE-KEM 384,213.839857,117.183803,0.010090,0.862789,0.010090
Remote IBE-KEM 384,214.487545,116.582568,0.009911,0.698748,0.009911
Remote IBE-KEM 384,213.252941,115.747428,0.008740,0.602016,0.008740
Remote IBE-KEM 384,216.476416,119.862553,0.009110,0.727838,0.009110
Remote IBE-KEM 384,215.520676,118.166575,0.030710,0.716578,0.030710
Remote IBE-KEM 384,214.755998,117.852320,0.008560,0.596466,0.008560
Remote IBE-KEM 384,212.266031,116.362965,0.008990,0.727618,0.008990
Remote IBE-KEM 384,214.452405,117.038682,0.009220,0.627767,0.009220
Remote IBE-KEM 384,215.446365,118.907503,0.009480,0.727249,0.009480
Remote IBE-KEM 384,213.415173,116.529636,0.008420,0.614966,0.008420
Remote IBE-KEM 384,215.577647,118.339546,0.009530,0.601737,0.009530
Remote IBE-KEM 384,215.627097,118.884442,0.009740,0.621316,0.009740
Remote IBE-KEM 384,212.139520,115.449825,0.016000,0.599586,0.016000
Remote IBE-KEM 384,212.160291,115.787999,0.009620,0.605527,0.009620
Remote IBE-KEM 384,216.412756,119.358777,0.039500,0.626127,0.039500
Remote IBE-KEM 384,222.679643,125.445952,0.011380,0.692678,0.011380
Remote IBE-KEM 384,217.492587,119.440958,0.012340,0.830018,0.012340
Remote IBE-KEM 384,211.959779,115.973111,0.021271,0.599236,0.021271
Remote IBE-KEM 384,215.180064,118.081724,0.009690,0.581537,0.009690
Remote IBE-KEM 384,213.206772,115.899911,0.008000,0.566906,0.008000
Remote IBE-KEM 384,213.792268,116.916620,0.009610,0.622405,0.009610
Remote IBE-KEM 384,219.451400,122.912756,0.009540,0.740868,0.009540
Remote IBE-KEM 384,214.683188,118.015883,0.008080,0.588637,0.008080
Remote IBE-KEM 384,216.631439,119.107885,0.009140,0.607906,0.009140
Remote IBE-KEM 384,221.060157,123.374641,0.071701,0.785719,0.071701
Remote IBE-KEM 384,215.388616,118.194735,0.013720,0.822360,0.013720
Remote IBE-KEM 384,213.179091,116.203834,0.009821,0.579835,0.009821
Remote IBE-KEM 384,213.733989,117.962723,0.014110,0.602157,0.014110
Remote IBE-KEM 384,212.684617,116.301196,0.009840,0.579157,0.009840
Remote IBE-KEM 384,213.489515,117.250445,0.008970,0.836269,0.008970
Remote IBE-KEM 384,217.844783,120.904705,0.012991,0.907971,0.012991
Remote IBE-KEM 384,217.246966,120.235227,0.008500,0.657377,0.008500
Remote IBE-KEM 384,214.469376,117.394726,0.009000,0.873620,0.009000
Remote IBE-KEM 384,211.623446,115.462026,0.008800,0.684677,0.008800
Remote IBE-KEM 384,212.369613,116.323855,0.010530,0.591396,0.010530
Remote IBE-KEM 384,216.711309,118.666559,0.013690,0.538765,0.013690
Remote IBE-KEM 384,213.256824,116.804281,0.012971,0.573547,0.012971
Remote IBE-KEM 384,212.961569,116.555498,0.009630,0.584827,0.009630
Remote IBE-KEM 384,214.733329,118.512629,0.010040,0.819349,0.010040
Remote IBE-KEM 384,215.365885,117.253385,0.009460,0.733438,0.009460
Remote IBE-KEM 384,212.855928,116.551567,0.008580,0.589896,0.008580
Remote IBE-KEM 384,217.609680,119.958455,0.082411,0.616647,0.082411
Remote IBE-KEM 384,211.284552,115.237164,0.008581,0.740748,0.008581
Remote IBE-KEM 384,213.563626,117.093623,0.009290,0.625746,0.009290
Remote IBE-KEM 384,216.932234,118.580020,0.009480,0.718388,0.009480
Remote IBE-KEM 384,215.360475,117.894442,0.009740,0.588116,0.009740
Remote IBE-KEM 384,216.867872,119.381048,0.009630,0.694647,0.009630
Remote IBE-KEM 384,215.573208,117.233755,0.013700,0.565256,0.013700
Remote IBE-KEM 384,214.142763,118.213512,0.013950,0.764838,0.013950
Remote IBE-KEM 384,231.225871,133.657942,0.018870,0.734967,0.018870
Remote IBE-KEM 384,211.665491,115.169203,0.008770,0.658578,0.008770
Remote IBE-KEM 384,212.060476,115.389245,0.008500,0.565115,0.008500
Remote IBE-KEM 384,213.427051,117.065632,0.008901,0.619827,0.008901
Remote IBE-KEM 384,212.452612,116.229645,0.010150,0.743517,0.010150
Remote IBE-KEM 384,212.213262,115.547329,0.009140,0.722777,0.009140
Remote IBE-KEM 384,216.357025,118.570720,0.015820,0.763537,0.015820
Remote IBE-KEM 384,212.904892,116.630971,0.013290,0.563206,0.013290
Remote IBE-KEM 384,213.632810,117.162027,0.009060,0.602576,0.009060
Remote IBE-KEM 384,214.195037,117.244430,0.009080,0.775729,0.009080
Remote IBE-KEM 384,216.233480,119.821346,0.009130,0.800897,0.009130
Remote IBE-KEM 384,214.395372,117.783486,0.008820,0.663536,0.008820
Remote IBE-KEM 384,217.579596,119.774068,0.009390,0.551666,0.009390
Remote IBE-KEM 384,211.245522,115.004169,0.014610,0.583267,0.014610
Remote IBE-KEM 384,215.596119,117.964991,0.008890,0.591666,0.008890
Remote IBE-KEM 384,213.216173,115.861618,0.009150,0.611666,0.009150
Remote IBE-KEM 384,213.877822,117.164323,0.009150,0.617256,0.009150
Remote IBE-KEM 384,215.407279,119.063933,0.008790,0.527796,0.008790
Remote IBE-KEM 384,212.996884,116.283884,0.008501,0.668416,0.008501
Remote IBE-KEM 384,214.867985,117.141894,0.009391,0.825168,0.009391
Remote IBE-KEM 384,215.420792,118.479809,0.014350,0.631657,0.014350
Remote IBE-KEM 384,215.849637,117.653710,0.009630,0.606065,0.009630
Remote IBE-KEM 384,219.101543,121.905236,0.009720,0.759317,0.009720
Remote IBE-KEM 384,213.103231,117.025916,0.009921,0.609567,0.009921
Remote IBE-KEM 384,216.464017,119.348139,0.014030,0.552886,0.014030
Remote IBE-KEM 384,213.550947,116.599891,0.009420,0.587195,0.009420
Remote IBE-KEM 384,213.423498,116.471142,0.009070,0.722318,0.009070
Remote IBE-KEM 384,215.858514,118.881937,0.009840,0.848180,0.009840
Remote IBE-KEM 384,214.346608,117.698604,0.014530,0.603377,0.014530
Remote IBE-KEM 384,210.589419,114.541742,0.007640,0.525695,0.007640
Remote IBE-KEM 384,214.970886,118.085479,0.009399,0.548195,0.009399
Remote IBE-KEM 384,212.431861,116.407333,0.008690,0.865289,0.008690
