algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
Remote IBE-KEM 384,24.618216,24.157912,0.015446,8.509205,0.015446
Remote IBE-KEM 384,14.224087,13.737484,0.015409,0.410440,0.015409
Remote IBE-KEM 384,17.995930,17.324342,0.011181,0.642649,0.011181
Remote IBE-KEM 384,14.331172,13.635271,0.013050,0.429352,0.013050
Remote IBE-KEM 384,13.540579,13.166069,0.010838,0.437038,0.010838
Remote IBE-KEM 384,14.777531,14.195746,0.016175,0.422655,0.016175
Remote IBE-KEM 384,19.671769,19.058128,0.020523,0.665884,0.020523
Remote IBE-KEM 384,20.637263,20.012088,0.009775,0.485689,0.009775
Remote IBE-KEM 384,19.599123,19.161054,0.011857,0.537641,0.011857
Remote IBE-KEM 384,18.028011,17.405191,0.016883,0.511183,0.016883
Remote IBE-KEM 384,15.716806,15.185683,0.011634,0.418479,0.011634
Remote IBE-KEM 384,13.987766,13.421560,0.012772,0.446068,0.012772
Remote IBE-KEM 384,16.005932,15.468807,0.016924,0.444582,0.016924
Remote IBE-KEM 384,14.549496,14.082569,0.009835,0.469771,0.009835
Remote IBE-KEM 384,13.511397,12.948340,0.011247,0.458958,0.011247
Remote IBE-KEM 384,19.342477,18.786858,0.014189,0.741145,0.014189
Remote IBE-KEM 384,15.458853,14.958647,0.011101,0.457087,0.011101
Remote IBE-KEM 384,14.827390,14.397998,0.016401,0.515565,0.016401
Remote IBE-KEM 384,16.801683,16.303913,0.013737,0.438114,0.013737
Remote IBE-KEM 384,14.481382,13.938475,0.010055,0.392647,0.010055
Remote IBE-KEM 384,17.717589,17.200014,0.020250,0.572306,0.020250
Remote IBE-KEM 384,14.051605,13.525843,0.029931,0.404977,0.029931
Remote IBE-KEM 384,15.328259,14.836066,0.014127,0.465808,0.014127
Remote IBE-KEM 384,13.532589,13.135211,0.012408,0.384473,0.012408
Remote IBE-KEM 384,13.565386,13.070440,0.013764,0.424103,0.013764
Remote IBE-KEM 384,18.419926,18.007327,0.010663,0.542300,0.010663
Remote IBE-KEM 384,14.614174,14.071262,0.008517,0.470619,0.008517
Remote IBE-KEM 384,13.422873,13.009355,0.011498,0.392946,0.011498
Remote IBE-KEM 384,13.979321,13.463635,0.006519,0.401929,0.006519
Remote IBE-KEM 384,15.580426,14.985311,0.014408,0.412385,0.014408
Remote IBE-KEM 384,17.047179,16.619747,0.013652,0.415173,0.013652
Remote IBE-KEM 384,15.884492,15.481699,0.013139,0.451809,0.013139
Remote IBE-KEM 384,13.745787,13.262917,0.022779,0.459357,0.022779
Remote IBE-KEM 384,15.668022,15.208590,0.016061,0.506759,0.016061
Remote IBE-KEM 384,13.513925,13.022569,0.014103,0.389022,0.014103
Remote IBE-KEM 384,14.826787,14.374573,0.011810,0.650550,0.011810
Remote IBE-KEM 384,16.713959,16.078115,0.013176,0.478820,0.013176
Remote IBE-KEM 384,16.444852,15.958615,0.013993,0.422342,0.013993
Remote IBE-KEM 384,18.317015,17.908141,0.021112,0.575974,0.021112
Remote IBE-KEM 384,23.118824,22.504373,0.012147,0.442694,0.012147
Remote IBE-KEM 384,14.261433,13.493713,0.013969,0.407426,0.013969
Remote IBE-KEM 384,23.492877,22.863242,0.013836,0.692925,0.013836
Remote IBE-KEM 384,13.984222,13.497175,0.008690,0.415703,0.008690
Remote IBE-KEM 384,13.757074,13.297156,0.016826,0.425863,0.016826
Remote IBE-KEM 384,22.615411,21.955389,0.017224,0.457331,0.017224
Remote IBE-KEM 384,13.728442,13.216165,0.018175,0.618007,0.018175
Remote IBE-KEM 384,13.634006,13.140635,0.012453,0.403019,0.012453
Remote IBE-KEM 384,13.662887,13.147485,0.012533,0.409729,0.012533
Remote IBE-KEM 384,13.829412,13.320550,0.010965,0.405252,0.010965
Remote IBE-KEM 384,17.432572,16.964291,0.015484,0.504066,0.015484
Remote IBE-KEM 384,18.038463,17.230683,0.012641,0.403597,0.012641
Remote IBE-KEM 384,21.241179,20.494108,0.014284,0.616820,0.014284
Remote IBE-KEM 384,14.154959,13.398641,0.012291,0.452101,0.012291
Remote IBE-KEM 384,13.995171,13.452939,0.014946,0.449815,0.014946
Remote IBE-KEM 384,13.578731,13.168552,0.013894,0.408307,0.013894
Remote IBE-KEM 384,14.053337,13.334913,0.012126,0.429248,0.012126
Remote IBE-KEM 384,13.242187,12.817560,0.011724,0.449493,0.011724
Remote IBE-KEM 384,13.997890,13.509887,0.015292,0.447101,0.015292
Remote IBE-KEM 384,14.515224,13.842285,0.019284,0.533325,0.019284
Remote IBE-KEM 384,14.753095,14.291823,0.013203,0.484764,0.013203
Remote IBE-KEM 384,14.900795,14.404967,0.011678,0.388884,0.011678
Remote IBE-KEM 384,14.193367,13.721001,0.010802,0.402544,0.010802
Remote IBE-KEM 384,15.799846,15.347281,0.010971,0.449466,0.010971
Remote IBE-KEM 384,13.490329,13.084310,0.015906,0.392154,0.015906
Remote IBE-KEM 384,20.660883,20.043123,0.019130,0.596859,0.019130
Remote IBE-KEM 384,13.619052,13.191079,0.013968,0.458753,0.013968
Remote IBE-KEM 384,14.924659,14.434262,0.012377,0.460833,0.012377
Remote IBE-KEM 384,17.676731,16.896678,0.013189,0.495591,0.013189
Remote IBE-KEM 384,14.027543,13.522951,0.010218,0.434056,0.010218
Remote IBE-KEM 384,13.855119,13.469519,0.010492,0.403616,0.010492
Remote IBE-KEM 384,13.374096,12.962627,0.012054,0.384506,0.012054
Remote IBE-KEM 384,13.659796,13.177750,0.015542,0.374070,0.015542
Remote IBE-KEM 384,18.959718,18.471901,0.015577,0.491282,0.015577
Remote IBE-KEM 384,14.619514,13.884417,0.013509,0.413301,0.013509
Remote IBE-KEM 384,14.658842,14.133495,0.014329,0.445331,0.014329
Remote IBE-KEM 384,13.159290,12.719670,0.012346,0.440025,0.012346
Remote IBE-KEM 384,14.542131,14.134367,0.013964,0.452900,0.013964
Remote IBE-KEM 384,14.483074,14.034224,0.011103,0.659250,0.011103
Remote IBE-KEM 384,13.486179,13.077412,0.012212,0.461503,0.012212
Remote IBE-KEM 384,13.867168,13.438869,0.013047,0.409574,0.013047
Remote IBE-KEM 384,19.030544,18.547552,0.016602,0.572470,0.016602
Remote IBE-KEM 384,13.952453,13.237742,0.014778,0.395306,0.014778
Remote IBE-KEM 384,14.042672,13.529959,0.008882,0.431211,0.008882
Remote IBE-KEM 384,14.576382,13.780232,0.012798,0.411195,0.012798
Remote IBE-KEM 384,14.913113,14.457646,0.010601,0.416417,0.010601
Remote IBE-KEM 384,14.148260,13.659279,0.009357,0.379351,0.009357
Remote IBE-KEM 384,14.573042,14.040744,0.013051,0.420922,0.013051
Remote IBE-KEM 384,17.662117,17.059685,0.020467,0.485950,0.020467
Remote IBE-KEM 384,18.633302,18.074608,0.016210,0.521578,0.016210
Remote IBE-KEM 384,16.028631,15.655129,0.013071,0.525169,0.013071
Remote IBE-KEM 384,13.333311,12.899937,0.013968,0.393545,0.013968
Remote IBE-KEM 384,13.828501,13.098066,0.010547,0.402499,0.010547
Remote IBE-KEM 384,15.233095,14.720331,0.020627,0.505222,0.020627
Remote IBE-KEM 384,13.434821,12.903669,0.013872,0.407989,0.013872
Remote IBE-KEM 384,13.984760,13.431755,0.015531,0.488339,0.015531
Remote IBE-KEM 384,13.209640,12.803531,0.012599,0.386690,0.012599
Remote IBE-KEM 384,17.763795,17.184339,0.013416,0.457507,0.013416
Remote IBE-KEM 384,15.232225,14.728228,0.015384,0.416755,0.015384
Remote IBE-KEM 384,18.751592,18.103652,0.015108,0.439086,0.015108
Remote IBE-KEM 384,15.682271,14.998954,0.010165,0.459521,0.010165
Remote IBE-KEM 384,13.730111,13.286184,0.016455,0.452067,0.016455
Remote IBE-KEM 384,15.092181,14.474584,0.011121,0.430856,0.011121
Remote IBE-KEM 384,16.850043,16.232197,0.011633,0.398370,0.011633
Remote IBE-KEM 384,15.539287,14.894241,0.011670,0.442986,0.011670
Remote IBE-KEM 384,18.428867,17.965594,0.017094,0.444461,0.017094
Remote IBE-KEM 384,13.427207,12.766261,0.012963,0.433259,0.012963
Remote IBE-KEM 384,15.239412,14.788275,0.017795,0.438791,0.017795
Remote IBE-KEM 384,14.266283,13.720409,0.012659,0.457577,0.012659
Remote IBE-KEM 384,13.855408,13.404078,0.015255,0.391737,0.015255
Remote IBE-KEM 384,14.544002,14.070996,0.014583,0.456885,0.014583
Remote IBE-KEM 384,13.729304,13.149344,0.011887,0.407801,0.011887
Remote IBE-KEM 384,13.596444,13.202080,0.013059,0.392537,0.013059
Remote IBE-KEM 384,13.632674,13.220608,0.009342,0.461291,0.009342
Remote IBE-KEM 384,15.176287,14.600849,0.014687,0.436401,0.014687
Remote IBE-KEM 384,13.941203,13.439481,0.010941,0.413988,0.010941
Remote IBE-KEM 384,17.514982,16.975422,0.009683,0.513544,0.009683
Remote IBE-KEM 384,14.429720,13.976491,0.012438,0.478315,0.012438
Remote IBE-KEM 384,13.895169,13.258080,0.014351,0.402966,0.014351
Remote IBE-KEM 384,13.602172,13.120076,0.010865,0.511262,0.010865
Remote IBE-KEM 384,20.315419,19.815214,0.009994,0.462410,0.009994
Remote IBE-KEM 384,13.727106,13.342464,0.017044,0.465749,0.017044
Remote IBE-KEM 384,14.582266,14.164810,0.012372,0.443839,0.012372
Remote IBE-KEM 384,17.987319,17.217598,0.015222,0.416335,0.015222
Remote IBE-KEM 384,13.557596,13.088520,0.008737,0.470956,0.008737
Remote IBE-KEM 384,24.050951,23.261501,0.010567,0.402195,0.010567
Remote IBE-KEM 384,13.639896,13.250889,0.014873,0.450048,0.014873
Remote IBE-KEM 384,17.197060,16.523179,0.019651,0.463168,0.019651
Remote IBE-KEM 384,14.215764,13.825653,0.012842,0.462395,0.012842
Remote IBE-KEM 384,18.202645,17.694652,0.016198,0.422071,0.016198
Remote IBE-KEM 384,13.850963,13.403020,0.010872,0.421162,0.010872
Remote IBE-KEM 384,13.499519,13.026291,0.009297,0.399758,0.009297
Remote IBE-KEM 384,14.175987,13.733869,0.014674,0.410911,0.014674
Remote IBE-KEM 384,15.365122,14.691684,0.009266,0.414994,0.009266
Remote IBE-KEM 384,13.978551,13.484081,0.012773,0.429995,0.012773
Remote IBE-KEM 384,14.400845,13.976938,0.013413,0.958494,0.013413
Remote IBE-KEM 384,13.758563,13.242300,0.012682,0.440326,0.012682
Remote IBE-KEM 384,21.933435,21.319190,0.015500,0.441310,0.015500
Remote IBE-KEM 384,18.419108,17.731974,0.013102,0.461062,0.013102
Remote IBE-KEM 384,16.481964,15.952490,0.015764,0.446858,0.015764
Remote IBE-KEM 384,17.912165,17.431769,0.013233,0.433600,0.013233
Remote IBE-KEM 384,13.609005,13.137078,0.011964,0.468359,0.011964
Remote IBE-KEM 384,13.982978,13.424643,0.013867,0.411189,0.013867
Remote IBE-KEM 384,15.951975,15.503339,0.015305,0.448016,0.015305
Remote IBE-KEM 384,18.948401,18.390408,0.018617,0.633294,0.018617
Remote IBE-KEM 384,14.038257,13.526020,0.014639,0.467129,0.014639
Remote IBE-KEM 384,15.235786,14.674111,0.025972,0.402559,0.025972
Remote IBE-KEM 384,14.462396,13.964954,0.012592,0.408841,0.012592
Remote IBE-KEM 384,13.578731,13.054464,0.010460,0.471028,0.010460
Remote IBE-KEM 384,13.749335,13.276556,0.010608,0.443878,0.010608
Remote IBE-KEM 384,14.278206,13.801073,0.014540,0.402585,0.014540
Remote IBE-KEM 384,16.529626,15.779302,0.021468,0.626793,0.021468
Remote IBE-KEM 384,14.807466,14.345513,0.007618,0.447152,0.007618
Remote IBE-KEM 384,13.517127,12.930703,0.009336,0.427023,0.009336
Remote IBE-KEM 384,13.794018,13.275698,0.009324,0.410460,0.009324
Remote IBE-KEM 384,14.752583,14.103496,0.010293,0.438248,0.010293
Remote IBE-KEM 384,13.593033,13.152749,0.012291,0.449969,0.012291
Remote IBE-KEM 384,19.678433,19.067145,0.020251,0.489659,0.020251
Remote IBE-KEM 384,15.502826,14.986970,0.015161,0.445642,0.015161
Remote IBE-KEM 384,13.732535,13.268301,0.012767,0.399052,0.012767
Remote IBE-KEM 384,15.274086,14.593755,0.020270,0.625752,0.020270
Remote IBE-KEM 384,17.782546,17.253978,0.014456,0.464654,0.014456
Remote IBE-KEM 384,15.727394,15.215703,0.015802,0.568778,0.015802
Remote IBE-KEM 384,16.032956,15.241660,0.012487,0.413610,0.012487
Remote IBE-KEM 384,13.557277,13.159133,0.012138,0.464836,0.012138
Remote IBE-KEM 384,15.944330,15.310701,0.012859,0.450405,0.012859
Remote IBE-KEM 384,16.122829,15.584785,0.008495,0.413108,0.008495
Remote IBE-KEM 384,18.029635,17.291565,0.016187,0.512344,0.016187
Remote IBE-KEM 384,14.266924,13.757516,0.009733,0.464500,0.009733
Remote IBE-KEM 384,14.810821,14.269766,0.015040,0.425585,0.015040
Remote IBE-KEM 384,19.101885,18.434683,0.017168,0.530463,0.017168
Remote IBE-KEM 384,15.305805,14.790506,0.006515,0.416611,0.006515
Remote IBE-KEM 384,14.703108,14.266386,0.012794,0.394389,0.012794
Remote IBE-KEM 384,14.800247,14.044145,0.012778,0.407963,0.012778
Remote IBE-KEM 384,21.483965,20.882033,0.015525,0.455139,0.015525
Remote IBE-KEM 384,15.388965,14.924227,0.011838,0.479015,0.011838
Remote IBE-KEM 384,19.366253,18.747100,0.014911,0.537727,0.014911
Remote IBE-KEM 384,14.343612,13.769180,0.013799,0.438019,0.013799
Remote IBE-KEM 384,18.278024,17.671964,0.012063,0.565613,0.012063
Remote IBE-KEM 384,13.655957,13.213438,0.010634,0.383573,0.010634
Remote IBE-KEM 384,13.524163,13.099242,0.016562,0.420109,0.016562
Remote IBE-KEM 384,13.891255,13.437644,0.013624,0.401704,0.013624
Remote IBE-KEM 384,13.352989,12.918684,0.012173,0.396961,0.012173
Remote IBE-KEM 384,15.064977,14.480967,0.018922,0.497556,0.018922
Remote IBE-KEM 384,16.158908,15.663237,0.016256,0.498296,0.016256
Remote IBE-KEM 384,14.107841,13.684115,0.009055,0.402399,0.009055
Remote IBE-KEM 384,16.979052,16.395766,0.017209,0.535565,0.017209
Remote IBE-KEM 384,19.433496,18.907957,0.016308,0.426057,0.016308
Remote IBE-KEM 384,14.667596,14.282419,0.010936,0.405626,0.010936
Remote IBE-KEM 384,14.584261,13.980336,0.014625,0.414385,0.014625
Remote IBE-KEM 384,13.392854,12.969013,0.012711,0.431675,0.012711
Remote IBE-KEM 384,19.163339,18.655008,0.013664,0.603278,0.013664
Remote IBE-KEM 384,13.626665,13.216650,0.009025,0.432166,0.009025
Remote IBE-KEM 384,15.416622,15.003897,0.012825,0.512435,0.012825
Remote IBE-KEM 384,21.727735,21.232600,0.017670,0.566118,0.017670
Remote IBE-KEM 384,20.971389,20.299691,0.018240,0.486997,0.018240
Remote IBE-KEM 384,16.731759,16.173377,0.015522,0.500039,0.015522
Remote IBE-KEM 384,13.371162,12.927492,0.027396,0.397623,0.027396
Remote IBE-KEM 384,21.349099,20.812591,0.013834,0.493088,0.013834
Remote IBE-KEM 384,14.103369,13.635350,0.011639,0.445505,0.011639
Remote IBE-KEM 384,14.605471,13.912337,0.008720,0.449921,0.008720
Remote IBE-KEM 384,14.254875,13.718913,0.010407,0.422356,0.010407
Remote IBE-KEM 384,14.476545,13.886385,0.011362,0.404360,0.011362
Remote IBE-KEM 384,14.151052,13.669128,0.010406,0.421111,0.010406
Remote IBE-KEM 384,13.418600,13.030930,0.012747,0.426275,0.012747
Remote IBE-KEM 384,15.132226,14.445865,0.010836,0.451231,0.010836
Remote IBE-KEM 384,14.306124,13.849672,0.016810,0.509712,0.016810
Remote IBE-KEM 384,15.035287,14.381965,0.009064,0.429695,0.009064
Remote IBE-KEM 384,20.907457,20.443721,0.016235,0.558978,0.016235
Remote IBE-KEM 384,14.765132,14.263617,0.010456,0.464070,0.010456
Remote IBE-KEM 384,14.146271,13.718580,0.009603,0.457534,0.009603
Remote IBE-KEM 384,15.844661,15.188227,0.015791,0.609987,0.015791
Remote IBE-KEM 384,19.500900,18.819118,0.018984,0.648928,0.018984
Remote IBE-KEM 384,13.829141,13.412677,0.016173,0.419051,0.016173
Remote IBE-KEM 384,18.455784,17.865845,0.014822,0.410016,0.014822
Remote IBE-KEM 384,15.254191,14.583322,0.015346,0.396917,0.015346
Remote IBE-KEM 384,17.064808,16.293606,0.014994,0.436705,0.014994
Remote IBE-KEM 384,14.288403,13.897488,0.010472,0.479754,0.010472
Remote IBE-KEM 384,13.712043,13.214748,0.011919,0.436918,0.011919
Remote IBE-KEM 384,13.625446,13.182722,0.012971,0.446923,0.012971
Remote IBE-KEM 384,13.415487,12.990709,0.012939,0.401257,0.012939
Remote IBE-KEM 384,17.489871,17.036561,0.012225,0.457170,0.012225
Remote IBE-KEM 384,14.641216,13.918260,0.008860,0.435465,0.008860
Remote IBE-KEM 384,14.089382,13.619985,0.015522,0.457024,0.015522
Remote IBE-KEM 384,14.130666,13.629891,0.009417,0.414828,0.009417
Remote IBE-KEM 384,17.845864,17.227256,0.019684,0.462499,0.019684
Remote IBE-KEM 384,15.167565,14.652674,0.013051,0.472978,0.013051
Remote IBE-KEM 384,23.460988,22.728959,0.019063,0.612981,0.019063
Remote IBE-KEM 384,16.235116,15.670800,0.013278,0.581451,0.013278
Remote IBE-KEM 384,13.634730,13.176700,0.011211,0.456676,0.011211
Remote IBE-KEM 384,22.212547,21.637076,0.012424,0.534175,0.012424
Remote IBE-KEM 384,13.790590,13.285137,0.009443,0.381664,0.009443
Remote IBE-KEM 384,16.298403,15.855403,0.007356,0.452077,0.007356
Remote IBE-KEM 384,15.753996,15.285317,0.012990,0.600646,0.012990
Remote IBE-KEM 384,14.735082,14.285105,0.016201,0.425141,0.016201
Remote IBE-KEM 384,15.355956,14.341033,0.015977,0.509253,0.015977
Remote IBE-KEM 384,16.994845,16.341847,0.008984,0.457271,0.008984
Remote IBE-KEM 384,14.407737,13.957768,0.010920,0.443948,0.010920
Remote IBE-KEM 384,17.547113,17.019593,0.011137,0.390008,0.011137
Remote IBE-KEM 384,13.575367,13.107627,0.010806,0.400939,0.010806
Remote IBE-KEM 384,22.668830,21.997154,0.012209,0.468623,0.012209
Remote IBE-KEM 384,14.504969,13.784654,0.011573,0.372306,0.011573
Remote IBE-KEM 384,13.623542,13.107563,0.013055,0.459598,0.013055
Remote IBE-KEM 384,13.167782,12.722289,0.013880,0.449919,0.013880
Remote IBE-KEM 384,19.391582,18.991890,0.012780,0.545596,0.012780
Remote IBE-KEM 384,13.626658,13.231615,0.011089,0.459978,0.011089
Remote IBE-KEM 384,13.645342,13.274250,0.014712,0.432849,0.014712
Remote IBE-KEM 384,16.296046,15.753633,0.010356,0.557130,0.010356
Remote IBE-KEM 384,18.653654,18.262370,0.012304,0.480457,0.012304
Remote IBE-KEM 384,14.340884,13.876606,0.011292,0.423895,0.011292
Remote IBE-KEM 384,17.012533,16.556534,0.012170,0.456630,0.012170
Remote IBE-KEM 384,13.798968,13.307683,0.007622,0.409441,0.007622
Remote IBE-KEM 384,14.221109,13.773528,0.015190,0.414659,0.015190
Remote IBE-KEM 384,14.359401,13.853502,0.014656,0.507356,0.014656
Remote IBE-KEM 384,15.528622,15.068552,0.010409,0.422084,0.010409
Remote IBE-KEM 384,19.448140,18.886612,0.015133,0.542754,0.015133
Remote IBE-KEM 384,14.615596,14.128308,0.013721,0.602925,0.013721
Remote IBE-KEM 384,19.248286,18.498373,0.016395,0.562687,0.016395
Remote IBE-KEM 384,13.845783,13.433904,0.009094,0.425761,0.009094
Remote IBE-KEM 384,14.745569,14.224021,0.015186,0.466556,0.015186
Remote IBE-KEM 384,13.365981,12.867897,0.012582,0.388927,0.012582
Remote IBE-KEM 384,13.947706,13.433461,0.015922,0.433117,0.015922
Remote IBE-KEM 384,13.521962,13.125375,0.012125,0.483110,0.012125
Remote IBE-KEM 384,13.911089,13.502364,0.012911,0.427659,0.012911
Remote IBE-KEM 384,13.843133,13.340454,0.010964,0.436170,0.010964
Remote IBE-KEM 384,14.101357,13.645616,0.011431,0.462107,0.011431
Remote IBE-KEM 384,14.716208,14.079193,0.013346,0.397753,0.013346
Remote IBE-KEM 384,16.331322,15.859589,0.019206,0.480318,0.019206
Remote IBE-KEM 384,13.799602,13.079498,0.012644,0.447877,0.012644
Remote IBE-KEM 384,14.114657,13.666985,0.010873,0.406472,0.010873
Remote IBE-KEM 384,12.855939,12.437357,0.015259,0.433442,0.015259
Remote IBE-KEM 384,16.622046,16.216122,0.018573,0.604050,0.018573
Remote IBE-KEM 384,13.467061,12.984493,0.013350,0.415043,0.013350
Remote IBE-KEM 384,13.538996,13.147824,0.009282,0.420938,0.009282
Remote IBE-KEM 384,16.108591,15.719334,0.019293,0.469362,0.019293
Remote IBE-KEM 384,17.555197,17.174372,0.014869,0.491463,0.014869
Remote IBE-KEM 384,18.005447,17.464340,0.014505,0.713076,0.014505
Remote IBE-KEM 384,13.772694,13.372132,0.013212,0.449733,0.013212
Remote IBE-KEM 384,24.994710,24.376518,0.013694,0.666385,0.013694
Remote IBE-KEM 384,15.590413,15.104437,0.016766,0.680057,0.016766
Remote IBE-KEM 384,14.726303,14.350100,0.015453,0.483185,0.015453
Remote IBE-KEM 384,13.115583,12.618286,0.013112,0.457917,0.013112
Remote IBE-KEM 384,14.430011,13.837911,0.011407,0.497661,0.011407
Remote IBE-KEM 384,13.169848,12.798710,0.009547,0.400375,0.009547
Remote IBE-KEM 384,13.454981,12.950823,0.007337,0.460723,0.007337
Remote IBE-KEM 384,13.503905,12.962013,0.012153,0.399020,0.012153
Remote IBE-KEM 384,14.866029,14.385273,0.017964,0.438503,0.017964
Remote IBE-KEM 384,13.076758,12.620811,0.012446,0.454964,0.012446
Remote IBE-KEM 384,19.066022,18.431260,0.013973,0.647231,0.013973
Remote IBE-KEM 384,18.546003,17.674340,0.014931,0.540933,0.014931
Remote IBE-KEM 384,13.540009,13.017334,0.010267,0.448346,0.010267
Remote IBE-KEM 384,14.547567,14.029882,0.012092,0.600309,0.012092
Remote IBE-KEM 384,13.836780,13.299202,0.008899,0.453179,0.008899
Remote IBE-KEM 384,17.987439,17.379265,0.015665,0.577054,0.015665
Remote IBE-KEM 384,13.784792,13.314576,0.012826,0.424208,0.012826
Remote IBE-KEM 384,14.548128,13.898270,0.012285,0.446654,0.012285
Remote IBE-KEM 384,14.054878,13.469680,0.014503,0.433270,0.014503
Remote IBE-KEM 384,13.503873,13.026789,0.016003,0.395963,0.016003
Remote IBE-KEM 384,14.447115,14.047682,0.013766,0.384472,0.013766
Remote IBE-KEM 384,13.264715,12.800228,0.015372,0.443795,0.015372
Remote IBE-KEM 384,22.233017,21.559393,0.012311,0.431485,0.012311
Remote IBE-KEM 384,13.353715,12.875056,0.014461,0.396476,0.014461
Remote IBE-KEM 384,16.963476,16.462095,0.016498,0.610921,0.016498
Remote IBE-KEM 384,13.266897,12.869953,0.014335,0.415695,0.014335
Remote IBE-KEM 384,14.835142,14.365428,0.018235,0.511114,0.018235
Remote IBE-KEM 384,24.145207,23.478480,0.022157,0.627427,0.022157
Remote IBE-KEM 384,15.468300,14.892488,0.016772,0.438314,0.016772
Remote IBE-KEM 384,16.412285,15.850629,0.016155,0.558157,0.016155
Remote IBE-KEM 384,13.972549,13.560933,0.014004,0.394368,0.014004
Remote IBE-KEM 384,16.438257,15.900470,0.008475,0.477165,0.008475
Remote IBE-KEM 384,13.640134,13.158539,0.009874,0.458562,0.009874
Remote IBE-KEM 384,13.462576,13.038681,0.014568,0.446014,0.014568
Remote IBE-KEM 384,17.374569,16.866140,0.008568,0.554088,0.008568
Remote IBE-KEM 384,13.521087,13.089434,0.013686,0.433981,0.013686
Remote IBE-KEM 384,13.600997,13.137749,0.009938,0.418103,0.009938
Remote IBE-KEM 384,13.310746,12.801250,0.011256,0.393172,0.011256
Remote IBE-KEM 384,13.120956,12.607896,0.008444,0.430848,0.008444
Remote IBE-KEM 384,15.450312,14.877516,0.010868,0.440345,0.010868
Remote IBE-KEM 384,14.074386,13.642193,0.012349,0.537478,0.012349
Remote IBE-KEM 384,13.707580,13.192681,0.012808,0.388265,0.012808
Remote IBE-KEM 384,13.665421,12.882404,0.014529,0.452708,0.014529
Remote IBE-KEM 384,20.952750,20.259927,0.014056,0.646967,0.014056
Remote IBE-KEM 384,20.640960,20.129912,0.011459,0.609034,0.011459
Remote IBE-KEM 384,16.011978,15.404935,0.009506,0.386378,0.009506
Remote IBE-KEM 384,16.418917,16.022345,0.017460,0.688132,0.017460
Remote IBE-KEM 384,14.766205,14.257540,0.016944,0.893942,0.016944
Remote IBE-KEM 384,15.752723,15.147881,0.012581,0.387894,0.012581
Remote IBE-KEM 384,16.812820,16.244332,0.018621,0.540613,0.018621
Remote IBE-KEM 384,13.269396,12.845493,0.015316,0.425691,0.015316
Remote IBE-KEM 384,17.707521,17.258714,0.010250,0.512637,0.010250
Remote IBE-KEM 384,14.678689,14.159680,0.009074,0.388064,0.009074
Remote IBE-KEM 384,13.530605,13.153620,0.006532,0.425845,0.006532
Remote IBE-KEM 384,13.828752,13.413019,0.012098,0.565457,0.012098
Remote IBE-KEM 384,16.858335,16.454054,0.014763,0.611593,0.014763
Remote IBE-KEM 384,12.905402,12.459881,0.008361,0.421304,0.008361
Remote IBE-KEM 384,16.076803,15.472394,0.017667,0.584738,0.017667
Remote IBE-KEM 384,21.565215,21.072817,0.022185,0.708875,0.022185
Remote IBE-KEM 384,17.205225,16.350687,0.015422,0.449477,0.015422
Remote IBE-KEM 384,16.700016,16.273678,0.013219,0.481218,0.013219
Remote IBE-KEM 384,13.285582,12.732251,0.012152,0.393254,0.012152
Remote IBE-KEM 384,13.181050,12.736475,0.013442,0.409649,0.013442
Remote IBE-KEM 384,18.727308,18.084946,0.013344,0.713465,0.013344
Remote IBE-KEM 384,25.211801,24.505496,0.011641,0.626812,0.011641
Remote IBE-KEM 384,16.657367,16.139196,0.013281,0.419849,0.013281
Remote IBE-KEM 384,15.634308,15.101348,0.013399,0.412682,0.013399
Remote IBE-KEM 384,14.599493,14.062675,0.014088,0.445306,0.014088
Remote IBE-KEM 384,15.132952,14.573875,0.016689,0.552526,0.016689
Remote IBE-KEM 384,13.834567,13.421458,0.017632,0.438725,0.017632
Remote IBE-KEM 384,13.839462,13.376048,0.012516,0.400787,0.012516
Remote IBE-KEM 384,13.523556,12.983488,0.008864,0.417779,0.008864
Remote IBE-KEM 384,16.066680,15.407819,0.009269,0.378708,0.009269
Remote IBE-KEM 384,14.023159,13.566785,0.011513,0.406738,0.011513
Remote IBE-KEM 384,13.848230,13.240274,0.009907,0.479674,0.009907
Remote IBE-KEM 384,13.261008,12.856757,0.014717,0.449229,0.014717
Remote IBE-KEM 384,24.621930,24.032706,0.017176,0.583388,0.017176
Remote IBE-KEM 384,14.501608,14.116584,0.014895,0.523471,0.014895
Remote IBE-KEM 384,17.827127,17.134322,0.014416,0.483095,0.014416
Remote IBE-KEM 384,13.371868,12.877275,0.011848,0.464056,0.011848
Remote IBE-KEM 384,15.161130,14.746555,0.010106,0.431773,0.010106
Remote IBE-KEM 384,13.570349,13.160850,0.013185,0.437890,0.013185
