algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
P384_Kyber768,20.690909,19.853565,0.024375,1.252408,0.024375
P384_Kyber768,25.902592,24.954070,0.020969,1.403602,0.020969
P384_Kyber768,21.895995,20.723569,0.019461,1.396811,0.019461
P384_Kyber768,25.933421,25.082664,0.038630,1.573097,0.038630
P384_Kyber768,25.979548,24.049387,0.021624,1.298725,0.021624
P384_Kyber768,28.425249,26.622419,0.022086,1.740370,0.022086
P384_Kyber768,24.323177,23.166253,0.014990,0.570846,0.014990
P384_Kyber768,21.988812,20.777478,0.038959,1.412235,0.038959
P384_Kyber768,26.832050,25.357565,0.041154,1.529520,0.041154
P384_Kyber768,17.997517,17.038995,0.020038,1.334541,0.020038
P384_Kyber768,26.519258,25.086626,0.022003,1.388956,0.022003
P384_Kyber768,20.571111,19.809209,0.020344,1.227704,0.020344
P384_Kyber768,21.674107,20.697183,0.024731,1.359759,0.024731
P384_Kyber768,27.064483,25.476768,0.025689,1.471515,0.025689
P384_Kyber768,24.163490,23.367726,0.028265,1.306321,0.028265
P384_Kyber768,27.174339,24.542670,0.025504,1.818658,0.025504
P384_Kyber768,25.915108,25.162299,0.039593,1.336061,0.039593
P384_Kyber768,27.441343,25.742252,0.022087,1.385964,0.022087
P384_Kyber768,24.385881,23.559448,0.032202,1.370998,0.032202
P384_Kyber768,24.756192,23.928902,0.019020,1.244149,0.019020
P384_Kyber768,27.646020,25.827833,0.020875,1.211871,0.020875
P384_Kyber768,24.760273,23.912136,0.022191,1.342714,0.022191
P384_Kyber768,26.233759,25.389908,0.023564,1.432057,0.023564
P384_Kyber768,22.101681,21.100459,0.021422,1.236100,0.021422
P384_Kyber768,22.893330,22.063482,0.039142,1.429904,0.039142
P384_Kyber768,22.634991,21.744782,0.040350,1.278447,0.040350
P384_Kyber768,24.115796,23.316493,0.019634,1.304354,0.019634
P384_Kyber768,25.577976,24.700920,0.019531,1.380765,0.019531
P384_Kyber768,25.540570,23.851489,0.021296,1.470050,0.021296
P384_Kyber768,23.587862,22.761115,0.018790,1.198855,0.018790
P384_Kyber768,21.818570,20.968400,0.022442,1.967862,0.022442
P384_Kyber768,26.167006,23.734074,0.022531,1.235312,0.022531
P384_Kyber768,27.742777,26.842310,0.020261,1.325627,0.020261
P384_Kyber768,23.719402,22.919234,0.020101,1.364677,0.020101
P384_Kyber768,21.531855,20.636895,0.024264,1.425843,0.024264
P384_Kyber768,21.624404,20.711764,0.037210,1.471155,0.037210
P384_Kyber768,24.106930,23.162164,0.024536,1.440589,0.024536
P384_Kyber768,19.943824,19.026432,0.021047,0.483590,0.021047
P384_Kyber768,21.483202,20.655272,0.019754,1.431304,0.019754
P384_Kyber768,27.827980,26.393757,0.038452,1.441769,0.038452
P384_Kyber768,25.924603,24.000064,0.021545,1.340543,0.021545
P384_Kyber768,20.924486,19.899110,0.025760,1.350645,0.025760
P384_Kyber768,24.734963,23.943560,0.022457,1.284890,0.022457
P384_Kyber768,24.049942,23.145794,0.021108,1.286230,0.021108
P384_Kyber768,23.882275,22.943835,0.022855,1.292087,0.022855
P384_Kyber768,28.641536,26.583402,0.023489,1.318103,0.023489
P384_Kyber768,22.978823,22.144966,0.024243,1.428344,0.024243
P384_Kyber768,25.597506,24.771034,0.033930,1.394383,0.033930
P384_Kyber768,26.143551,25.278996,0.023759,1.403818,0.023759
P384_Kyber768,27.224326,26.395606,0.024113,1.352849,0.024113
P384_Kyber768,23.247639,22.470093,0.020063,1.309588,0.020063
P384_Kyber768,24.545932,23.794239,0.021195,1.337616,0.021195
P384_Kyber768,25.899925,25.106381,0.023412,1.143731,0.023412
P384_Kyber768,29.124877,26.708522,0.022990,1.502219,0.022990
P384_Kyber768,22.601900,21.139429,0.051685,1.307134,0.051685
P384_Kyber768,26.863888,26.117135,0.020731,1.482378,0.020731
P384_Kyber768,20.997329,19.893536,0.021671,1.345161,0.021671
P384_Kyber768,21.361757,20.483413,0.025616,1.298170,0.025616
P384_Kyber768,26.789960,24.751706,0.018452,1.893141,0.018452
P384_Kyber768,27.256972,25.701605,0.021182,1.314790,0.021182
P384_Kyber768,24.170693,23.317745,0.027166,1.215351,0.027166
P384_Kyber768,17.980827,17.226738,0.021236,1.432927,0.021236
P384_Kyber768,19.397791,18.497915,0.018422,1.334565,0.018422
P384_Kyber768,27.262734,26.329123,0.059940,1.470725,0.059940
P384_Kyber768,21.306095,20.437957,0.021059,1.343633,0.021059
P384_Kyber768,22.890283,22.113547,0.019086,1.185145,0.019086
P384_Kyber768,28.310880,26.539384,0.037205,1.409340,0.037205
P384_Kyber768,25.367938,24.542562,0.020771,1.380803,0.020771
P384_Kyber768,18.319808,17.165363,0.008822,0.483272,0.008822
P384_Kyber768,21.781490,20.699947,0.021184,1.340717,0.021184
P384_Kyber768,22.432841,21.595363,0.024054,1.270320,0.024054
P384_Kyber768,23.633996,22.747776,0.022725,1.438570,0.022725
P384_Kyber768,21.962707,20.811108,0.020919,1.299332,0.020919
P384_Kyber768,31.171474,29.003657,0.025506,1.321022,0.025506
P384_Kyber768,19.579641,18.727545,0.026016,1.496138,0.026016
P384_Kyber768,20.008825,19.148131,0.022297,1.341256,0.022297
P384_Kyber768,25.385343,23.849940,0.035102,1.441591,0.035102
P384_Kyber768,22.075090,19.740755,0.030512,1.358187,0.030512
P384_Kyber768,31.265541,29.891150,0.020635,1.301984,0.020635
P384_Kyber768,28.411591,27.575742,0.019403,1.563229,0.019403
P384_Kyber768,23.105290,22.353773,0.018546,1.434388,0.018546
P384_Kyber768,23.734957,21.756638,0.022476,1.341751,0.022476
P384_Kyber768,23.097000,21.892137,0.019504,1.250957,0.019504
P384_Kyber768,26.114754,25.298844,0.025903,1.383547,0.025903
P384_Kyber768,21.200468,20.321421,0.018822,1.334933,0.018822
P384_Kyber768,26.779900,25.307869,0.022330,1.381807,0.022330
P384_Kyber768,25.980433,25.152411,0.038326,1.286159,0.038326
P384_Kyber768,26.168562,23.850509,0.018703,1.237013,0.018703
P384_Kyber768,26.942171,25.316188,0.029874,1.388820,0.029874
P384_Kyber768,27.990051,26.451203,0.019347,1.289007,0.019347
P384_Kyber768,26.579031,25.042730,0.036534,1.276857,0.036534
P384_Kyber768,22.653283,21.798578,0.018186,1.309047,0.018186
P384_Kyber768,23.076626,22.173903,0.018903,1.878738,0.018903
P384_Kyber768,26.198263,24.970603,0.018982,1.436226,0.018982
P384_Kyber768,30.369191,28.435982,0.034888,1.291848,0.034888
P384_Kyber768,17.979131,17.001951,0.026925,1.328312,0.026925
P384_Kyber768,25.954639,25.053534,0.028105,1.396273,0.028105
P384_Kyber768,23.886593,21.800421,0.019173,1.797350,0.019173
P384_Kyber768,25.384517,24.505441,0.012409,0.665295,0.012409
P384_Kyber768,15.666234,14.742514,0.016389,0.504796,0.016389
P384_Kyber768,22.917908,21.504352,0.008113,0.465048,0.008113
P384_Kyber768,25.854069,25.032830,0.037818,1.459519,0.037818
P384_Kyber768,21.230604,19.691480,0.018910,1.314666,0.018910
P384_Kyber768,23.126183,22.182452,0.017633,1.457739,0.017633
P384_Kyber768,24.628774,23.795946,0.039571,1.392094,0.039571
P384_Kyber768,20.786469,19.792118,0.027642,1.317581,0.027642
P384_Kyber768,25.177319,24.393836,0.022372,1.222172,0.022372
P384_Kyber768,22.636249,21.886693,0.019708,1.358421,0.019708
P384_Kyber768,23.147760,21.567384,0.019170,1.329025,0.019170
P384_Kyber768,25.017109,24.268101,0.043798,1.428761,0.043798
P384_Kyber768,23.694966,22.695865,0.022294,1.317317,0.022294
P384_Kyber768,26.177111,24.895085,0.020006,1.451452,0.020006
P384_Kyber768,25.123763,23.097112,0.031483,1.859509,0.031483
P384_Kyber768,23.627561,22.747189,0.018881,1.332415,0.018881
P384_Kyber768,26.183276,25.348332,0.020707,1.312956,0.020707
P384_Kyber768,21.115279,20.312349,0.027272,1.372030,0.027272
P384_Kyber768,25.668630,24.794367,0.035368,1.281198,0.035368
P384_Kyber768,26.008703,25.220802,0.024761,1.229970,0.024761
P384_Kyber768,21.314481,20.182701,0.020619,1.346248,0.020619
P384_Kyber768,24.376517,23.471962,0.037673,1.399397,0.037673
P384_Kyber768,26.148452,25.366991,0.021044,1.346999,0.021044
P384_Kyber768,22.814498,21.372397,0.038321,1.401129,0.038321
P384_Kyber768,30.136457,28.579273,0.019541,1.200295,0.019541
P384_Kyber768,24.331527,21.874083,0.023656,1.227905,0.023656
P384_Kyber768,22.578747,21.791903,0.025514,1.307259,0.025514
