algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
P384_NTRU_HPS_2048_677,21.768841,20.948616,0.029246,1.506357,0.029246
P384_NTRU_HPS_2048_677,21.138058,20.280812,0.016842,1.498754,0.016842
P384_NTRU_HPS_2048_677,21.509727,20.426270,0.019259,1.653390,0.019259
P384_NTRU_HPS_2048_677,19.398330,18.508427,0.028015,1.629899,0.028015
P384_NTRU_HPS_2048_677,24.291577,23.465527,0.021222,1.512928,0.021222
P384_NTRU_HPS_2048_677,15.098065,14.243688,0.014750,0.657692,0.014750
P384_NTRU_HPS_2048_677,19.147451,18.260515,0.021209,0.508274,0.021209
P384_NTRU_HPS_2048_677,20.510700,19.625126,0.018988,1.671489,0.018988
P384_NTRU_HPS_2048_677,27.647756,25.934357,0.017237,1.408178,0.017237
P384_NTRU_HPS_2048_677,23.622752,22.557560,0.020469,1.420717,0.020469
P384_NTRU_HPS_2048_677,15.969938,15.030148,0.015101,0.502234,0.015101
P384_NTRU_HPS_2048_677,22.575933,21.759895,0.016790,1.489643,0.016790
P384_NTRU_HPS_2048_677,25.398145,23.639725,0.017819,1.508012,0.017819
P384_NTRU_HPS_2048_677,24.594435,23.789995,0.023669,1.430392,0.023669
P384_NTRU_HPS_2048_677,28.732432,26.868536,0.035107,1.487863,0.035107
P384_NTRU_HPS_2048_677,24.709595,23.834609,0.032340,1.599995,0.032340
P384_NTRU_HPS_2048_677,25.846553,24.188110,0.019267,1.472587,0.019267
P384_NTRU_HPS_2048_677,27.200410,24.758288,0.019822,1.412350,0.019822
P384_NTRU_HPS_2048_677,26.215479,25.517569,0.028989,1.562652,0.028989
P384_NTRU_HPS_2048_677,23.613627,22.810448,0.020781,1.453227,0.020781
P384_NTRU_HPS_2048_677,24.053250,23.151087,0.018784,1.561298,0.018784
P384_NTRU_HPS_2048_677,27.239244,26.272225,0.020227,1.497732,0.020227
P384_NTRU_HPS_2048_677,24.278228,22.251701,0.018061,1.479433,0.018061
P384_NTRU_HPS_2048_677,21.544353,20.376505,0.019412,1.468860,0.019412
P384_NTRU_HPS_2048_677,28.185873,27.417433,0.036566,1.648664,0.036566
P384_NTRU_HPS_2048_677,24.324313,23.069635,0.027894,1.592776,0.027894
P384_NTRU_HPS_2048_677,28.090218,26.542194,0.020189,1.392746,0.020189
P384_NTRU_HPS_2048_677,28.034528,25.715248,0.019407,2.340540,0.019407
P384_NTRU_HPS_2048_677,25.243584,24.441830,0.018797,1.501048,0.018797
P384_NTRU_HPS_2048_677,27.485950,26.666869,0.037948,1.487495,0.037948
P384_NTRU_HPS_2048_677,24.182860,23.355602,0.019861,1.416408,0.019861
P384_NTRU_HPS_2048_677,22.433227,21.394202,0.032408,1.580186,0.032408
P384_NTRU_HPS_2048_677,23.304057,22.082496,0.021541,1.515755,0.021541
P384_NTRU_HPS_2048_677,26.153487,25.321335,0.016871,1.340222,0.016871
P384_NTRU_HPS_2048_677,28.020588,26.525970,0.018708,1.356555,0.018708
P384_NTRU_HPS_2048_677,26.299883,24.379357,0.017467,1.466244,0.017467
P384_NTRU_HPS_2048_677,15.898005,14.987703,0.008912,0.455973,0.008912
P384_NTRU_HPS_2048_677,21.337409,20.581512,0.016879,1.484359,0.016879
P384_NTRU_HPS_2048_677,23.407183,22.368922,0.019069,1.514350,0.019069
P384_NTRU_HPS_2048_677,28.995586,27.435964,0.030237,1.456878,0.030237
P384_NTRU_HPS_2048_677,19.586600,18.794538,0.018797,2.104598,0.018797
P384_NTRU_HPS_2048_677,25.553535,23.867172,0.018436,1.456288,0.018436
P384_NTRU_HPS_2048_677,34.161490,32.294576,0.041667,1.664971,0.041667
P384_NTRU_HPS_2048_677,24.815656,22.695503,0.017693,1.516645,0.017693
P384_NTRU_HPS_2048_677,26.484050,25.648886,0.017081,1.462883,0.017081
P384_NTRU_HPS_2048_677,25.609232,23.298655,0.027141,1.604210,0.027141
P384_NTRU_HPS_2048_677,26.722292,24.974919,0.021102,1.418558,0.021102
P384_NTRU_HPS_2048_677,26.022828,25.140026,0.019137,1.487876,0.019137
P384_NTRU_HPS_2048_677,21.489431,20.524246,0.019034,1.629956,0.019034
P384_NTRU_HPS_2048_677,27.576152,25.968444,0.020904,1.487492,0.020904
P384_NTRU_HPS_2048_677,23.303291,22.508838,0.021460,1.464588,0.021460
P384_NTRU_HPS_2048_677,26.156092,23.858784,0.040328,1.564003,0.040328
P384_NTRU_HPS_2048_677,24.431660,23.486367,0.035364,1.788501,0.035364
P384_NTRU_HPS_2048_677,25.423260,24.570439,0.017088,1.450763,0.017088
P384_NTRU_HPS_2048_677,23.173877,22.326384,0.017697,1.466369,0.017697
P384_NTRU_HPS_2048_677,22.561933,21.593996,0.031260,1.630774,0.031260
P384_NTRU_HPS_2048_677,23.581328,21.867741,0.019664,1.563910,0.019664
P384_NTRU_HPS_2048_677,24.104810,23.165893,0.019498,1.522750,0.019498
P384_NTRU_HPS_2048_677,19.811435,19.020665,0.017019,1.585380,0.017019
P384_NTRU_HPS_2048_677,22.507609,21.661252,0.025754,1.519477,0.025754
P384_NTRU_HPS_2048_677,26.200063,25.379895,0.018572,1.475356,0.018572
P384_NTRU_HPS_2048_677,22.928224,21.968632,0.017426,1.515919,0.017426
P384_NTRU_HPS_2048_677,26.487711,25.610223,0.025601,1.685301,0.025601
P384_NTRU_HPS_2048_677,27.683952,26.333499,0.018823,1.629090,0.018823
P384_NTRU_HPS_2048_677,31.343625,30.203188,0.016651,1.369600,0.016651
P384_NTRU_HPS_2048_677,25.610815,23.725519,0.020095,1.605904,0.020095
P384_NTRU_HPS_2048_677,16.854922,15.702768,0.007467,0.463789,0.007467
P384_NTRU_HPS_2048_677,31.866157,31.108996,0.023263,1.635594,0.023263
P384_NTRU_HPS_2048_677,26.398804,25.496382,0.018396,1.466341,0.018396
P384_NTRU_HPS_2048_677,21.710947,20.871358,0.017534,1.923764,0.017534
P384_NTRU_HPS_2048_677,26.357207,25.516490,0.020478,1.541483,0.020478
P384_NTRU_HPS_2048_677,35.932970,33.749085,0.017259,1.476875,0.017259
P384_NTRU_HPS_2048_677,32.719930,31.951796,0.018518,1.667652,0.018518
P384_NTRU_HPS_2048_677,21.506615,20.721155,0.020284,1.539410,0.020284
P384_NTRU_HPS_2048_677,25.047665,24.293477,0.020622,1.493622,0.020622
P384_NTRU_HPS_2048_677,22.030200,20.885489,0.019556,1.472847,0.019556
P384_NTRU_HPS_2048_677,22.109252,21.190721,0.025120,1.659946,0.025120
P384_NTRU_HPS_2048_677,27.246005,25.219586,0.020422,2.550957,0.020422
P384_NTRU_HPS_2048_677,24.978510,23.152892,0.018834,1.509985,0.018834
P384_NTRU_HPS_2048_677,25.633436,24.772494,0.045442,1.965605,0.045442
P384_NTRU_HPS_2048_677,21.229200,20.299440,0.029109,1.611605,0.029109
P384_NTRU_HPS_2048_677,22.790289,21.944932,0.022114,1.599051,0.022114
P384_NTRU_HPS_2048_677,26.951023,25.079146,0.023686,1.513442,0.023686
P384_NTRU_HPS_2048_677,19.052923,18.026448,0.009923,0.452813,0.009923
P384_NTRU_HPS_2048_677,23.967731,23.133526,0.021770,1.666821,0.021770
P384_NTRU_HPS_2048_677,22.917385,22.071634,0.017215,1.464282,0.017215
P384_NTRU_HPS_2048_677,28.182214,27.428013,0.023397,1.367847,0.023397
P384_NTRU_HPS_2048_677,23.130816,22.318199,0.018345,1.547425,0.018345
P384_NTRU_HPS_2048_677,24.543832,23.744441,0.016891,1.484031,0.016891
P384_NTRU_HPS_2048_677,22.801321,21.977664,0.023372,1.514339,0.023372
P384_NTRU_HPS_2048_677,21.224804,20.501682,0.020452,1.458578,0.020452
P384_NTRU_HPS_2048_677,26.155132,25.081266,0.022203,1.510124,0.022203
P384_NTRU_HPS_2048_677,25.601149,24.868563,0.040110,1.472020,0.040110
