algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
P384_NTRU_HRSS_701,32.010641,31.233353,0.021325,1.545644,0.021325
P384_NTRU_HRSS_701,25.613226,24.031753,0.029464,1.405523,0.029464
P384_NTRU_HRSS_701,28.080727,26.490782,0.034409,1.594851,0.034409
P384_NTRU_HRSS_701,25.751807,24.920902,0.019273,1.341689,0.019273
P384_NTRU_HRSS_701,22.020737,21.104697,0.018268,2.178743,0.018268
P384_NTRU_HRSS_701,25.914814,23.433923,0.024987,1.554463,0.024987
P384_NTRU_HRSS_701,33.029253,31.435316,0.018856,1.424093,0.018856
P384_NTRU_HRSS_701,23.969554,22.380160,0.035689,1.496064,0.035689
P384_NTRU_HRSS_701,27.710142,25.904442,0.019396,1.438904,0.019396
P384_NTRU_HRSS_701,21.498771,20.567763,0.018506,1.456861,0.018506
P384_NTRU_HRSS_701,21.245147,20.175534,0.019350,1.359414,0.019350
P384_NTRU_HRSS_701,23.601005,22.476588,0.022579,1.526717,0.022579
P384_NTRU_HRSS_701,24.110179,22.306528,0.018763,1.525445,0.018763
P384_NTRU_HRSS_701,27.140974,26.302432,0.019022,1.459425,0.019022
P384_NTRU_HRSS_701,26.378438,25.412739,0.029060,1.478772,0.029060
P384_NTRU_HRSS_701,22.897717,21.390079,0.037397,1.766981,0.037397
P384_NTRU_HRSS_701,27.297236,25.843482,0.023297,1.644010,0.023297
P384_NTRU_HRSS_701,26.501408,25.629232,0.025613,1.575493,0.025613
P384_NTRU_HRSS_701,14.957992,14.059787,0.011955,0.483350,0.011955
P384_NTRU_HRSS_701,21.217089,20.372335,0.027537,1.621696,0.027537
P384_NTRU_HRSS_701,23.351494,21.687025,0.019905,1.478549,0.019905
P384_NTRU_HRSS_701,27.361234,25.684905,0.023200,1.546360,0.023200
P384_NTRU_HRSS_701,23.347992,22.404926,0.033920,1.405417,0.033920
P384_NTRU_HRSS_701,40.552381,39.336489,0.018659,1.499887,0.018659
P384_NTRU_HRSS_701,23.871803,22.971054,0.021575,1.390686,0.021575
P384_NTRU_HRSS_701,24.131349,23.220234,0.033269,1.440894,0.033269
P384_NTRU_HRSS_701,21.320797,20.134983,0.042390,1.497575,0.042390
P384_NTRU_HRSS_701,25.148856,24.268401,0.018241,1.455489,0.018241
P384_NTRU_HRSS_701,24.093155,23.212965,0.032171,1.525265,0.032171
P384_NTRU_HRSS_701,21.311644,20.274788,0.030087,1.585560,0.030087
P384_NTRU_HRSS_701,23.403941,22.553375,0.018531,1.368111,0.018531
P384_NTRU_HRSS_701,24.906048,23.176202,0.023726,1.486472,0.023726
P384_NTRU_HRSS_701,26.427914,25.507991,0.021618,1.567532,0.021618
P384_NTRU_HRSS_701,21.784531,20.837746,0.020072,2.307048,0.020072
P384_NTRU_HRSS_701,19.036575,17.897154,0.035110,1.593988,0.035110
P384_NTRU_HRSS_701,23.519116,22.633460,0.020992,1.470344,0.020992
P384_NTRU_HRSS_701,20.512471,19.537140,0.018454,1.342735,0.018454
P384_NTRU_HRSS_701,24.275202,23.547723,0.018947,1.403703,0.018947
P384_NTRU_HRSS_701,19.363746,18.483870,0.023277,1.803776,0.023277
P384_NTRU_HRSS_701,27.060455,26.121803,0.023298,1.425546,0.023298
P384_NTRU_HRSS_701,22.373317,21.350230,0.018717,1.524357,0.018717
P384_NTRU_HRSS_701,25.114668,22.881397,0.020789,1.632670,0.020789
P384_NTRU_HRSS_701,23.966088,23.197395,0.021993,1.638817,0.021993
