algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
P384_Saber_KEM,29.220051,28.157980,0.025180,1.290319,0.025180
P384_Saber_KEM,24.508831,23.684367,0.020375,1.289959,0.020375
P384_Saber_KEM,22.591078,21.474030,0.020378,1.363497,0.020378
P384_Saber_KEM,26.923945,26.095352,0.018647,1.436895,0.018647
P384_Saber_KEM,27.130816,24.726767,0.021140,1.353785,0.021140
P384_Saber_KEM,26.407149,25.662653,0.030516,1.592822,0.030516
P384_Saber_KEM,28.703777,26.687468,0.019144,1.216931,0.019144
P384_Saber_KEM,26.886392,24.426810,0.037587,1.402202,0.037587
P384_Saber_KEM,24.492839,23.655385,0.020623,1.453245,0.020623
P384_Saber_KEM,24.546712,22.848795,0.019403,1.366723,0.019403
P384_Saber_KEM,27.339413,26.417763,0.019613,1.337061,0.019613
P384_Saber_KEM,26.513660,25.721647,0.035405,1.255284,0.035405
P384_Saber_KEM,26.288315,23.813096,0.017437,1.374799,0.017437
P384_Saber_KEM,23.054996,21.630168,0.020377,1.339492,0.020377
P384_Saber_KEM,23.661414,22.753937,0.018093,1.222670,0.018093
P384_Saber_KEM,15.474191,14.512109,0.009584,0.500710,0.009584
P384_Saber_KEM,25.375055,24.587381,0.019321,1.320404,0.019321
P384_Saber_KEM,25.582844,23.383676,0.026832,1.585338,0.026832
P384_Saber_KEM,23.681915,22.867453,0.021844,1.311235,0.021844
P384_Saber_KEM,27.117609,26.228804,0.028119,1.308537,0.028119
P384_Saber_KEM,23.006813,22.113484,0.024816,1.336873,0.024816
P384_Saber_KEM,27.356019,25.902696,0.019432,1.273668,0.019432
P384_Saber_KEM,23.927344,23.221522,0.021136,1.343360,0.021136
P384_Saber_KEM,26.973714,25.348625,0.024118,1.238786,0.024118
P384_Saber_KEM,31.212830,29.795926,0.026838,1.264892,0.026838
P384_Saber_KEM,27.250314,25.657819,0.017884,1.598186,0.017884
P384_Saber_KEM,23.213860,22.359301,0.017592,1.335612,0.017592
P384_Saber_KEM,28.559713,26.313289,0.018672,1.376333,0.018672
P384_Saber_KEM,21.026235,20.217440,0.019478,1.293101,0.019478
P384_Saber_KEM,24.085177,23.334786,0.022436,1.339420,0.022436
P384_Saber_KEM,21.971354,21.030335,0.018138,1.215831,0.018138
P384_Saber_KEM,26.845629,26.020925,0.020836,1.369498,0.020836
P384_Saber_KEM,26.674736,24.522784,0.024851,1.296549,0.024851
P384_Saber_KEM,20.505599,19.673560,0.019057,1.345607,0.019057
P384_Saber_KEM,25.015416,24.158485,0.019190,1.227397,0.019190
P384_Saber_KEM,22.850203,22.019859,0.018299,2.058061,0.018299
P384_Saber_KEM,27.607364,25.971049,0.018556,1.301901,0.018556
P384_Saber_KEM,27.792463,26.860557,0.027857,1.429822,0.027857
P384_Saber_KEM,26.143102,24.482933,0.023962,1.529132,0.023962
P384_Saber_KEM,27.462642,25.824702,0.018183,1.214554,0.018183
P384_Saber_KEM,25.687483,24.830300,0.018195,1.254089,0.018195
P384_Saber_KEM,21.206228,20.335617,0.019367,1.276895,0.019367
P384_Saber_KEM,27.944280,26.496951,0.020768,1.336631,0.020768
P384_Saber_KEM,20.465133,19.545998,0.019965,1.231484,0.019965
P384_Saber_KEM,26.124179,25.298878,0.024368,1.473476,0.024368
P384_Saber_KEM,15.077896,14.182891,0.007435,0.388827,0.007435
P384_Saber_KEM,24.403849,22.072096,0.019059,1.320461,0.019059
P384_Saber_KEM,27.694801,26.164894,0.028976,1.365170,0.028976
P384_Saber_KEM,24.076758,22.469176,0.020179,1.466604,0.020179
P384_Saber_KEM,22.288400,21.364968,0.019327,1.289406,0.019327
P384_Saber_KEM,33.753667,32.907456,0.024615,1.331050,0.024615
P384_Saber_KEM,23.498920,22.627577,0.020084,1.300274,0.020084
P384_Saber_KEM,25.735121,24.884514,0.018401,1.235290,0.018401
P384_Saber_KEM,23.902028,23.097084,0.018082,1.679794,0.018082
P384_Saber_KEM,24.634916,22.993822,0.019465,1.234879,0.019465
P384_Saber_KEM,21.651730,20.771054,0.019741,1.394277,0.019741
P384_Saber_KEM,23.470469,21.824781,0.018176,1.218222,0.018176
P384_Saber_KEM,26.377729,25.328993,0.019851,1.394629,0.019851
P384_Saber_KEM,24.368999,23.502325,0.023554,1.801805,0.023554
P384_Saber_KEM,25.435801,24.658437,0.020922,1.247632,0.020922
P384_Saber_KEM,25.212742,24.378341,0.017995,1.334042,0.017995
P384_Saber_KEM,26.798803,24.928391,0.019573,1.439184,0.019573
P384_Saber_KEM,29.403312,27.831134,0.020244,1.273011,0.020244
P384_Saber_KEM,26.996441,25.861923,0.017947,1.333329,0.017947
P384_Saber_KEM,25.359369,24.629921,0.032891,1.519110,0.032891
P384_Saber_KEM,26.030286,25.246720,0.025295,1.325825,0.025295
P384_Saber_KEM,17.981486,17.063196,0.023997,1.390079,0.023997
P384_Saber_KEM,23.013721,22.073282,0.020596,1.499715,0.020596
P384_Saber_KEM,21.269684,20.450990,0.018027,1.313441,0.018027
P384_Saber_KEM,21.136358,20.059515,0.021031,1.218858,0.021031
P384_Saber_KEM,24.977982,23.753219,0.017879,1.336727,0.017879
P384_Saber_KEM,27.055398,24.908526,0.019556,1.218320,0.019556
P384_Saber_KEM,23.361985,22.429087,0.020470,1.219337,0.020470
P384_Saber_KEM,21.798965,21.039491,0.017719,1.204801,0.017719
P384_Saber_KEM,27.402367,25.037404,0.025467,1.384842,0.025467
P384_Saber_KEM,15.938915,14.823814,0.006826,0.431121,0.006826
P384_Saber_KEM,19.760564,18.834838,0.007304,0.440631,0.007304
P384_Saber_KEM,23.833819,22.969023,0.017850,1.370998,0.017850
P384_Saber_KEM,21.616502,20.803096,0.018228,1.392464,0.018228
P384_Saber_KEM,21.271831,20.275785,0.018896,1.275743,0.018896
P384_Saber_KEM,22.419738,21.603660,0.026302,1.463034,0.026302
P384_Saber_KEM,17.869499,17.084368,0.006970,0.373661,0.006970
P384_Saber_KEM,24.160004,23.119567,0.031518,1.416118,0.031518
P384_Saber_KEM,30.722638,29.136257,0.017927,1.254410,0.017927
P384_Saber_KEM,21.018493,20.174104,0.023822,1.732310,0.023822
P384_Saber_KEM,26.199359,25.337677,0.017820,1.265751,0.017820
P384_Saber_KEM,33.047731,31.474897,0.020400,1.362975,0.020400
P384_Saber_KEM,22.431849,21.289297,0.020993,1.340072,0.020993
P384_Saber_KEM,33.595571,32.501045,0.019405,1.261217,0.019405
P384_Saber_KEM,24.859665,22.501966,0.020106,1.327723,0.020106
P384_Saber_KEM,27.368950,25.695302,0.025211,1.316614,0.025211
P384_Saber_KEM,28.613591,26.580226,0.017702,1.435036,0.017702
P384_Saber_KEM,25.945993,25.049645,0.018427,1.255617,0.018427
P384_Saber_KEM,27.573900,26.664760,0.018837,1.231830,0.018837
P384_Saber_KEM,20.915583,19.969450,0.018552,1.322269,0.018552
P384_Saber_KEM,26.002027,25.289382,0.020842,1.486819,0.020842
P384_Saber_KEM,29.069919,27.199119,0.025573,1.545581,0.025573
P384_Saber_KEM,23.991113,23.160226,0.018231,1.264355,0.018231
P384_Saber_KEM,23.428018,22.637725,0.019183,1.280867,0.019183
P384_Saber_KEM,21.202845,20.312179,0.022590,1.673909,0.022590
P384_Saber_KEM,23.622011,22.698626,0.018554,1.233891,0.018554
P384_Saber_KEM,28.969780,28.074832,0.031945,1.531553,0.031945
P384_Saber_KEM,25.439141,23.692425,0.019576,1.262077,0.019576
P384_Saber_KEM,24.593299,23.774377,0.026280,1.434762,0.026280
P384_Saber_KEM,24.413926,23.465652,0.027800,1.351818,0.027800
P384_Saber_KEM,26.598597,24.739866,0.019284,1.445903,0.019284
P384_Saber_KEM,18.278052,17.115086,0.012935,0.387974,0.012935
P384_Saber_KEM,32.541486,31.298521,0.022080,1.254310,0.022080
P384_Saber_KEM,42.479526,40.927057,0.020443,1.333710,0.020443
P384_Saber_KEM,24.007185,23.144619,0.018141,1.208132,0.018141
P384_Saber_KEM,21.139114,19.862390,0.022042,1.210750,0.022042
P384_Saber_KEM,26.855013,25.009970,0.021109,1.484398,0.021109
P384_Saber_KEM,26.823193,25.846222,0.016797,1.256634,0.016797
P384_Saber_KEM,25.904163,24.998448,0.019744,1.302687,0.019744
P384_Saber_KEM,25.003951,24.116794,0.018068,1.312102,0.018068
P384_Saber_KEM,28.361683,27.473699,0.021265,1.623985,0.021265
P384_Saber_KEM,27.026902,25.552741,0.022696,1.494632,0.022696
P384_Saber_KEM,26.272939,23.534236,0.019222,1.827970,0.019222
P384_Saber_KEM,22.103185,20.785572,0.023839,1.273070,0.023839
P384_Saber_KEM,19.961504,19.091215,0.018697,1.251586,0.018697
P384_Saber_KEM,24.288679,22.610947,0.019455,1.230649,0.019455
P384_Saber_KEM,25.839478,24.977887,0.017505,1.321063,0.017505
P384_Saber_KEM,23.624466,22.735338,0.024559,1.376686,0.024559
P384_Saber_KEM,25.488080,24.059246,0.018666,1.219992,0.018666
P384_Saber_KEM,26.500477,25.609012,0.017788,1.300302,0.017788
P384_Saber_KEM,23.534119,22.601436,0.018691,1.292512,0.018691
P384_Saber_KEM,29.718126,28.065999,0.031645,1.602214,0.031645
P384_Saber_KEM,21.556157,20.692945,0.030133,1.584734,0.030133
P384_Saber_KEM,26.254640,24.496422,0.019098,1.341327,0.019098
P384_Saber_KEM,22.289775,21.499697,0.021576,1.576452,0.021576
P384_Saber_KEM,21.004890,20.165448,0.019101,1.266374,0.019101
P384_Saber_KEM,26.992982,25.398834,0.019430,1.471180,0.019430
P384_Saber_KEM,22.462732,21.620615,0.025775,1.353161,0.025775
P384_Saber_KEM,30.689104,29.835851,0.019226,1.302718,0.019226
P384_Saber_KEM,24.511424,23.650311,0.017495,1.285544,0.017495
P384_Saber_KEM,21.107929,20.211095,0.086094,1.443866,0.086094
P384_Saber_KEM,18.683050,17.509274,0.012493,0.555687,0.012493
P384_Saber_KEM,19.605747,18.488968,0.009209,0.440466,0.009209
P384_Saber_KEM,18.343088,17.520128,0.018727,1.307454,0.018727
P384_Saber_KEM,24.389485,22.763474,0.017778,1.279666,0.017778
P384_Saber_KEM,27.428500,26.096552,0.020299,1.320956,0.020299
P384_Saber_KEM,15.977038,15.041691,0.009663,0.436218,0.009663
P384_Saber_KEM,18.297474,17.470930,0.017213,1.235573,0.017213
P384_Saber_KEM,24.820704,23.760234,0.033088,1.423329,0.033088
P384_Saber_KEM,26.199972,23.660471,0.022570,1.351475,0.022570
P384_Saber_KEM,26.726651,25.830924,0.019311,1.383908,0.019311
P384_Saber_KEM,26.194907,25.292504,0.024113,1.392494,0.024113
P384_Saber_KEM,21.037460,19.648258,0.024938,1.351769,0.024938
P384_Saber_KEM,24.539750,23.683417,0.022020,1.344185,0.022020
P384_Saber_KEM,23.056398,22.231378,0.021182,1.375688,0.021182
P384_Saber_KEM,23.994296,23.179547,0.018266,1.249130,0.018266
P384_Saber_KEM,22.964267,22.140569,0.030244,1.378198,0.030244
P384_Saber_KEM,33.278928,31.647316,0.019882,1.215518,0.019882
P384_Saber_KEM,23.397881,22.498585,0.033408,1.438974,0.033408
P384_Saber_KEM,27.730633,25.226080,0.026523,1.256206,0.026523
P384_Saber_KEM,24.401437,23.638495,0.017644,1.301610,0.017644
P384_Saber_KEM,25.266373,24.399728,0.021804,1.616267,0.021804
P384_Saber_KEM,21.969059,20.519273,0.019209,1.364686,0.019209
P384_Saber_KEM,22.213691,21.401422,0.022157,1.515431,0.022157
P384_Saber_KEM,20.999854,20.144744,0.023419,1.227629,0.023419
P384_Saber_KEM,26.024083,25.176220,0.035792,1.331101,0.035792
P384_Saber_KEM,26.285701,25.438039,0.017566,1.316769,0.017566
