algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
Remote IBE-KEM 384,18.093706,15.509902,0.016003,0.433371,0.016003
Remote IBE-KEM 384,17.850305,15.270490,0.013751,0.416357,0.013751
Remote IBE-KEM 384,18.819170,16.219104,0.016145,0.690387,0.016145
Remote IBE-KEM 384,18.583988,16.051072,0.013000,0.419424,0.013000
Remote IBE-KEM 384,25.323023,22.752756,0.016742,0.723794,0.016742
Remote IBE-KEM 384,20.414009,17.768297,0.011271,0.410243,0.011271
Remote IBE-KEM 384,17.816236,15.167948,0.015282,0.369060,0.015282
Remote IBE-KEM 384,20.800180,18.311924,0.013613,0.442303,0.013613
Remote IBE-KEM 384,19.562664,17.028716,0.010367,0.487544,0.010367
Remote IBE-KEM 384,18.025181,15.482623,0.013301,0.435672,0.013301
Remote IBE-KEM 384,17.862557,15.233883,0.011595,0.404516,0.011595
Remote IBE-KEM 384,19.754867,17.186136,0.012826,0.567931,0.012826
Remote IBE-KEM 384,18.746055,16.213240,0.018862,0.579815,0.018862
Remote IBE-KEM 384,25.645454,22.923720,0.013215,0.535179,0.013215
Remote IBE-KEM 384,18.699176,16.148195,0.009467,0.579853,0.009467
Remote IBE-KEM 384,17.754550,15.125682,0.014117,0.456764,0.014117
Remote IBE-KEM 384,18.624499,16.011990,0.013720,0.370128,0.013720
Remote IBE-KEM 384,20.696095,18.104065,0.017524,0.584581,0.017524
Remote IBE-KEM 384,19.973794,17.411868,0.014425,0.438172,0.014425
Remote IBE-KEM 384,21.253428,18.763235,0.015931,0.451300,0.015931
Remote IBE-KEM 384,21.961023,19.459601,0.015217,0.430500,0.015217
Remote IBE-KEM 384,26.516293,23.704585,0.020292,0.489366,0.020292
Remote IBE-KEM 384,18.959738,16.433089,0.009913,0.440420,0.009913
Remote IBE-KEM 384,19.364606,16.720788,0.012204,0.408014,0.012204
Remote IBE-KEM 384,18.481144,15.838651,0.012889,0.433089,0.012889
