algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
Remote IBE-KEM 384,18.360728,15.805760,0.007924,0.428280,0.007924
Remote IBE-KEM 384,20.765766,18.102484,0.013261,0.394704,0.013261
Remote IBE-KEM 384,21.393898,18.505701,0.017639,0.523613,0.017639
Remote IBE-KEM 384,28.287514,25.021013,0.020411,0.500096,0.020411
Remote IBE-KEM 384,24.413930,21.654716,0.020041,0.598010,0.020041
Remote IBE-KEM 384,30.197872,27.615078,0.019068,0.731467,0.019068
Remote IBE-KEM 384,19.131960,16.615260,0.016957,0.582592,0.016957
Remote IBE-KEM 384,20.987538,18.402204,0.011808,0.395622,0.011808
Remote IBE-KEM 384,21.216873,18.619472,0.015012,0.425432,0.015012
Remote IBE-KEM 384,18.377718,15.778399,0.013348,0.397636,0.013348
Remote IBE-KEM 384,27.810014,24.758104,0.015246,0.556942,0.015246
Remote IBE-KEM 384,24.398102,21.617518,0.016637,0.457135,0.016637
Remote IBE-KEM 384,18.670492,16.003175,0.012973,0.442022,0.012973
Remote IBE-KEM 384,22.351454,19.752167,0.010483,0.407788,0.010483
Remote IBE-KEM 384,19.187438,16.379842,0.012727,0.426842,0.012727
Remote IBE-KEM 384,19.095950,16.579557,0.014316,0.408460,0.014316
Remote IBE-KEM 384,26.820482,24.145325,0.018336,0.697987,0.018336
Remote IBE-KEM 384,19.860292,17.059415,0.013434,0.455804,0.013434
Remote IBE-KEM 384,18.565308,16.028494,0.012243,0.459356,0.012243
Remote IBE-KEM 384,18.917979,16.399195,0.012950,0.412874,0.012950
Remote IBE-KEM 384,26.168046,23.609850,0.011964,0.395002,0.011964
Remote IBE-KEM 384,18.095141,15.580429,0.011057,0.420373,0.011057
Remote IBE-KEM 384,22.032049,19.418897,0.033063,0.798511,0.033063
Remote IBE-KEM 384,20.520519,17.987077,0.009301,0.421665,0.009301
Remote IBE-KEM 384,20.953914,18.436723,0.012757,0.382071,0.012757
Remote IBE-KEM 384,24.417936,21.496548,0.015860,0.402938,0.015860
Remote IBE-KEM 384,23.889532,20.753610,0.016113,0.415207,0.016113
Remote IBE-KEM 384,21.633158,18.656921,0.012347,0.350370,0.012347
Remote IBE-KEM 384,19.725322,16.973382,0.019298,0.429209,0.019298
Remote IBE-KEM 384,22.032631,19.380980,0.013133,0.448658,0.013133
Remote IBE-KEM 384,20.031458,17.409421,0.013992,0.368345,0.013992
