algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
P384_NTRU_HRSS_701,47.437337,35.063398,0.023991,1.496806,0.023991
P384_NTRU_HRSS_701,43.869038,32.389110,0.042731,1.378312,0.042731
P384_NTRU_HRSS_701,41.337444,30.151437,0.018767,1.351111,0.018767
P384_NTRU_HRSS_701,51.757405,40.085920,0.020173,1.352072,0.020173
P384_NTRU_HRSS_701,44.870861,32.770391,0.019178,1.458851,0.019178
P384_NTRU_HRSS_701,47.352698,34.901886,0.027053,1.451967,0.027053
P384_NTRU_HRSS_701,49.280277,36.324064,0.023850,1.522443,0.023850
P384_NTRU_HRSS_701,46.733470,34.742721,0.019015,1.408188,0.019015
P384_NTRU_HRSS_701,43.386878,31.850426,0.026578,1.448058,0.026578
P384_NTRU_HRSS_701,47.127933,34.746563,0.036257,1.525184,0.036257
P384_NTRU_HRSS_701,42.131359,30.481969,0.019062,1.510509,0.019062
P384_NTRU_HRSS_701,47.401787,34.749295,0.034746,1.586293,0.034746
P384_NTRU_HRSS_701,41.653591,30.361975,0.017657,1.400530,0.017657
P384_NTRU_HRSS_701,47.133637,34.544010,0.019217,1.484387,0.019217
P384_NTRU_HRSS_701,45.181815,33.403397,0.020161,1.560139,0.020161
P384_NTRU_HRSS_701,46.532651,34.265585,0.020504,1.589319,0.020504
P384_NTRU_HRSS_701,49.322827,36.578442,0.019088,1.433940,0.019088
P384_NTRU_HRSS_701,46.733983,34.012191,0.017030,1.605477,0.017030
P384_NTRU_HRSS_701,46.208343,34.468991,0.019916,1.485832,0.019916
P384_NTRU_HRSS_701,44.927206,33.495088,0.032653,1.374572,0.032653
P384_NTRU_HRSS_701,52.432555,40.926893,0.028547,1.464890,0.028547
P384_NTRU_HRSS_701,50.034349,37.815078,0.020783,1.458642,0.020783
P384_NTRU_HRSS_701,44.881313,32.302356,0.024835,1.426440,0.024835
P384_NTRU_HRSS_701,44.878889,32.296514,0.018402,1.439432,0.018402
P384_NTRU_HRSS_701,44.873910,32.350110,0.018984,1.471763,0.018984
P384_NTRU_HRSS_701,48.507027,35.867134,0.019108,1.430737,0.019108
P384_NTRU_HRSS_701,43.800115,31.800261,0.018302,1.454519,0.018302
P384_NTRU_HRSS_701,45.097036,32.841754,0.018656,1.344160,0.018656
P384_NTRU_HRSS_701,47.481475,35.314597,0.037310,1.526364,0.037310
P384_NTRU_HRSS_701,48.003465,35.530629,0.021559,1.454166,0.021559
P384_NTRU_HRSS_701,45.986642,33.311216,0.018807,1.982406,0.018807
P384_NTRU_HRSS_701,41.262085,29.780740,0.034378,1.549614,0.034378
P384_NTRU_HRSS_701,46.649673,34.071477,0.034353,1.484456,0.034353
P384_NTRU_HRSS_701,44.754523,32.789271,0.022121,1.488862,0.022121
P384_NTRU_HRSS_701,48.181009,35.803959,0.037348,1.598128,0.037348
P384_NTRU_HRSS_701,44.104731,32.290730,0.065526,1.437675,0.065526
P384_NTRU_HRSS_701,46.123198,35.014279,0.036481,1.610051,0.036481
P384_NTRU_HRSS_701,42.656500,30.886037,0.038671,1.548921,0.038671
P384_NTRU_HRSS_701,45.379974,32.972854,0.024367,1.479267,0.024367
P384_NTRU_HRSS_701,45.035273,33.621333,0.022632,1.352302,0.022632
P384_NTRU_HRSS_701,44.449174,32.035636,0.026489,1.484834,0.026489
P384_NTRU_HRSS_701,45.091982,32.914089,0.021687,1.539666,0.021687
P384_NTRU_HRSS_701,42.871365,31.323981,0.019062,1.447310,0.019062
P384_NTRU_HRSS_701,42.439406,30.562055,0.027925,1.465310,0.027925
