algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
P384_Saber_KEM,44.276177,31.873275,0.019627,1.331820,0.019627
P384_Saber_KEM,42.930628,31.765502,0.024722,1.300801,0.024722
P384_Saber_KEM,45.227596,32.542210,0.017476,1.210842,0.017476
P384_Saber_KEM,48.080028,35.465337,0.025109,1.436704,0.025109
P384_Saber_KEM,40.942568,30.030988,0.026231,1.207758,0.026231
P384_Saber_KEM,49.013838,36.255310,0.017673,1.322049,0.017673
P384_Saber_KEM,50.386638,38.155069,0.018195,1.348142,0.018195
P384_Saber_KEM,41.788192,29.529086,0.017275,1.324372,0.017275
P384_Saber_KEM,47.919778,35.197148,0.018738,1.330639,0.018738
P384_Saber_KEM,41.773572,30.700083,0.026132,1.724932,0.026132
P384_Saber_KEM,44.594455,32.950013,0.019660,1.302948,0.019660
P384_Saber_KEM,50.999611,38.634938,0.018240,1.247134,0.018240
P384_Saber_KEM,50.375446,39.531958,0.018566,1.352450,0.018566
P384_Saber_KEM,40.998752,29.901205,0.033728,1.217341,0.033728
P384_Saber_KEM,53.170690,40.981977,0.024197,1.469410,0.024197
P384_Saber_KEM,42.263998,30.473134,0.020718,1.218397,0.020718
P384_Saber_KEM,46.035562,33.479431,0.018051,1.300947,0.018051
P384_Saber_KEM,41.618637,30.741819,0.019068,1.357941,0.019068
P384_Saber_KEM,48.574396,35.840065,0.023597,1.300115,0.023597
P384_Saber_KEM,42.568490,31.513050,0.019133,1.368122,0.019133
P384_Saber_KEM,46.254444,34.347783,0.020990,1.472950,0.020990
P384_Saber_KEM,48.621000,36.311718,0.020132,1.238584,0.020132
P384_Saber_KEM,49.767951,37.095033,0.018117,1.266597,0.018117
P384_Saber_KEM,51.898050,39.428742,0.017923,1.305703,0.017923
P384_Saber_KEM,44.854454,32.561529,0.017498,1.434329,0.017498
P384_Saber_KEM,47.993052,35.277321,0.019162,1.346562,0.019162
P384_Saber_KEM,47.398881,34.833781,0.019798,1.336422,0.019798
P384_Saber_KEM,49.468781,36.889170,0.017396,1.357078,0.017396
P384_Saber_KEM,44.871143,33.355874,0.018504,1.377982,0.018504
P384_Saber_KEM,49.100927,36.589810,0.017265,1.407520,0.017265
P384_Saber_KEM,41.469815,30.564819,0.025100,1.355090,0.025100
P384_Saber_KEM,48.612507,36.184328,0.019039,1.259384,0.019039
P384_Saber_KEM,46.752943,34.382193,0.029691,1.435023,0.029691
P384_Saber_KEM,45.159744,33.193609,0.031943,1.199006,0.031943
P384_Saber_KEM,41.287465,30.085137,0.031225,1.389902,0.031225
P384_Saber_KEM,45.394149,34.061920,0.024156,1.484566,0.024156
P384_Saber_KEM,44.537813,32.847745,0.018363,1.269847,0.018363
P384_Saber_KEM,45.413883,33.644141,0.025441,1.356205,0.025441
P384_Saber_KEM,42.005644,30.651313,0.036756,1.670257,0.036756
P384_Saber_KEM,43.922714,32.466431,0.029379,1.329379,0.029379
P384_Saber_KEM,54.506217,42.257442,0.033055,1.409356,0.033055
P384_Saber_KEM,41.790620,30.294230,0.010448,1.366054,0.010448
P384_Saber_KEM,44.812718,33.294304,0.024886,1.381724,0.024886
P384_Saber_KEM,48.495859,35.981880,0.022011,1.492475,0.022011
P384_Saber_KEM,44.631894,32.881287,0.019324,1.245499,0.019324
P384_Saber_KEM,45.300995,32.960892,0.021022,1.297278,0.021022
P384_Saber_KEM,44.564100,32.144595,0.018758,2.108354,0.018758
P384_Saber_KEM,43.685902,32.134987,0.019374,1.333855,0.019374
P384_Saber_KEM,45.724476,33.034875,0.018775,1.454476,0.018775
P384_Saber_KEM,42.425347,30.695937,0.018638,1.299858,0.018638
P384_Saber_KEM,48.374071,35.938143,0.019790,1.371885,0.019790
P384_Saber_KEM,42.343158,31.458461,0.021590,1.196477,0.021590
P384_Saber_KEM,41.809954,30.595918,0.021020,1.342678,0.021020
P384_Saber_KEM,48.231005,35.527439,0.021372,1.375389,0.021372
P384_Saber_KEM,45.622623,33.847953,0.028924,1.961499,0.028924
P384_Saber_KEM,43.062156,31.186987,0.020210,1.468486,0.020210
P384_Saber_KEM,45.489943,32.859390,0.026001,1.395994,0.026001
P384_Saber_KEM,42.489520,30.700547,0.017748,1.367521,0.017748
P384_Saber_KEM,46.120849,34.103995,0.030779,1.243915,0.030779
P384_Saber_KEM,45.350904,32.699751,0.017964,1.191229,0.017964
P384_Saber_KEM,41.946879,30.730816,0.019888,1.435568,0.019888
P384_Saber_KEM,44.856776,33.577138,0.017793,1.309385,0.017793
P384_Saber_KEM,45.593883,32.822962,0.018534,1.330223,0.018534
P384_Saber_KEM,43.016686,30.932291,0.018698,1.313983,0.018698
P384_Saber_KEM,45.144841,33.888320,0.024256,1.372723,0.024256
P384_Saber_KEM,45.532534,33.286820,0.019115,1.367730,0.019115
P384_Saber_KEM,43.690941,32.020745,0.018232,1.301865,0.018232
P384_Saber_KEM,46.939376,34.491339,0.017379,1.293193,0.017379
P384_Saber_KEM,47.411769,35.123275,0.018062,1.328115,0.018062
P384_Saber_KEM,49.703562,37.596011,0.017965,1.307385,0.017965
P384_Saber_KEM,43.803550,31.470115,0.011987,1.371471,0.011987
P384_Saber_KEM,44.629188,33.121411,0.019742,1.314082,0.019742
P384_Saber_KEM,43.959842,32.440719,0.029207,1.400597,0.029207
P384_Saber_KEM,41.538845,30.589500,0.023683,1.389326,0.023683
P384_Saber_KEM,43.659018,31.238473,0.024360,1.401999,0.024360
P384_Saber_KEM,43.332887,31.295752,0.026173,1.315824,0.026173
P384_Saber_KEM,45.331657,33.448889,0.019165,1.368111,0.019165
P384_Saber_KEM,44.461204,32.129448,0.018078,1.392001,0.018078
P384_Saber_KEM,48.243265,35.800992,0.019417,1.351581,0.019417
P384_Saber_KEM,48.680250,36.299446,0.017647,1.432248,0.017647
P384_Saber_KEM,47.235228,35.312524,0.020201,1.320573,0.020201
P384_Saber_KEM,45.599445,33.861580,0.023468,1.470092,0.023468
P384_Saber_KEM,50.617066,37.045747,0.017711,1.247233,0.017711
P384_Saber_KEM,45.512189,32.942883,0.018575,1.350251,0.018575
P384_Saber_KEM,48.459815,35.965242,0.028378,1.435382,0.028378
P384_Saber_KEM,48.449823,35.810238,0.025147,1.400623,0.025147
P384_Saber_KEM,49.066354,36.778969,0.024563,1.456338,0.024563
P384_Saber_KEM,44.172060,32.559237,0.019482,1.352396,0.019482
P384_Saber_KEM,44.102547,32.013604,0.055238,1.428586,0.055238
P384_Saber_KEM,47.323217,35.102465,0.036621,1.470577,0.036621
