algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
KEMTLS-IBE-PDK 384,120.277387,120.277207,0.018571,20.670633,0.018571
KEMTLS-IBE-PDK 384,119.601760,119.601570,0.016530,20.506641,0.016530
KEMTLS-IBE-PDK 384,118.111814,118.111644,0.019300,17.861633,0.019300
KEMTLS-IBE-PDK 384,118.608519,118.608339,0.018590,19.385440,0.018590
KEMTLS-IBE-PDK 384,126.094940,126.094740,0.025791,26.719849,0.025791
KEMTLS-IBE-PDK 384,115.218673,115.218523,0.018431,16.140984,0.018431
KEMTLS-IBE-PDK 384,117.621108,117.620938,0.019730,18.526470,0.019730
KEMTLS-IBE-PDK 384,117.401776,117.401546,0.018430,17.657720,0.018430
KEMTLS-IBE-PDK 384,116.668509,116.668319,0.019411,17.856193,0.019411
KEMTLS-IBE-PDK 384,117.163923,117.163773,0.019741,18.562190,0.019741
KEMTLS-IBE-PDK 384,118.033873,118.033703,0.019420,18.926164,0.019420
KEMTLS-IBE-PDK 384,123.303949,123.303779,0.024630,23.187890,0.024630
KEMTLS-IBE-PDK 384,116.274034,116.273854,0.021671,16.992222,0.021671
KEMTLS-IBE-PDK 384,119.557230,119.557030,0.019120,20.206328,0.019120
KEMTLS-IBE-PDK 384,116.750529,116.750359,0.019260,17.821263,0.019260
KEMTLS-IBE-PDK 384,115.430504,115.430354,0.018480,16.542717,0.018480
KEMTLS-IBE-PDK 384,115.622827,115.622657,0.018970,16.462848,0.018970
KEMTLS-IBE-PDK 384,126.625994,126.625804,0.029350,27.390555,0.029350
KEMTLS-IBE-PDK 384,115.121251,115.121081,0.018850,16.469757,0.018850
KEMTLS-IBE-PDK 384,116.074352,116.074202,0.024470,16.775611,0.024470
KEMTLS-IBE-PDK 384,116.006640,116.006480,0.019301,16.325566,0.019301
KEMTLS-IBE-PDK 384,118.510808,118.510628,0.022321,18.787403,0.022321
KEMTLS-IBE-PDK 384,115.706507,115.706337,0.019071,16.864451,0.019071
KEMTLS-IBE-PDK 384,117.283843,117.283683,0.018840,17.369067,0.018840
KEMTLS-IBE-PDK 384,119.229676,119.229496,0.019650,18.810894,0.019650
KEMTLS-IBE-PDK 384,121.254536,121.254356,0.018880,22.871326,0.018880
KEMTLS-IBE-PDK 384,123.067845,123.067675,0.018540,22.533933,0.018540
KEMTLS-IBE-PDK 384,115.867559,115.867329,0.028811,16.159594,0.028811
KEMTLS-IBE-PDK 384,116.625216,116.625036,0.018450,17.638580,0.018450
KEMTLS-IBE-PDK 384,122.439238,122.439058,0.027660,22.908366,0.027660
KEMTLS-IBE-PDK 384,119.687519,119.687359,0.022431,20.672013,0.022431
KEMTLS-IBE-PDK 384,118.547158,118.546938,0.020960,18.383128,0.020960
KEMTLS-IBE-PDK 384,119.717249,119.717079,0.035750,20.493120,0.035750
KEMTLS-IBE-PDK 384,123.112326,123.112146,0.018710,24.407763,0.018710
KEMTLS-IBE-PDK 384,118.484886,118.484716,0.019910,19.465649,0.019910
KEMTLS-IBE-PDK 384,116.087589,116.087399,0.018780,17.093943,0.018780
KEMTLS-IBE-PDK 384,116.768299,116.768129,0.018810,17.395848,0.018810
KEMTLS-IBE-PDK 384,115.615875,115.615705,0.018000,16.420346,0.018000
KEMTLS-IBE-PDK 384,119.675088,119.674908,0.019670,19.922084,0.019670
KEMTLS-IBE-PDK 384,115.947639,115.947459,0.017730,17.250245,0.017730
KEMTLS-IBE-PDK 384,122.188456,122.188246,0.209071,23.041097,0.209071
KEMTLS-IBE-PDK 384,119.809819,119.809629,0.019390,20.742702,0.019390
KEMTLS-IBE-PDK 384,116.388504,116.388324,0.018720,16.969753,0.018720
KEMTLS-IBE-PDK 384,117.794818,117.794648,0.018390,17.737180,0.018390
KEMTLS-IBE-PDK 384,116.453954,116.453784,0.019550,17.536859,0.019550
KEMTLS-IBE-PDK 384,116.482245,116.482075,0.045420,17.512578,0.045420
KEMTLS-IBE-PDK 384,116.395494,116.395344,0.023770,17.241176,0.023770
KEMTLS-IBE-PDK 384,116.026820,116.026660,0.018781,17.120065,0.018781
KEMTLS-IBE-PDK 384,115.649017,115.648827,0.019290,16.900273,0.019290
KEMTLS-IBE-PDK 384,116.471594,116.471434,0.033481,17.528449,0.033481
KEMTLS-IBE-PDK 384,118.143012,118.142832,0.018410,18.974703,0.018410
KEMTLS-IBE-PDK 384,122.505590,122.505410,0.018390,23.073790,0.018390
KEMTLS-IBE-PDK 384,121.428768,121.428608,0.018390,21.315840,0.018390
KEMTLS-IBE-PDK 384,117.731758,117.731598,0.020581,18.017194,0.020581
KEMTLS-IBE-PDK 384,119.758600,119.758420,0.019021,20.506671,0.019021
KEMTLS-IBE-PDK 384,118.229653,118.229483,0.019861,17.520839,0.019861
KEMTLS-IBE-PDK 384,121.341457,121.341277,0.022620,21.004806,0.022620
KEMTLS-IBE-PDK 384,119.917341,119.917171,0.027331,20.458451,0.027331
KEMTLS-IBE-PDK 384,116.719907,116.719727,0.029690,17.351896,0.029690
KEMTLS-IBE-PDK 384,117.653527,117.653367,0.019330,18.774333,0.019330
KEMTLS-IBE-PDK 384,115.995599,115.995439,0.018990,17.196014,0.018990
KEMTLS-IBE-PDK 384,116.106330,116.106180,0.018240,17.107494,0.018240
KEMTLS-IBE-PDK 384,119.327906,119.327736,0.019730,19.341859,0.019730
KEMTLS-IBE-PDK 384,115.962669,115.962479,0.022450,16.799482,0.022450
KEMTLS-IBE-PDK 384,127.897078,127.896878,0.028451,28.256835,0.028451
KEMTLS-IBE-PDK 384,117.975050,117.974860,0.019160,18.531550,0.019160
