algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
P384_Kyber768,123.130024,123.129804,0.011860,22.343882,0.011860
P384_Kyber768,121.960979,121.960809,0.011631,21.795126,0.011631
P384_Kyber768,123.630053,123.629903,0.012510,22.870886,0.012510
P384_Kyber768,121.571256,121.571096,0.014761,21.095998,0.014761
P384_Kyber768,122.715437,122.715287,0.013801,21.606583,0.013801
P384_Kyber768,119.729990,119.729830,0.014780,19.020765,0.014780
P384_Kyber768,119.758827,119.758637,0.011360,18.975236,0.011360
P384_Kyber768,118.747365,118.747195,0.012470,19.733654,0.012470
P384_Kyber768,125.083155,125.083005,0.017290,23.781284,0.017290
P384_Kyber768,119.392030,119.391800,0.012560,19.358010,0.012560
P384_Kyber768,132.728399,132.728239,0.014580,32.296877,0.014580
P384_Kyber768,119.061905,119.061745,0.014110,18.715522,0.014110
P384_Kyber768,121.092114,121.091924,0.016320,20.352818,0.016320
P384_Kyber768,122.341704,122.341534,0.012450,21.324151,0.012450
P384_Kyber768,118.100943,118.100753,0.206172,18.538829,0.206172
P384_Kyber768,117.958772,117.958602,0.013290,18.246597,0.013290
P384_Kyber768,119.205271,119.205121,0.012600,18.951556,0.012600
P384_Kyber768,123.174540,123.174340,0.201282,22.731355,0.201282
P384_Kyber768,120.919517,120.919357,0.012510,19.955776,0.012510
P384_Kyber768,118.947399,118.947249,0.012170,18.770190,0.012170
P384_Kyber768,119.588387,119.588237,0.013460,19.049984,0.013460
P384_Kyber768,120.684486,120.684326,0.013411,19.589072,0.013411
P384_Kyber768,119.647061,119.646911,0.012990,19.797725,0.012990
P384_Kyber768,119.182129,119.181979,0.009950,18.518650,0.009950
P384_Kyber768,119.498388,119.498198,0.011960,19.526420,0.011960
P384_Kyber768,125.409741,125.409591,0.012930,25.695006,0.012930
P384_Kyber768,120.128554,120.128404,0.012331,19.265918,0.012331
P384_Kyber768,126.870176,126.869976,0.020301,26.856899,0.020301
P384_Kyber768,119.537862,119.537712,0.012541,19.422551,0.012541
P384_Kyber768,119.985315,119.985165,0.014220,18.936613,0.014220
P384_Kyber768,124.184167,124.184007,0.013191,24.489633,0.013191
P384_Kyber768,121.136906,121.136756,0.011110,21.513173,0.011110
P384_Kyber768,121.753702,121.753542,0.009960,21.012516,0.009960
P384_Kyber768,120.451405,120.451235,0.013090,19.973083,0.013090
P384_Kyber768,119.916492,119.916302,0.017430,19.647792,0.017430
P384_Kyber768,123.897664,123.897434,0.013750,23.360050,0.013750
P384_Kyber768,118.494966,118.494816,0.012990,18.765912,0.012990
P384_Kyber768,122.756513,122.756333,0.012600,22.585803,0.012600
P384_Kyber768,119.935794,119.935644,0.012050,19.976067,0.012050
P384_Kyber768,119.148412,119.148232,0.012880,19.123344,0.012880
P384_Kyber768,118.518570,118.518360,0.012430,18.762204,0.012430
P384_Kyber768,120.217163,120.217003,0.013090,18.720440,0.013090
P384_Kyber768,118.226814,118.226644,0.013250,18.844494,0.013250
P384_Kyber768,118.774906,118.774756,0.011770,18.507108,0.011770
P384_Kyber768,120.727547,120.727327,0.012100,20.231787,0.012100
P384_Kyber768,120.404099,120.403939,0.012980,19.416251,0.012980
P384_Kyber768,118.770710,118.770560,0.014630,19.083927,0.014630
P384_Kyber768,120.510978,120.510828,0.014750,19.688101,0.014750
P384_Kyber768,121.246895,121.246695,0.016850,20.831185,0.016850
P384_Kyber768,121.372286,121.372136,0.013560,21.488931,0.013560
P384_Kyber768,119.201575,119.201425,0.011710,19.408970,0.011710
P384_Kyber768,119.375279,119.375099,0.013840,19.604553,0.013840
P384_Kyber768,119.201619,119.201459,0.012500,18.763100,0.012500
P384_Kyber768,120.767003,120.766813,0.018650,20.898936,0.018650
P384_Kyber768,118.807469,118.807319,0.011380,18.595931,0.011380
P384_Kyber768,119.399125,119.398955,0.018961,18.553209,0.018961
P384_Kyber768,121.670951,121.670771,0.012780,21.316931,0.012780
P384_Kyber768,118.875981,118.875821,0.013090,18.637111,0.013090
P384_Kyber768,118.865813,118.865643,0.012150,18.991106,0.012150
P384_Kyber768,129.662880,129.662690,0.017700,29.804063,0.017700
P384_Kyber768,117.965947,117.965797,0.015390,18.251546,0.015390
P384_Kyber768,118.819676,118.819506,0.012030,18.301685,0.012030
P384_Kyber768,120.149694,120.149534,0.011631,19.925705,0.011631
P384_Kyber768,118.998803,118.998653,0.011820,19.044675,0.011820
P384_Kyber768,130.825629,130.825429,0.019141,30.987134,0.019141
P384_Kyber768,122.332053,122.331873,0.013270,22.430230,0.013270
P384_Kyber768,121.956002,121.955712,0.012910,21.102496,0.012910
P384_Kyber768,124.387130,124.386970,0.213082,23.210930,0.213082
P384_Kyber768,121.640227,121.640077,0.012920,20.809543,0.012920
P384_Kyber768,121.332793,121.332643,0.015050,20.244477,0.015050
P384_Kyber768,119.663243,119.663033,0.013110,20.099027,0.013110
P384_Kyber768,119.503086,119.502886,0.011550,19.865314,0.011550
P384_Kyber768,120.809879,120.809719,0.012670,20.762122,0.012670
P384_Kyber768,119.808628,119.808468,0.012250,20.135816,0.012250
P384_Kyber768,119.752936,119.752766,0.013260,20.228187,0.013260
P384_Kyber768,120.542465,120.542295,0.013130,19.572370,0.013130
P384_Kyber768,120.139644,120.139424,0.014491,19.340499,0.014491
P384_Kyber768,120.064114,120.063954,0.012030,19.142417,0.012030
P384_Kyber768,118.922539,118.922379,0.013800,19.408338,0.013800
P384_Kyber768,119.870657,119.870477,0.012661,19.036443,0.012661
P384_Kyber768,119.253788,119.253618,0.012450,19.471451,0.012450
P384_Kyber768,118.710297,118.710127,0.013471,19.308307,0.013471
P384_Kyber768,119.182412,119.182252,0.012560,18.561599,0.012560
P384_Kyber768,118.125600,118.125420,0.012920,18.316746,0.012920
P384_Kyber768,120.432793,120.432643,0.013990,20.796112,0.013990
P384_Kyber768,124.571328,124.571138,0.021541,24.083098,0.021541
P384_Kyber768,119.105837,119.105687,0.014130,19.350378,0.014130
P384_Kyber768,121.691749,121.691579,0.013420,20.623171,0.013420
P384_Kyber768,119.046370,119.046150,0.012440,18.906703,0.012440
P384_Kyber768,119.550020,119.549800,0.018790,19.376700,0.018790
P384_Kyber768,120.624729,120.624569,0.029570,20.688843,0.029570
P384_Kyber768,119.851147,119.850987,0.012320,19.474042,0.012320
P384_Kyber768,119.922476,119.922306,0.012450,19.560390,0.012450
P384_Kyber768,120.098069,120.097909,0.011760,20.812893,0.011760
P384_Kyber768,118.292407,118.292257,0.012520,19.013007,0.012520
P384_Kyber768,118.187091,118.186931,0.013050,18.560429,0.013050
P384_Kyber768,119.916719,119.916529,0.011810,20.240397,0.011810
P384_Kyber768,120.115631,120.115461,0.011730,19.898973,0.011730
P384_Kyber768,121.148376,121.148206,0.027630,20.862256,0.027630
P384_Kyber768,119.460622,119.460462,0.011920,19.392797,0.011920
P384_Kyber768,119.920670,119.920520,0.014690,18.885305,0.014690
P384_Kyber768,118.753152,118.752952,0.012460,19.291099,0.012460
P384_Kyber768,118.607551,118.607371,0.012010,18.464068,0.012010
P384_Kyber768,120.026041,120.025871,0.010690,20.196116,0.010690
P384_Kyber768,119.328962,119.328772,0.012800,19.217435,0.012800
P384_Kyber768,119.451706,119.451556,0.015110,18.666532,0.015110
P384_Kyber768,121.054889,121.054719,0.012581,21.361908,0.012581
P384_Kyber768,117.832094,117.831914,0.012950,17.916552,0.012950
P384_Kyber768,120.315675,120.315505,0.012650,19.994745,0.012650
P384_Kyber768,120.524824,120.524664,0.012520,20.074725,0.012520
P384_Kyber768,119.757787,119.750406,0.018970,19.313268,0.018970
P384_Kyber768,119.628611,119.628441,0.013910,19.690233,0.013910
P384_Kyber768,118.032982,118.032822,0.013820,18.331579,0.013820
P384_Kyber768,120.116538,120.116368,0.014510,20.283920,0.014510
P384_Kyber768,121.013997,121.013817,0.012780,21.191340,0.012780
P384_Kyber768,119.570875,119.570725,0.013651,18.991804,0.013651
P384_Kyber768,120.453945,120.453795,0.011990,20.335938,0.011990
P384_Kyber768,125.189048,125.188888,0.012560,24.104901,0.012560
P384_Kyber768,121.504069,121.503869,0.017690,19.862644,0.017690
P384_Kyber768,118.870879,118.870689,0.013000,18.918593,0.013000
P384_Kyber768,127.211537,127.211367,0.012920,26.277448,0.012920
P384_Kyber768,120.383865,120.383705,0.023620,20.082013,0.023620
P384_Kyber768,121.593939,121.593769,0.012930,20.802281,0.012930
P384_Kyber768,128.520553,128.520403,0.016670,27.190129,0.016670
P384_Kyber768,119.111370,119.111210,0.014160,19.247483,0.014160
P384_Kyber768,120.001151,120.000981,0.011200,19.046002,0.011200
P384_Kyber768,122.061472,122.061262,0.013091,22.427507,0.013091
P384_Kyber768,119.796569,119.796369,0.018011,19.076892,0.018011
P384_Kyber768,122.120008,122.119858,0.013270,21.985075,0.013270
P384_Kyber768,119.887922,119.887732,0.018240,19.984931,0.018240
P384_Kyber768,117.714656,117.714476,0.013450,18.488446,0.013450
P384_Kyber768,120.946504,120.946304,0.018050,19.170743,0.018050
P384_Kyber768,122.438889,122.438709,0.018681,22.264856,0.018681
P384_Kyber768,121.032006,121.031846,0.012540,20.293995,0.012540
P384_Kyber768,135.445503,135.445353,0.013150,34.121495,0.013150
P384_Kyber768,120.054795,120.054605,0.011430,19.287715,0.011430
P384_Kyber768,117.924690,117.924520,0.012480,18.212362,0.012480
P384_Kyber768,119.845670,119.845510,0.012940,20.288865,0.012940
P384_Kyber768,121.626942,121.626732,0.012180,21.139635,0.012180
P384_Kyber768,124.832746,124.832566,0.012490,24.124896,0.012490
P384_Kyber768,121.148371,121.148191,0.012950,20.447379,0.012950
P384_Kyber768,121.315940,121.315780,0.013550,19.073101,0.013550
P384_Kyber768,118.459440,118.459290,0.012521,18.498996,0.012521
P384_Kyber768,118.618883,118.618713,0.013680,18.693519,0.013680
P384_Kyber768,121.547765,121.547575,0.011510,20.353337,0.011510
P384_Kyber768,117.894874,117.894714,0.012630,18.114412,0.012630
P384_Kyber768,121.524084,121.523904,0.011020,19.118323,0.011020
P384_Kyber768,118.284561,118.284411,0.012370,18.219414,0.012370
P384_Kyber768,120.508924,120.508744,0.032139,19.652709,0.032139
P384_Kyber768,118.667657,118.667487,0.013610,18.594549,0.013610
P384_Kyber768,123.435471,123.435321,0.024881,22.388720,0.024881
P384_Kyber768,120.511905,120.511715,0.020160,20.296527,0.020160
P384_Kyber768,121.942404,121.942234,0.012290,20.285697,0.012290
P384_Kyber768,119.666274,119.666064,0.012690,19.216324,0.012690
P384_Kyber768,119.758177,119.758027,0.012711,19.385827,0.012711
P384_Kyber768,122.553107,122.552957,0.011920,21.373479,0.011920
P384_Kyber768,121.913064,121.912914,0.012660,21.268078,0.012660
P384_Kyber768,121.366910,121.366760,0.019550,20.948665,0.019550
P384_Kyber768,120.782704,120.782494,0.018041,20.620631,0.018041
P384_Kyber768,123.164773,123.164593,0.016910,22.554009,0.016910
P384_Kyber768,123.156405,123.156235,0.012850,22.442930,0.012850
P384_Kyber768,120.758631,120.758431,0.012740,20.726443,0.012740
P384_Kyber768,121.022643,121.022483,0.013330,20.654951,0.013330
P384_Kyber768,121.653878,121.653728,0.019610,21.461348,0.019610
P384_Kyber768,121.371105,121.370955,0.014520,20.457297,0.014520
P384_Kyber768,119.203327,119.203177,0.029671,19.600030,0.029671
P384_Kyber768,124.836875,124.836725,0.020490,23.654194,0.020490
P384_Kyber768,129.351011,129.350801,0.019740,28.567226,0.019740
P384_Kyber768,119.542090,119.541910,0.012490,19.816703,0.012490
P384_Kyber768,126.207598,126.207448,0.015549,26.025058,0.015549
P384_Kyber768,121.533881,121.533691,0.016751,22.208798,0.016751
P384_Kyber768,119.229186,119.229036,0.013280,19.450248,0.013280
P384_Kyber768,122.926317,122.926127,0.014121,22.210318,0.014121
P384_Kyber768,124.648135,124.647965,0.014480,23.459502,0.014480
P384_Kyber768,120.476720,120.476550,0.016110,20.190066,0.016110
P384_Kyber768,121.890464,121.890264,0.013150,21.565400,0.013150
P384_Kyber768,121.656432,121.656272,0.011590,21.996515,0.011590
P384_Kyber768,119.526959,119.526809,0.012580,19.225786,0.012580
P384_Kyber768,119.875393,119.875213,0.013320,18.701951,0.013320
P384_Kyber768,119.738811,119.738621,0.011470,20.000414,0.011470
