algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
P384_NTRU_HPS_2048_677,119.501242,119.501052,0.012560,19.621682,0.012560
P384_NTRU_HPS_2048_677,118.705418,118.705248,0.010590,19.082394,0.010590
P384_NTRU_HPS_2048_677,119.963761,119.963571,0.015790,18.458737,0.015790
P384_NTRU_HPS_2048_677,120.198607,120.198437,0.013211,19.281828,0.013211
P384_NTRU_HPS_2048_677,119.004587,119.004417,0.011640,18.421060,0.011640
P384_NTRU_HPS_2048_677,119.579567,119.579407,0.012551,19.013313,0.012551
P384_NTRU_HPS_2048_677,118.450599,118.450439,0.013140,18.425850,0.013140
P384_NTRU_HPS_2048_677,122.638460,122.638290,0.011320,21.045375,0.011320
P384_NTRU_HPS_2048_677,132.502311,132.502161,0.013120,31.501201,0.013120
P384_NTRU_HPS_2048_677,118.739586,118.739426,0.011750,18.985286,0.011750
P384_NTRU_HPS_2048_677,119.279036,119.278866,0.013881,19.475670,0.013881
P384_NTRU_HPS_2048_677,117.350094,117.349944,0.010480,17.719250,0.010480
P384_NTRU_HPS_2048_677,118.126720,118.126560,0.012030,18.102054,0.012030
P384_NTRU_HPS_2048_677,119.421559,119.421379,0.013450,19.130057,0.013450
P384_NTRU_HPS_2048_677,120.600786,120.600606,0.012780,20.918877,0.012780
P384_NTRU_HPS_2048_677,120.242436,120.242256,0.013050,20.073226,0.013050
P384_NTRU_HPS_2048_677,122.147820,122.147650,0.014440,20.443391,0.014440
P384_NTRU_HPS_2048_677,120.189522,120.189342,0.012100,19.079415,0.012100
P384_NTRU_HPS_2048_677,122.870123,122.869973,0.012980,21.149667,0.012980
P384_NTRU_HPS_2048_677,118.694370,118.694210,0.011850,18.651431,0.011850
P384_NTRU_HPS_2048_677,133.883017,133.882807,0.016770,32.667814,0.016770
P384_NTRU_HPS_2048_677,121.814853,121.814683,0.013220,20.295788,0.013220
P384_NTRU_HPS_2048_677,120.649367,120.649197,0.013610,20.392241,0.013610
P384_NTRU_HPS_2048_677,118.764698,118.764518,0.011970,18.954803,0.011970
P384_NTRU_HPS_2048_677,117.886921,117.886771,0.011271,18.076976,0.011271
P384_NTRU_HPS_2048_677,119.792657,119.792477,0.011690,20.031617,0.011690
P384_NTRU_HPS_2048_677,120.332422,120.332252,0.012910,19.633371,0.012910
P384_NTRU_HPS_2048_677,120.768822,120.768642,0.012730,20.878266,0.012730
P384_NTRU_HPS_2048_677,122.214275,122.214105,0.013060,21.796646,0.013060
P384_NTRU_HPS_2048_677,118.622751,118.622581,0.012880,19.006626,0.012880
P384_NTRU_HPS_2048_677,119.741188,119.741028,0.015140,19.636300,0.015140
P384_NTRU_HPS_2048_677,119.565947,119.565777,0.011410,19.324077,0.011410
P384_NTRU_HPS_2048_677,119.817839,119.817659,0.011641,19.433567,0.011641
P384_NTRU_HPS_2048_677,120.291544,120.291384,0.012280,19.689311,0.012280
P384_NTRU_HPS_2048_677,120.128355,120.128115,0.012040,19.181748,0.012040
P384_NTRU_HPS_2048_677,135.114270,135.114100,0.011810,34.090369,0.011810
P384_NTRU_HPS_2048_677,117.579904,117.579734,0.017870,18.147524,0.017870
P384_NTRU_HPS_2048_677,121.012615,121.012445,0.011710,20.758635,0.011710
P384_NTRU_HPS_2048_677,118.813370,118.813190,0.018060,18.459969,0.018060
P384_NTRU_HPS_2048_677,118.966349,118.966139,0.018960,18.863762,0.018960
P384_NTRU_HPS_2048_677,119.196775,119.196615,0.012440,18.765303,0.012440
P384_NTRU_HPS_2048_677,119.871574,119.871374,0.016300,18.545749,0.016300
P384_NTRU_HPS_2048_677,118.880369,118.880219,0.009101,18.490378,0.009101
P384_NTRU_HPS_2048_677,117.813139,117.812939,0.012040,18.131965,0.012040
P384_NTRU_HPS_2048_677,123.090918,123.090738,0.013680,22.419863,0.013680
P384_NTRU_HPS_2048_677,125.278471,125.278281,0.012350,24.691337,0.012350
P384_NTRU_HPS_2048_677,119.093308,119.093028,0.011481,18.872171,0.011481
P384_NTRU_HPS_2048_677,118.690690,118.690520,0.012430,19.174397,0.012430
P384_NTRU_HPS_2048_677,119.167553,119.167403,0.009810,19.196336,0.009810
P384_NTRU_HPS_2048_677,121.592069,121.591859,0.018391,20.570511,0.018391
P384_NTRU_HPS_2048_677,118.988179,118.988009,0.011530,19.304597,0.011530
P384_NTRU_HPS_2048_677,121.093003,121.092813,0.014700,20.258917,0.014700
P384_NTRU_HPS_2048_677,119.565053,119.564873,0.012051,18.598130,0.012051
P384_NTRU_HPS_2048_677,118.713660,118.713470,0.015710,18.157346,0.015710
P384_NTRU_HPS_2048_677,119.148927,119.148767,0.012030,19.434490,0.012030
P384_NTRU_HPS_2048_677,121.772838,121.772688,0.014091,21.442433,0.014091
P384_NTRU_HPS_2048_677,118.500480,118.500290,0.012210,18.526231,0.012210
P384_NTRU_HPS_2048_677,120.392727,120.392537,0.014700,20.490269,0.014700
P384_NTRU_HPS_2048_677,121.074536,121.074386,0.010520,20.475772,0.010520
P384_NTRU_HPS_2048_677,118.020827,118.020657,0.011100,18.147044,0.011100
P384_NTRU_HPS_2048_677,120.993862,120.993702,0.012790,21.391220,0.012790
P384_NTRU_HPS_2048_677,118.779842,118.779642,0.012901,19.179397,0.012901
P384_NTRU_HPS_2048_677,119.111475,119.111315,0.010700,19.232689,0.010700
P384_NTRU_HPS_2048_677,118.412288,118.412128,0.013790,18.507580,0.013790
P384_NTRU_HPS_2048_677,117.376466,117.376306,0.011590,18.073655,0.011590
P384_NTRU_HPS_2048_677,119.933982,119.933822,0.012540,19.449880,0.012540
P384_NTRU_HPS_2048_677,120.634936,120.634776,0.011611,20.718451,0.011611
P384_NTRU_HPS_2048_677,119.393370,119.393220,0.011620,19.523912,0.011620
P384_NTRU_HPS_2048_677,120.350469,120.350299,0.012740,21.075848,0.012740
P384_NTRU_HPS_2048_677,120.562882,120.562712,0.012690,19.979393,0.012690
P384_NTRU_HPS_2048_677,121.676420,121.676220,0.012830,21.612683,0.012830
P384_NTRU_HPS_2048_677,118.749841,118.749691,0.012880,18.981215,0.012880
P384_NTRU_HPS_2048_677,124.177536,124.177386,0.012120,24.099028,0.012120
P384_NTRU_HPS_2048_677,117.686327,117.686177,0.011880,17.595710,0.011880
P384_NTRU_HPS_2048_677,120.549983,120.549813,0.014310,20.437161,0.014310
P384_NTRU_HPS_2048_677,120.456826,120.456646,0.011420,20.310719,0.011420
P384_NTRU_HPS_2048_677,120.605020,120.604860,0.012311,19.631592,0.012311
P384_NTRU_HPS_2048_677,119.860308,119.860128,0.012310,19.230137,0.012310
P384_NTRU_HPS_2048_677,120.345471,120.345291,0.012590,20.307388,0.012590
P384_NTRU_HPS_2048_677,119.810138,119.809938,0.010870,19.468618,0.010870
P384_NTRU_HPS_2048_677,120.784460,120.784260,0.012480,20.641192,0.012480
