algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
P384_NTRU_HRSS_701,120.857752,120.857552,0.012020,20.337559,0.012020
P384_NTRU_HRSS_701,120.387859,120.387689,0.012411,19.079576,0.012411
P384_NTRU_HRSS_701,118.800417,118.800257,0.026671,18.378229,0.026671
P384_NTRU_HRSS_701,121.771267,121.771097,0.013520,21.175199,0.013520
P384_NTRU_HRSS_701,119.929146,119.928986,0.012741,19.808224,0.012741
P384_NTRU_HRSS_701,121.360333,121.360173,0.012640,21.568233,0.012640
P384_NTRU_HRSS_701,119.729356,119.729176,0.012720,19.482932,0.012720
P384_NTRU_HRSS_701,127.319483,127.319283,0.013010,26.725368,0.013010
P384_NTRU_HRSS_701,118.864104,118.863914,0.012510,18.415310,0.012510
P384_NTRU_HRSS_701,119.701543,119.701383,0.013841,19.349399,0.013841
P384_NTRU_HRSS_701,119.197317,119.197147,0.013641,18.249587,0.013641
P384_NTRU_HRSS_701,124.274483,124.274333,0.015290,23.716016,0.015290
P384_NTRU_HRSS_701,120.038497,120.038327,0.012550,19.931205,0.012550
P384_NTRU_HRSS_701,128.334733,128.334553,0.012660,28.410065,0.012660
P384_NTRU_HRSS_701,119.323187,119.323017,0.012110,19.081646,0.012110
P384_NTRU_HRSS_701,120.377312,120.377162,0.012340,20.702834,0.012340
P384_NTRU_HRSS_701,119.331954,119.331794,0.014960,19.283906,0.014960
P384_NTRU_HRSS_701,120.271379,120.271229,0.011830,19.111538,0.011830
P384_NTRU_HRSS_701,117.870352,117.870202,0.012200,18.389679,0.012200
P384_NTRU_HRSS_701,119.387742,119.387592,0.012270,19.304439,0.012270
P384_NTRU_HRSS_701,118.735874,118.735714,0.012940,18.505130,0.012940
P384_NTRU_HRSS_701,119.278235,119.278065,0.013010,18.151296,0.013010
P384_NTRU_HRSS_701,119.537351,119.537201,0.013540,19.247078,0.013540
P384_NTRU_HRSS_701,118.868523,118.868363,0.012180,19.130628,0.012180
P384_NTRU_HRSS_701,121.984558,121.984388,0.009600,21.903917,0.009600
P384_NTRU_HRSS_701,119.395428,119.395268,0.012240,18.236657,0.012240
P384_NTRU_HRSS_701,127.063119,127.062939,0.018211,26.973920,0.018211
P384_NTRU_HRSS_701,120.413418,120.413258,0.013140,19.526890,0.013140
P384_NTRU_HRSS_701,121.091438,121.091288,0.013810,20.781675,0.013810
P384_NTRU_HRSS_701,117.660880,117.660720,0.012091,18.168457,0.012091
P384_NTRU_HRSS_701,119.637230,119.637070,0.017190,20.066697,0.017190
P384_NTRU_HRSS_701,120.308830,120.308660,0.010100,19.543231,0.010100
P384_NTRU_HRSS_701,121.096637,121.096437,0.024470,20.932947,0.024470
P384_NTRU_HRSS_701,120.444005,120.443825,0.012390,19.428597,0.012390
P384_NTRU_HRSS_701,118.526636,118.526476,0.012470,18.250486,0.012470
P384_NTRU_HRSS_701,119.953761,119.953591,0.012051,19.026774,0.012051
P384_NTRU_HRSS_701,119.818061,119.817891,0.014280,19.887324,0.014280
P384_NTRU_HRSS_701,121.138142,121.137962,0.012830,21.560452,0.012830
P384_NTRU_HRSS_701,119.666964,119.666794,0.012230,19.642052,0.012230
P384_NTRU_HRSS_701,119.849999,119.849829,0.013001,19.990414,0.013001
P384_NTRU_HRSS_701,120.658109,120.657919,0.011920,19.283447,0.011920
P384_NTRU_HRSS_701,121.496209,121.496029,0.012690,20.255719,0.012690
P384_NTRU_HRSS_701,123.057487,123.057337,0.014280,22.703795,0.014280
P384_NTRU_HRSS_701,121.274338,121.274158,0.011990,20.563751,0.011990
P384_NTRU_HRSS_701,117.608658,117.608508,0.011541,17.882484,0.011541
P384_NTRU_HRSS_701,121.680572,121.680422,0.012610,20.857595,0.012610
P384_NTRU_HRSS_701,121.083364,121.083204,0.013240,20.061545,0.013240
P384_NTRU_HRSS_701,120.333829,120.333659,0.014219,19.279138,0.014219
P384_NTRU_HRSS_701,128.049292,128.049142,0.013101,28.420558,0.013101
P384_NTRU_HRSS_701,118.260848,118.260658,0.013510,18.325417,0.013510
P384_NTRU_HRSS_701,123.345737,123.345577,0.012571,23.678014,0.012571
P384_NTRU_HRSS_701,128.189521,128.189341,0.016870,27.170902,0.016870
P384_NTRU_HRSS_701,119.690787,119.690637,0.029090,19.413618,0.029090
P384_NTRU_HRSS_701,121.651628,121.651458,0.010360,21.317718,0.010360
P384_NTRU_HRSS_701,122.371668,122.371518,0.012770,22.364091,0.012770
P384_NTRU_HRSS_701,126.318396,126.318246,0.012640,25.570447,0.012640
P384_NTRU_HRSS_701,119.182000,119.181830,0.012470,18.683150,0.012470
P384_NTRU_HRSS_701,119.406945,119.406785,0.013710,19.801842,0.013710
P384_NTRU_HRSS_701,118.475211,118.475051,0.012960,18.580918,0.012960
P384_NTRU_HRSS_701,121.147163,121.146973,0.012180,21.014045,0.012180
P384_NTRU_HRSS_701,121.131746,121.131596,0.011530,21.066208,0.011530
P384_NTRU_HRSS_701,121.187056,121.186876,0.013391,20.818375,0.013391
P384_NTRU_HRSS_701,119.700650,119.700500,0.018361,19.108046,0.018361
P384_NTRU_HRSS_701,118.036883,118.036723,0.012480,17.894423,0.012480
P384_NTRU_HRSS_701,121.830743,121.830553,0.012230,21.977498,0.012230
P384_NTRU_HRSS_701,119.437644,119.437484,0.011600,19.343857,0.011600
P384_NTRU_HRSS_701,119.173942,119.173782,0.013110,19.302426,0.013110
P384_NTRU_HRSS_701,127.425612,127.425392,0.016520,25.435574,0.016520
P384_NTRU_HRSS_701,118.971709,118.971509,0.018490,19.288136,0.018490
P384_NTRU_HRSS_701,121.069344,121.069164,0.013250,21.233700,0.013250
P384_NTRU_HRSS_701,127.213341,127.213191,0.011050,27.474677,0.011050
P384_NTRU_HRSS_701,119.080717,119.080557,0.012680,19.027563,0.012680
P384_NTRU_HRSS_701,122.278988,122.278838,0.011810,21.643394,0.011810
P384_NTRU_HRSS_701,119.358430,119.358250,0.016501,19.230659,0.016501
P384_NTRU_HRSS_701,118.668369,118.668209,0.016590,18.792024,0.016590
P384_NTRU_HRSS_701,119.560448,119.560268,0.012740,19.094246,0.012740
P384_NTRU_HRSS_701,119.713833,119.713683,0.012720,19.222699,0.012720
P384_NTRU_HRSS_701,119.877530,119.877370,0.013420,19.097285,0.013420
P384_NTRU_HRSS_701,118.164586,118.164416,0.012380,18.147256,0.012380
P384_NTRU_HRSS_701,119.222398,119.222228,0.012090,19.316639,0.012090
P384_NTRU_HRSS_701,119.788004,119.787834,0.024731,18.808862,0.024731
P384_NTRU_HRSS_701,120.583866,120.583696,0.017600,20.166306,0.017600
