algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
P384_Saber_KEM,120.126517,120.126297,0.017630,19.694913,0.017630
P384_Saber_KEM,124.488471,124.488291,0.017661,24.739104,0.017661
P384_Saber_KEM,120.488454,120.488304,0.011720,20.153808,0.011720
P384_Saber_KEM,119.430083,119.429893,0.012980,19.981237,0.012980
P384_Saber_KEM,120.500793,120.500633,0.023650,20.771264,0.023650
P384_Saber_KEM,118.303516,118.303356,0.011670,18.218166,0.011670
P384_Saber_KEM,119.663130,119.662960,0.011490,19.826034,0.011490
P384_Saber_KEM,119.082625,119.082455,0.011690,19.514161,0.011690
P384_Saber_KEM,120.279658,120.279468,0.013130,20.418820,0.013130
P384_Saber_KEM,121.018205,121.018045,0.011810,20.747683,0.011810
P384_Saber_KEM,118.282695,118.282515,0.011310,18.882863,0.011310
P384_Saber_KEM,118.650978,118.650798,0.010970,18.392737,0.010970
P384_Saber_KEM,117.950320,117.950170,0.011980,18.062464,0.011980
P384_Saber_KEM,118.220428,118.220268,0.012110,18.353809,0.012110
P384_Saber_KEM,119.583039,119.582859,0.012750,19.849734,0.012750
P384_Saber_KEM,120.390189,120.390019,0.009660,19.247909,0.009660
P384_Saber_KEM,118.740150,118.740000,0.011840,19.324378,0.011840
P384_Saber_KEM,131.825036,131.824846,0.016090,31.326659,0.016090
P384_Saber_KEM,124.946737,124.946577,0.010570,24.325132,0.010570
P384_Saber_KEM,129.052761,129.052601,0.015210,28.245504,0.015210
P384_Saber_KEM,126.925101,126.924951,0.011310,26.416476,0.011310
P384_Saber_KEM,118.243983,118.243833,0.011120,18.136845,0.011120
P384_Saber_KEM,119.436608,119.436458,0.011610,19.680452,0.011610
P384_Saber_KEM,119.007173,119.007013,0.012370,18.884954,0.012370
P384_Saber_KEM,120.821419,120.821269,0.011570,20.822604,0.011570
P384_Saber_KEM,121.598874,121.598724,0.013220,20.595373,0.013220
P384_Saber_KEM,124.552014,124.551864,0.011751,24.106811,0.011751
P384_Saber_KEM,120.476136,120.475936,0.015730,19.468188,0.015730
P384_Saber_KEM,118.703294,118.703144,0.011670,18.466590,0.011670
P384_Saber_KEM,121.383561,121.383381,0.035730,20.126448,0.035730
P384_Saber_KEM,121.630366,121.630206,0.012160,21.729775,0.012160
P384_Saber_KEM,122.080652,122.080472,0.012480,21.552232,0.012480
P384_Saber_KEM,120.719827,120.719647,0.013980,20.251477,0.013980
P384_Saber_KEM,127.793771,127.793571,0.017250,27.342936,0.017250
P384_Saber_KEM,118.826797,118.826627,0.011690,18.946132,0.011690
P384_Saber_KEM,119.822051,119.821891,0.011580,19.906125,0.011580
P384_Saber_KEM,118.615312,118.615142,0.013270,18.427290,0.013270
P384_Saber_KEM,120.456718,120.456568,0.011991,20.150787,0.011991
P384_Saber_KEM,120.513930,120.513780,0.011850,20.439282,0.011850
P384_Saber_KEM,118.595222,118.595072,0.011671,18.576771,0.011671
P384_Saber_KEM,121.580810,121.580620,0.011780,21.315590,0.011780
P384_Saber_KEM,119.774364,119.774204,0.012030,19.450501,0.012030
P384_Saber_KEM,123.027476,123.027326,0.012020,23.235072,0.012020
P384_Saber_KEM,128.229192,128.229032,0.011650,28.171474,0.011650
P384_Saber_KEM,128.301614,128.301454,0.012030,27.936642,0.012030
P384_Saber_KEM,134.987562,134.987402,0.012430,34.087096,0.012430
P384_Saber_KEM,121.437306,121.437156,0.013570,21.492610,0.013570
P384_Saber_KEM,118.924280,118.924100,0.011860,18.285076,0.011860
P384_Saber_KEM,119.739355,119.739185,0.015340,20.196446,0.015340
P384_Saber_KEM,118.442337,118.442187,0.011661,18.363459,0.011661
P384_Saber_KEM,119.003408,119.003248,0.011600,18.638509,0.011600
P384_Saber_KEM,118.952557,118.952407,0.011290,18.565149,0.011290
P384_Saber_KEM,119.799678,119.799518,0.010530,18.983802,0.010530
P384_Saber_KEM,119.090423,119.090273,0.012500,18.587070,0.012500
P384_Saber_KEM,121.088304,121.088114,0.011350,20.650902,0.011350
P384_Saber_KEM,121.531688,121.531518,0.012280,21.057445,0.012280
P384_Saber_KEM,120.285534,120.285364,0.011770,20.440799,0.011770
P384_Saber_KEM,122.533562,122.533322,0.020140,22.503633,0.020140
P384_Saber_KEM,118.877723,118.877563,0.011650,19.245118,0.011650
P384_Saber_KEM,119.663433,119.663273,0.011650,19.125314,0.011650
P384_Saber_KEM,120.127633,120.127483,0.011720,20.508750,0.011720
P384_Saber_KEM,120.271586,120.271436,0.011380,20.792704,0.011380
P384_Saber_KEM,125.206170,125.206000,0.012160,24.392484,0.012160
P384_Saber_KEM,120.118543,120.118353,0.012640,20.573471,0.012640
P384_Saber_KEM,119.414869,119.414689,0.013170,18.748202,0.013170
P384_Saber_KEM,118.904421,118.904251,0.011380,18.806784,0.011380
P384_Saber_KEM,118.225980,118.225790,0.010870,18.643629,0.010870
P384_Saber_KEM,119.200489,119.200319,0.013740,19.135088,0.013740
P384_Saber_KEM,122.231787,122.231627,0.013210,21.427363,0.013210
P384_Saber_KEM,120.069265,120.069075,0.011570,19.546481,0.011570
P384_Saber_KEM,119.639797,119.639617,0.013400,19.575431,0.013400
P384_Saber_KEM,118.710453,118.710303,0.011430,18.774123,0.011430
P384_Saber_KEM,118.298663,118.298503,0.011540,18.544169,0.011540
P384_Saber_KEM,132.174204,132.174004,0.019470,31.408019,0.019470
P384_Saber_KEM,132.607282,132.607072,0.017541,32.687743,0.017541
P384_Saber_KEM,120.433028,120.432838,0.027960,20.272749,0.027960
P384_Saber_KEM,121.287212,121.287062,0.012090,21.359708,0.012090
P384_Saber_KEM,119.497287,119.497127,0.011860,20.177758,0.011860
P384_Saber_KEM,118.911946,118.911766,0.011600,18.461398,0.011600
P384_Saber_KEM,120.573330,120.573170,0.012030,20.398821,0.012030
P384_Saber_KEM,120.701447,120.701277,0.013310,19.560049,0.013310
P384_Saber_KEM,125.558280,125.558090,0.016190,25.647575,0.016190
P384_Saber_KEM,118.872710,118.872540,0.012540,19.014725,0.012540
P384_Saber_KEM,119.009363,119.009213,0.010760,19.066817,0.010760
P384_Saber_KEM,122.060101,122.059951,0.012640,22.116457,0.012640
P384_Saber_KEM,121.918079,121.917909,0.012230,21.158286,0.012230
P384_Saber_KEM,120.848544,120.848354,0.011380,21.322720,0.011380
P384_Saber_KEM,119.941709,119.941559,0.012620,19.042295,0.012620
P384_Saber_KEM,118.161053,118.160903,0.013640,18.163884,0.013640
P384_Saber_KEM,122.940746,122.940546,0.012310,23.341402,0.012310
P384_Saber_KEM,120.434675,120.434505,0.012970,20.472799,0.012970
P384_Saber_KEM,120.013881,120.013691,0.011750,20.319618,0.011750
P384_Saber_KEM,119.595043,119.594893,0.012370,19.362779,0.012370
P384_Saber_KEM,117.988654,117.988484,0.010580,18.558590,0.010580
P384_Saber_KEM,120.540682,120.540532,0.011750,19.795932,0.011750
P384_Saber_KEM,121.896015,121.895835,0.011981,21.125109,0.011981
P384_Saber_KEM,118.473225,118.473035,0.012120,18.561089,0.012120
P384_Saber_KEM,120.159606,120.159426,0.011870,19.381591,0.011870
P384_Saber_KEM,122.365213,122.365043,0.011450,21.327912,0.011450
P384_Saber_KEM,120.912989,120.912829,0.011600,20.484639,0.011600
P384_Saber_KEM,122.985794,122.985624,0.011440,21.022227,0.011440
P384_Saber_KEM,129.196328,129.196138,0.016690,28.038010,0.016690
P384_Saber_KEM,120.481301,120.481141,0.013070,20.220209,0.013070
P384_Saber_KEM,123.875668,123.875468,0.018070,24.382824,0.018070
P384_Saber_KEM,121.030984,121.030824,0.011640,20.606873,0.011640
P384_Saber_KEM,124.093836,124.093646,0.017040,23.672375,0.017040
P384_Saber_KEM,119.725245,119.725075,0.011701,19.425468,0.011701
P384_Saber_KEM,119.764403,119.764243,0.019510,18.598582,0.019510
P384_Saber_KEM,118.714838,118.714688,0.012200,18.357178,0.012200
P384_Saber_KEM,120.691360,120.691180,0.011350,20.122417,0.011350
P384_Saber_KEM,120.754958,120.754778,0.016090,20.941764,0.016090
P384_Saber_KEM,122.293017,122.292857,0.013050,21.207999,0.013050
P384_Saber_KEM,117.934317,117.934147,0.011300,18.214975,0.011300
P384_Saber_KEM,120.389625,120.389465,0.011541,20.798414,0.011541
P384_Saber_KEM,120.671289,120.671089,0.014900,19.903375,0.014900
P384_Saber_KEM,120.328350,120.328190,0.011560,19.542471,0.011560
P384_Saber_KEM,122.198209,122.198049,0.011731,21.426301,0.011731
P384_Saber_KEM,126.503522,126.503342,0.014400,26.642348,0.014400
P384_Saber_KEM,125.208727,125.208527,0.015380,24.903687,0.015380
P384_Saber_KEM,118.325612,118.325462,0.013760,18.504878,0.013760
P384_Saber_KEM,124.316227,124.316067,0.011830,24.449379,0.011830
P384_Saber_KEM,119.800618,119.800438,0.011940,19.571627,0.011940
P384_Saber_KEM,120.734499,120.734329,0.012720,19.603758,0.012720
P384_Saber_KEM,118.979219,118.979039,0.011350,18.180663,0.011350
P384_Saber_KEM,126.576682,126.576532,0.012030,26.020056,0.012030
P384_Saber_KEM,124.084746,124.084586,0.021530,23.760912,0.021530
