algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
IBE-KEM-PDK 384,19.229723,19.229431,0.032573,16.256420,0.032573
IBE-KEM-PDK 384,18.649494,18.649361,0.030458,16.358791,0.030458
IBE-KEM-PDK 384,15.176651,15.176526,0.026223,13.001824,0.026223
IBE-KEM-PDK 384,13.434210,13.434088,0.018452,11.271247,0.018452
IBE-KEM-PDK 384,19.869350,19.869017,0.027075,16.337557,0.027075
IBE-KEM-PDK 384,14.621725,14.621613,0.020679,12.638432,0.020679
IBE-KEM-PDK 384,13.856213,13.851697,0.021899,11.992691,0.021899
IBE-KEM-PDK 384,15.239961,15.239850,0.024807,13.352751,0.024807
IBE-KEM-PDK 384,14.229342,14.229158,0.063784,11.910011,0.063784
IBE-KEM-PDK 384,13.287693,13.287469,0.020178,11.028623,0.020178
IBE-KEM-PDK 384,12.754039,12.753925,0.022227,10.945445,0.022227
IBE-KEM-PDK 384,17.706200,17.706027,0.051177,14.805973,0.051177
IBE-KEM-PDK 384,13.500530,13.500378,0.019889,11.317568,0.019889
IBE-KEM-PDK 384,13.730274,13.730133,0.016150,11.839881,0.016150
IBE-KEM-PDK 384,13.595013,13.594882,0.027600,11.312054,0.027600
IBE-KEM-PDK 384,13.348623,13.348506,0.036188,11.300370,0.036188
IBE-KEM-PDK 384,15.711618,15.711493,0.030379,13.495457,0.030379
IBE-KEM-PDK 384,14.454609,14.454453,0.033730,11.950369,0.033730
IBE-KEM-PDK 384,13.338590,13.338420,0.016647,11.422877,0.016647
IBE-KEM-PDK 384,13.499823,13.499663,0.034079,11.348218,0.034079
IBE-KEM-PDK 384,13.687190,13.687072,0.023804,11.556733,0.023804
IBE-KEM-PDK 384,13.197359,13.197206,0.018509,11.373715,0.018509
IBE-KEM-PDK 384,13.346743,13.346622,0.026928,11.447767,0.026928
IBE-KEM-PDK 384,13.821813,13.821666,0.017856,12.028287,0.017856
IBE-KEM-PDK 384,14.370670,14.370494,0.025576,11.918168,0.025576
IBE-KEM-PDK 384,24.409140,24.408810,0.030213,20.461507,0.030213
IBE-KEM-PDK 384,13.533517,13.533397,0.021521,11.607906,0.021521
IBE-KEM-PDK 384,16.457058,16.456945,0.021276,14.405057,0.021276
IBE-KEM-PDK 384,13.811792,13.811670,0.021415,11.857991,0.021415
IBE-KEM-PDK 384,13.858534,13.858422,0.024857,11.905910,0.024857
IBE-KEM-PDK 384,13.558224,13.558062,0.017669,11.469674,0.017669
IBE-KEM-PDK 384,14.461628,14.461441,0.035594,11.695368,0.035594
IBE-KEM-PDK 384,13.416853,13.416747,0.018360,11.561544,0.018360
IBE-KEM-PDK 384,20.060448,20.060265,0.025476,17.241432,0.025476
IBE-KEM-PDK 384,14.040323,14.040116,0.019906,11.688856,0.019906
IBE-KEM-PDK 384,18.214406,18.214282,0.026582,15.685892,0.026582
IBE-KEM-PDK 384,16.716656,16.716546,0.026944,14.856877,0.026944
IBE-KEM-PDK 384,14.082111,14.081983,0.023026,12.123563,0.023026
IBE-KEM-PDK 384,17.144728,17.144536,0.030236,15.136882,0.030236
IBE-KEM-PDK 384,13.169504,13.169390,0.021751,11.273309,0.021751
IBE-KEM-PDK 384,14.450034,14.449893,0.019978,12.265383,0.019978
IBE-KEM-PDK 384,21.772582,21.772312,0.039224,18.239374,0.039224
IBE-KEM-PDK 384,13.859152,13.859003,0.015090,12.085286,0.015090
IBE-KEM-PDK 384,13.735572,13.735450,0.017792,11.731962,0.017792
IBE-KEM-PDK 384,15.493062,15.492947,0.021279,13.558574,0.021279
IBE-KEM-PDK 384,13.433189,13.433032,0.017223,11.612899,0.017223
IBE-KEM-PDK 384,14.869893,14.869684,0.022188,12.480281,0.022188
IBE-KEM-PDK 384,17.991179,17.990943,0.037301,14.262315,0.037301
IBE-KEM-PDK 384,18.933397,18.933273,0.026725,16.844564,0.026725
IBE-KEM-PDK 384,17.090341,17.090192,0.024747,14.615560,0.024747
IBE-KEM-PDK 384,18.612250,18.612139,0.022701,16.455324,0.022701
IBE-KEM-PDK 384,15.028360,15.028244,0.030699,13.083737,0.030699
IBE-KEM-PDK 384,14.005303,14.005138,0.022638,11.655554,0.022638
IBE-KEM-PDK 384,13.850016,13.849897,0.036839,11.760677,0.036839
IBE-KEM-PDK 384,15.951535,15.951357,0.029606,12.850061,0.029606
IBE-KEM-PDK 384,16.054310,16.054170,0.018646,14.131825,0.018646
IBE-KEM-PDK 384,17.516984,17.516873,0.046882,14.519966,0.046882
IBE-KEM-PDK 384,21.628089,21.627871,0.020170,19.234792,0.020170
IBE-KEM-PDK 384,14.424391,14.424223,0.016187,12.491963,0.016187
IBE-KEM-PDK 384,13.566266,13.566153,0.023637,11.644791,0.023637
IBE-KEM-PDK 384,13.693540,13.693424,0.020134,11.543491,0.020134
IBE-KEM-PDK 384,13.159567,13.159454,0.017592,11.272806,0.017592
IBE-KEM-PDK 384,13.210773,13.210657,0.031470,11.340129,0.031470
IBE-KEM-PDK 384,19.381426,19.381227,0.030034,15.743469,0.030034
IBE-KEM-PDK 384,13.313566,13.304614,0.020119,11.163548,0.020119
IBE-KEM-PDK 384,21.281432,21.281227,0.030037,17.753837,0.030037
IBE-KEM-PDK 384,13.470526,13.470359,0.016309,11.407284,0.016309
IBE-KEM-PDK 384,13.598591,13.598447,0.026124,11.424843,0.026124
IBE-KEM-PDK 384,17.195103,17.194982,0.029879,15.254959,0.029879
IBE-KEM-PDK 384,13.794324,13.794212,0.024054,11.750586,0.024054
IBE-KEM-PDK 384,20.500283,20.499900,0.028464,17.113532,0.028464
IBE-KEM-PDK 384,13.628905,13.628802,0.033473,11.536237,0.033473
IBE-KEM-PDK 384,13.216277,13.216157,0.024602,11.303977,0.024602
IBE-KEM-PDK 384,15.836673,15.836504,0.016806,13.921353,0.016806
IBE-KEM-PDK 384,13.855795,13.855676,0.029924,11.739382,0.029924
IBE-KEM-PDK 384,14.163963,14.163800,0.016539,12.286940,0.016539
IBE-KEM-PDK 384,13.859100,13.858987,0.018029,11.939008,0.018029
IBE-KEM-PDK 384,23.678926,23.678772,0.031266,21.256160,0.031266
IBE-KEM-PDK 384,15.837714,15.837510,0.037956,12.716044,0.037956
IBE-KEM-PDK 384,14.250324,14.250202,0.030063,12.421821,0.030063
IBE-KEM-PDK 384,14.239623,14.239404,0.022351,11.587533,0.022351
IBE-KEM-PDK 384,14.987890,14.987777,0.024415,13.022798,0.024415
IBE-KEM-PDK 384,21.590383,21.590234,0.028994,18.820019,0.028994
IBE-KEM-PDK 384,13.365751,13.365566,0.016933,11.488353,0.016933
IBE-KEM-PDK 384,14.128020,14.127844,0.029639,11.729253,0.029639
IBE-KEM-PDK 384,13.772620,13.772507,0.025547,11.784987,0.025547
IBE-KEM-PDK 384,14.215714,14.215549,0.025418,11.945332,0.025418
IBE-KEM-PDK 384,16.202217,16.202102,0.019858,13.850693,0.019858
IBE-KEM-PDK 384,14.044904,14.044801,0.030909,12.114865,0.030909
IBE-KEM-PDK 384,13.415616,13.415492,0.020345,11.307141,0.020345
IBE-KEM-PDK 384,19.932778,19.932623,0.034901,17.145538,0.034901
IBE-KEM-PDK 384,13.467487,13.467310,0.018708,11.306158,0.018708
IBE-KEM-PDK 384,13.793495,13.793307,0.020368,11.790035,0.020368
IBE-KEM-PDK 384,20.065462,20.065341,0.025818,18.148247,0.025818
IBE-KEM-PDK 384,14.230315,14.230170,0.018616,12.361219,0.018616
IBE-KEM-PDK 384,19.000776,19.000654,0.024700,16.825795,0.024700
IBE-KEM-PDK 384,17.428534,17.428340,0.017065,15.488510,0.017065
IBE-KEM-PDK 384,13.613645,13.613535,0.019888,11.497460,0.019888
IBE-KEM-PDK 384,16.290084,16.289972,0.019728,14.218546,0.019728
IBE-KEM-PDK 384,13.321510,13.321388,0.020849,11.405583,0.020849
IBE-KEM-PDK 384,18.166765,18.166455,0.038013,14.069452,0.038013
IBE-KEM-PDK 384,15.755990,15.755839,0.015775,13.572610,0.015775
IBE-KEM-PDK 384,13.451443,13.451266,0.016945,11.472217,0.016945
IBE-KEM-PDK 384,13.693495,13.693383,0.018422,11.490723,0.018422
IBE-KEM-PDK 384,14.925313,14.925156,0.016024,13.086104,0.016024
IBE-KEM-PDK 384,13.556358,13.556252,0.023903,11.611627,0.023903
