algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
P384_Kyber768,21.300955,21.300852,0.018829,19.011792,0.018829
P384_Kyber768,25.777985,25.777712,0.023271,20.975476,0.023271
P384_Kyber768,27.247225,27.246886,0.021218,22.527304,0.021218
P384_Kyber768,20.138430,20.138303,0.009025,17.932270,0.009025
P384_Kyber768,17.457567,17.457447,0.020701,15.296631,0.020701
P384_Kyber768,20.467231,20.467111,0.018886,18.326547,0.018886
P384_Kyber768,29.441919,29.441680,0.043079,24.828853,0.043079
P384_Kyber768,20.763426,20.763120,0.030006,17.365296,0.030006
P384_Kyber768,21.365928,21.365644,0.029632,17.048475,0.029632
P384_Kyber768,27.340385,27.340109,0.020998,22.816336,0.020998
P384_Kyber768,18.141599,18.141456,0.024064,15.760334,0.024064
P384_Kyber768,20.339953,20.339658,0.015414,16.385608,0.015414
P384_Kyber768,23.748084,23.747825,0.022391,19.238990,0.022391
P384_Kyber768,24.532578,24.532248,0.021001,19.124966,0.021001
P384_Kyber768,18.152646,18.152460,0.017237,15.110409,0.017237
P384_Kyber768,20.994501,20.994338,0.010212,18.560156,0.010212
P384_Kyber768,20.270448,20.270303,0.024043,17.644962,0.024043
P384_Kyber768,22.158456,22.158343,0.012084,20.106475,0.012084
P384_Kyber768,25.284205,25.283914,0.027143,20.547283,0.027143
P384_Kyber768,21.512789,21.512496,0.024315,17.510100,0.024315
P384_Kyber768,23.391605,23.391317,0.022885,18.067661,0.022885
P384_Kyber768,23.640277,23.640162,0.014975,21.503814,0.014975
P384_Kyber768,20.593582,20.593463,0.017691,18.411326,0.017691
P384_Kyber768,17.787169,17.787058,0.017303,15.618988,0.017303
P384_Kyber768,22.662412,22.662030,0.024629,19.624405,0.024629
P384_Kyber768,20.422746,20.422622,0.010559,18.107968,0.010559
P384_Kyber768,21.571442,21.571325,0.034529,17.710275,0.034529
P384_Kyber768,25.238624,25.238238,0.017545,22.259170,0.017545
P384_Kyber768,17.842661,17.842545,0.008740,15.662407,0.008740
P384_Kyber768,19.852962,19.852849,0.026798,17.652930,0.026798
P384_Kyber768,24.603237,24.602943,0.033599,18.286491,0.033599
P384_Kyber768,21.508588,21.508253,0.023129,16.892059,0.023129
P384_Kyber768,25.471881,25.471360,0.026328,19.137242,0.026328
P384_Kyber768,22.925822,22.925710,0.014702,20.743545,0.014702
P384_Kyber768,20.820102,20.819989,0.022869,18.767300,0.022869
P384_Kyber768,18.692952,18.692816,0.008934,16.414367,0.008934
P384_Kyber768,23.447025,23.446908,0.016689,21.278060,0.016689
P384_Kyber768,25.017876,25.017706,0.031145,21.977095,0.031145
P384_Kyber768,18.312956,18.312847,0.020768,16.140871,0.020768
P384_Kyber768,18.010883,18.010764,0.009572,15.851877,0.009572
P384_Kyber768,24.430794,24.430390,0.017388,19.735115,0.017388
P384_Kyber768,24.013051,24.012941,0.015440,21.655224,0.015440
P384_Kyber768,24.162849,24.162465,0.026735,17.648152,0.026735
P384_Kyber768,17.489627,17.489513,0.009650,15.302726,0.009650
P384_Kyber768,18.073628,18.073509,0.009867,15.934626,0.009867
P384_Kyber768,18.443479,18.443312,0.021639,15.839601,0.021639
P384_Kyber768,19.569212,19.568961,0.020905,15.927423,0.020905
P384_Kyber768,19.705725,19.705584,0.016684,17.494885,0.016684
P384_Kyber768,25.157305,25.156958,0.026278,19.995560,0.026278
P384_Kyber768,20.486961,20.486846,0.021367,18.362229,0.021367
P384_Kyber768,23.217896,23.217735,0.027467,20.125911,0.027467
P384_Kyber768,23.625658,23.625409,0.021676,20.775533,0.021676
P384_Kyber768,27.895137,27.894826,0.026954,21.365335,0.026954
P384_Kyber768,20.327717,20.327593,0.013666,17.767333,0.013666
P384_Kyber768,18.293699,18.293583,0.018205,16.068550,0.018205
P384_Kyber768,20.710873,20.710552,0.010742,17.752955,0.010742
P384_Kyber768,17.840988,17.840863,0.021228,15.624253,0.021228
P384_Kyber768,22.189952,22.189652,0.012769,19.344630,0.012769
P384_Kyber768,21.296903,21.296560,0.024081,17.833607,0.024081
P384_Kyber768,20.454595,20.454489,0.014498,18.288811,0.014498
P384_Kyber768,22.979720,22.979323,0.010642,19.770356,0.010642
P384_Kyber768,19.886766,19.886391,0.017190,16.706613,0.017190
