algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
P384_NTRU_HPS_2048_677,21.009933,21.009787,0.014596,18.684543,0.014596
P384_NTRU_HPS_2048_677,20.689259,20.689047,0.023361,17.737288,0.023361
P384_NTRU_HPS_2048_677,20.686679,20.686554,0.028618,18.571769,0.028618
P384_NTRU_HPS_2048_677,21.999998,21.999788,0.021631,18.148974,0.021631
P384_NTRU_HPS_2048_677,23.284330,23.283938,0.033420,18.574464,0.033420
P384_NTRU_HPS_2048_677,21.300479,21.300094,0.010311,18.903568,0.010311
P384_NTRU_HPS_2048_677,21.777132,21.776888,0.020221,18.528492,0.020221
P384_NTRU_HPS_2048_677,17.811591,17.811484,0.008320,15.594162,0.008320
P384_NTRU_HPS_2048_677,18.352694,18.352580,0.007922,16.265376,0.007922
P384_NTRU_HPS_2048_677,19.909592,19.909477,0.012359,17.677002,0.012359
P384_NTRU_HPS_2048_677,23.605929,23.605809,0.009250,21.003898,0.009250
P384_NTRU_HPS_2048_677,19.683606,19.683446,0.010468,17.484441,0.010468
P384_NTRU_HPS_2048_677,26.206120,26.206005,0.016503,23.703732,0.016503
P384_NTRU_HPS_2048_677,23.247806,23.247684,0.024848,21.260956,0.024848
P384_NTRU_HPS_2048_677,22.613081,22.612969,0.017853,20.433185,0.017853
P384_NTRU_HPS_2048_677,19.207778,19.207611,0.011954,16.609464,0.011954
P384_NTRU_HPS_2048_677,23.506730,23.506362,0.011057,21.234953,0.011057
P384_NTRU_HPS_2048_677,21.520550,21.520413,0.017611,19.017539,0.017611
P384_NTRU_HPS_2048_677,20.937296,20.936993,0.008143,18.623930,0.008143
P384_NTRU_HPS_2048_677,23.121800,23.121592,0.022359,18.724466,0.022359
P384_NTRU_HPS_2048_677,20.232544,20.232399,0.008208,18.180722,0.008208
P384_NTRU_HPS_2048_677,18.610509,18.610238,0.013208,15.663167,0.013208
P384_NTRU_HPS_2048_677,25.828234,25.827946,0.020995,20.673710,0.020995
P384_NTRU_HPS_2048_677,24.517396,24.516987,0.008648,21.692233,0.008648
P384_NTRU_HPS_2048_677,24.054983,24.054533,0.029359,17.956756,0.029359
P384_NTRU_HPS_2048_677,22.801029,22.800910,0.016317,20.754504,0.016317
P384_NTRU_HPS_2048_677,26.206517,26.206157,0.021168,20.101902,0.021168
P384_NTRU_HPS_2048_677,19.458185,19.458061,0.008941,17.318089,0.008941
