algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
P384_NTRU_HRSS_701,19.454051,19.453933,0.015412,17.239452,0.015412
P384_NTRU_HRSS_701,25.521983,25.521684,0.025045,20.463709,0.025045
P384_NTRU_HRSS_701,27.104432,27.104255,0.018909,23.439078,0.018909
P384_NTRU_HRSS_701,20.793012,20.792714,0.022891,16.832545,0.022891
P384_NTRU_HRSS_701,24.820100,24.819815,0.017065,20.292140,0.017065
P384_NTRU_HRSS_701,30.393574,30.393263,0.021764,25.674118,0.021764
P384_NTRU_HRSS_701,25.707669,25.707279,0.032540,19.261296,0.032540
P384_NTRU_HRSS_701,20.208164,20.208059,0.016526,17.962192,0.016526
P384_NTRU_HRSS_701,23.518682,23.518566,0.013857,21.206253,0.013857
P384_NTRU_HRSS_701,19.252474,19.252308,0.015724,16.282194,0.015724
P384_NTRU_HRSS_701,20.983932,20.983816,0.020959,18.719311,0.020959
P384_NTRU_HRSS_701,20.017709,20.017591,0.009173,17.874097,0.009173
P384_NTRU_HRSS_701,26.237873,26.237464,0.030075,18.913120,0.030075
P384_NTRU_HRSS_701,24.344026,24.343585,0.027101,20.551336,0.027101
P384_NTRU_HRSS_701,21.744189,21.743837,0.010038,19.342979,0.010038
P384_NTRU_HRSS_701,22.591154,22.591036,0.008590,20.422142,0.008590
P384_NTRU_HRSS_701,21.047076,21.046967,0.022912,18.819252,0.022912
P384_NTRU_HRSS_701,22.154355,22.154057,0.013688,19.205045,0.013688
P384_NTRU_HRSS_701,20.367046,20.366925,0.014801,18.050932,0.014801
P384_NTRU_HRSS_701,20.344144,20.344027,0.017260,18.180152,0.017260
P384_NTRU_HRSS_701,18.416351,18.416201,0.016833,15.798190,0.016833
P384_NTRU_HRSS_701,25.204497,25.204185,0.032264,20.114658,0.032264
P384_NTRU_HRSS_701,24.760018,24.759839,0.019501,20.907896,0.019501
P384_NTRU_HRSS_701,26.510300,26.509909,0.033578,19.899517,0.033578
P384_NTRU_HRSS_701,25.551477,25.551164,0.022826,20.281482,0.022826
P384_NTRU_HRSS_701,30.493298,30.493050,0.017357,25.913495,0.017357
P384_NTRU_HRSS_701,18.570025,18.569909,0.017867,16.463095,0.017867
P384_NTRU_HRSS_701,20.020513,20.020262,0.021412,16.153662,0.021412
P384_NTRU_HRSS_701,20.953475,20.953155,0.022678,17.207637,0.022678
P384_NTRU_HRSS_701,18.646768,18.646576,0.017790,15.719713,0.017790
P384_NTRU_HRSS_701,22.857536,22.857425,0.015049,20.642741,0.015049
P384_NTRU_HRSS_701,18.463509,18.463387,0.018141,16.133462,0.018141
P384_NTRU_HRSS_701,26.093914,26.093523,0.032320,19.500847,0.032320
P384_NTRU_HRSS_701,21.449933,21.449817,0.012934,19.259279,0.012934
P384_NTRU_HRSS_701,23.244872,23.244572,0.009687,20.431331,0.009687
P384_NTRU_HRSS_701,22.307011,22.306615,0.022577,17.363618,0.022577
P384_NTRU_HRSS_701,17.334222,17.334108,0.019998,15.216483,0.019998
P384_NTRU_HRSS_701,20.585346,20.585232,0.024928,18.429526,0.024928
P384_NTRU_HRSS_701,23.134784,23.134444,0.032118,18.686376,0.032118
P384_NTRU_HRSS_701,29.774134,29.773781,0.029318,23.064958,0.029318
P384_NTRU_HRSS_701,20.590860,20.590749,0.021906,18.456628,0.021906
P384_NTRU_HRSS_701,26.745495,26.745180,0.030124,21.046966,0.030124
