algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
P384_Saber_KEM,22.331203,22.331090,0.011053,20.091930,0.011053
P384_Saber_KEM,21.464565,21.464322,0.019539,19.162964,0.019539
P384_Saber_KEM,21.623586,21.623222,0.019263,17.272781,0.019263
P384_Saber_KEM,20.373300,20.373026,0.023410,17.366596,0.023410
P384_Saber_KEM,26.283816,26.283467,0.029120,20.805408,0.029120
P384_Saber_KEM,21.742155,21.742000,0.008344,19.633187,0.008344
P384_Saber_KEM,25.703323,25.702914,0.021618,20.317864,0.021618
P384_Saber_KEM,20.611598,20.611405,0.023454,17.783612,0.023454
P384_Saber_KEM,23.453383,23.453277,0.017923,21.273494,0.017923
P384_Saber_KEM,20.245576,20.245447,0.029672,17.713025,0.029672
P384_Saber_KEM,21.809204,21.809099,0.021137,19.399251,0.021137
P384_Saber_KEM,23.209350,23.209152,0.018396,19.974588,0.018396
P384_Saber_KEM,20.757788,20.757496,0.025793,17.913010,0.025793
P384_Saber_KEM,19.933835,19.933641,0.024015,17.195312,0.024015
P384_Saber_KEM,24.044959,24.044854,0.014997,21.918694,0.014997
P384_Saber_KEM,21.291692,21.291565,0.008976,19.129635,0.008976
P384_Saber_KEM,27.621011,27.620536,0.025253,20.973142,0.025253
P384_Saber_KEM,23.802212,23.802097,0.011132,21.634203,0.011132
P384_Saber_KEM,25.607091,25.606813,0.021299,20.159971,0.021299
P384_Saber_KEM,23.615496,23.615304,0.018396,20.092420,0.018396
P384_Saber_KEM,19.531337,19.531221,0.007959,17.302563,0.007959
P384_Saber_KEM,23.990221,23.989930,0.029189,18.947362,0.029189
P384_Saber_KEM,23.861535,23.861386,0.008528,21.609110,0.008528
P384_Saber_KEM,28.431994,28.431864,0.014133,25.906390,0.014133
P384_Saber_KEM,22.584575,22.584267,0.033544,18.342172,0.033544
P384_Saber_KEM,27.754369,27.754073,0.022960,22.887232,0.022960
P384_Saber_KEM,24.145861,24.145743,0.016668,21.966818,0.016668
P384_Saber_KEM,21.258998,21.258746,0.020371,18.193646,0.020371
P384_Saber_KEM,24.382271,24.381984,0.029800,18.131834,0.029800
P384_Saber_KEM,24.100389,24.100276,0.013582,21.448292,0.013582
P384_Saber_KEM,22.699781,22.699471,0.020021,17.850187,0.020021
P384_Saber_KEM,22.622060,22.621934,0.008221,20.535856,0.008221
P384_Saber_KEM,18.209701,18.209579,0.019159,16.007340,0.019159
P384_Saber_KEM,19.382721,19.382497,0.014864,15.908456,0.014864
P384_Saber_KEM,23.894332,23.894193,0.013962,21.844693,0.013962
P384_Saber_KEM,23.115648,23.115527,0.008192,21.011565,0.008192
P384_Saber_KEM,20.140073,20.139958,0.018989,17.809994,0.018989
P384_Saber_KEM,25.199932,25.199617,0.025466,20.044633,0.025466
P384_Saber_KEM,20.074350,20.074210,0.016302,17.480478,0.016302
P384_Saber_KEM,19.329850,19.329658,0.016582,16.252729,0.016582
P384_Saber_KEM,22.617840,22.617722,0.014986,20.474548,0.014986
P384_Saber_KEM,25.628002,25.627597,0.019708,20.348149,0.019708
P384_Saber_KEM,17.761535,17.761411,0.008901,15.585886,0.008901
P384_Saber_KEM,17.247300,17.247142,0.009953,15.154353,0.009953
P384_Saber_KEM,25.892932,25.892602,0.021651,20.735078,0.021651
P384_Saber_KEM,19.222439,19.222171,0.020217,15.518191,0.020217
P384_Saber_KEM,23.020371,23.020256,0.019210,20.859375,0.019210
P384_Saber_KEM,24.777191,24.776798,0.033330,18.000042,0.033330
P384_Saber_KEM,27.687911,27.687518,0.024233,20.871169,0.024233
P384_Saber_KEM,28.546884,28.546625,0.024305,24.410572,0.024305
P384_Saber_KEM,23.255527,23.255147,0.026518,18.351280,0.026518
P384_Saber_KEM,26.104524,26.104105,0.034184,19.032465,0.034184
P384_Saber_KEM,31.247195,31.246903,0.021336,27.056786,0.021336
P384_Saber_KEM,19.225461,19.225321,0.015141,16.551389,0.015141
P384_Saber_KEM,20.453965,20.453707,0.018046,16.359224,0.018046
P384_Saber_KEM,30.069996,30.069665,0.019143,24.872186,0.019143
P384_Saber_KEM,26.710351,26.709977,0.045825,20.088365,0.045825
P384_Saber_KEM,20.999389,20.999090,0.016045,16.506143,0.016045
P384_Saber_KEM,20.020611,20.020240,0.009390,17.634853,0.009390
P384_Saber_KEM,21.186076,21.185962,0.017966,17.320221,0.017966
P384_Saber_KEM,25.048778,25.048449,0.029455,20.826721,0.029455
P384_Saber_KEM,21.477529,21.477416,0.020188,18.964988,0.020188
P384_Saber_KEM,19.741156,19.740883,0.013511,16.428701,0.013511
P384_Saber_KEM,20.807984,20.807824,0.015606,18.599046,0.015606
P384_Saber_KEM,19.787784,19.787657,0.013481,17.500543,0.013481
P384_Saber_KEM,27.297746,27.297359,0.026733,20.570126,0.026733
P384_Saber_KEM,28.617509,28.617206,0.015346,24.196728,0.015346
P384_Saber_KEM,18.252958,18.252850,0.019931,16.038588,0.019931
P384_Saber_KEM,17.848982,17.848855,0.012960,15.823027,0.012960
P384_Saber_KEM,20.437630,20.437464,0.018610,18.081822,0.018610
P384_Saber_KEM,27.306834,27.306454,0.030063,20.728847,0.030063
P384_Saber_KEM,23.113785,23.113627,0.010258,21.044148,0.010258
P384_Saber_KEM,19.367560,19.367297,0.011126,16.952847,0.011126
P384_Saber_KEM,21.207699,21.207335,0.008759,18.015074,0.008759
P384_Saber_KEM,24.864816,24.864449,0.030059,20.849286,0.030059
P384_Saber_KEM,17.878163,17.878019,0.008034,15.856105,0.008034
P384_Saber_KEM,19.757186,19.757073,0.008222,17.518445,0.008222
P384_Saber_KEM,19.961225,19.961122,0.009831,17.746067,0.009831
P384_Saber_KEM,26.247869,26.247756,0.024784,21.745095,0.024784
P384_Saber_KEM,22.806442,22.805987,0.018123,18.673070,0.018123
P384_Saber_KEM,19.161891,19.161743,0.007961,17.051820,0.007961
P384_Saber_KEM,19.946498,19.946391,0.018657,17.590593,0.018657
P384_Saber_KEM,18.503313,18.503133,0.016569,15.777324,0.016569
P384_Saber_KEM,26.826142,26.825842,0.014906,22.763395,0.014906
P384_Saber_KEM,18.160246,18.160132,0.019892,15.926773,0.019892
P384_Saber_KEM,19.991657,19.991412,0.016885,16.661403,0.016885
P384_Saber_KEM,19.981334,19.981180,0.015011,17.857360,0.015011
P384_Saber_KEM,20.193308,20.193158,0.011187,17.802559,0.011187
P384_Saber_KEM,25.228863,25.228580,0.020712,20.424850,0.020712
P384_Saber_KEM,23.797654,23.797538,0.012942,21.543077,0.012942
P384_Saber_KEM,21.180901,21.180796,0.021420,18.946954,0.021420
P384_Saber_KEM,21.088256,21.088131,0.021888,18.876676,0.021888
P384_Saber_KEM,20.303709,20.303591,0.011874,17.510800,0.011874
