algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
P384_NTRU_HPS_2048_677,323.577229,323.576841,0.031107,16.320540,0.031107
P384_NTRU_HPS_2048_677,327.102587,327.102154,0.039936,19.483445,0.039936
P384_NTRU_HPS_2048_677,326.551155,326.550769,0.025923,19.289341,0.025923
P384_NTRU_HPS_2048_677,323.463570,323.463167,0.036301,16.238923,0.036301
P384_NTRU_HPS_2048_677,326.402823,326.402398,0.027497,18.747480,0.027497
P384_NTRU_HPS_2048_677,327.248022,327.245748,0.028922,19.840380,0.028922
P384_NTRU_HPS_2048_677,330.307547,330.307107,0.026389,23.147268,0.026389
P384_NTRU_HPS_2048_677,328.330198,328.329780,0.034324,21.099562,0.034324
P384_NTRU_HPS_2048_677,328.399771,328.399335,0.030796,21.157070,0.030796
P384_NTRU_HPS_2048_677,324.946676,324.946247,0.026695,17.663109,0.026695
P384_NTRU_HPS_2048_677,326.435472,326.435056,0.027300,19.096236,0.027300
P384_NTRU_HPS_2048_677,329.465675,329.465253,0.031016,21.924339,0.031016
P384_NTRU_HPS_2048_677,326.139966,326.139531,0.027814,18.769347,0.027814
P384_NTRU_HPS_2048_677,325.905067,325.904631,0.027411,18.581811,0.027411
P384_NTRU_HPS_2048_677,328.481137,328.480701,0.027658,20.884365,0.027658
P384_NTRU_HPS_2048_677,327.268639,327.268225,0.027297,20.002780,0.027297
P384_NTRU_HPS_2048_677,323.108090,323.107673,0.036839,15.870897,0.036839
P384_NTRU_HPS_2048_677,329.774403,329.773965,0.027352,22.537709,0.027352
P384_NTRU_HPS_2048_677,324.742909,324.742490,0.032635,17.205549,0.032635
P384_NTRU_HPS_2048_677,327.956414,327.956013,0.029069,20.180744,0.029069
P384_NTRU_HPS_2048_677,327.839559,327.839145,0.029106,20.361491,0.029106
P384_NTRU_HPS_2048_677,329.533338,329.532883,0.028792,21.617054,0.028792
P384_NTRU_HPS_2048_677,326.997935,326.997510,0.030439,19.379892,0.030439
P384_NTRU_HPS_2048_677,325.448447,325.448029,0.031168,17.314997,0.031168
P384_NTRU_HPS_2048_677,327.561548,327.561123,0.028283,18.988816,0.028283
P384_NTRU_HPS_2048_677,326.959758,326.959315,0.028822,20.036831,0.028822
P384_NTRU_HPS_2048_677,329.216054,329.215613,0.029257,21.409658,0.029257
P384_NTRU_HPS_2048_677,325.524601,325.524180,0.034370,18.241959,0.034370
P384_NTRU_HPS_2048_677,327.855698,327.855287,0.028867,20.350671,0.028867
P384_NTRU_HPS_2048_677,330.817225,330.816826,0.027177,23.243707,0.027177
P384_NTRU_HPS_2048_677,328.658322,328.657896,0.027653,21.695828,0.027653
P384_NTRU_HPS_2048_677,325.806744,325.806319,0.033326,18.297981,0.033326
P384_NTRU_HPS_2048_677,329.660819,329.660392,0.027094,22.200091,0.027094
P384_NTRU_HPS_2048_677,327.156848,327.156431,0.026903,19.870572,0.026903
P384_NTRU_HPS_2048_677,327.780138,327.779732,0.031675,20.128687,0.031675
P384_NTRU_HPS_2048_677,331.383013,331.382593,0.045079,24.037626,0.045079
P384_NTRU_HPS_2048_677,327.686674,327.686243,0.030009,20.309738,0.030009
P384_NTRU_HPS_2048_677,329.882746,329.882313,0.028663,22.419944,0.028663
P384_NTRU_HPS_2048_677,333.636036,333.635591,0.025824,26.381432,0.025824
P384_NTRU_HPS_2048_677,326.327584,326.327140,0.027268,18.854461,0.027268
P384_NTRU_HPS_2048_677,324.631342,324.630902,0.031888,17.389727,0.031888
P384_NTRU_HPS_2048_677,329.249111,329.248695,0.026728,21.989563,0.026728
P384_NTRU_HPS_2048_677,328.743365,328.742908,0.027535,21.603962,0.027535
P384_NTRU_HPS_2048_677,328.723496,328.723074,0.035391,21.237999,0.035391
P384_NTRU_HPS_2048_677,326.752864,326.752434,0.033153,19.606633,0.033153
P384_NTRU_HPS_2048_677,330.148577,330.148162,0.033308,21.886639,0.033308
P384_NTRU_HPS_2048_677,326.641555,326.641132,0.029314,18.987591,0.029314
P384_NTRU_HPS_2048_677,327.744356,327.743929,0.026600,20.762618,0.026600
P384_NTRU_HPS_2048_677,327.012840,327.012413,0.033360,19.596422,0.033360
P384_NTRU_HPS_2048_677,325.496824,325.496402,0.030204,17.884029,0.030204
P384_NTRU_HPS_2048_677,333.953816,333.953333,0.036564,25.336463,0.036564
P384_NTRU_HPS_2048_677,326.587685,326.587256,0.028395,19.224074,0.028395
P384_NTRU_HPS_2048_677,329.116373,329.115989,0.034556,21.435014,0.034556
P384_NTRU_HPS_2048_677,324.749401,324.748968,0.034150,17.065127,0.034150
P384_NTRU_HPS_2048_677,326.498857,326.498441,0.033610,18.561632,0.033610
P384_NTRU_HPS_2048_677,327.246362,327.245951,0.075479,18.111906,0.075479
P384_NTRU_HPS_2048_677,325.283905,325.283481,0.035171,17.131672,0.035171
P384_NTRU_HPS_2048_677,324.584955,324.584535,0.034460,16.032795,0.034460
P384_NTRU_HPS_2048_677,324.675259,324.674842,0.026653,17.455831,0.026653
P384_NTRU_HPS_2048_677,327.604860,327.604453,0.039663,20.145338,0.039663
P384_NTRU_HPS_2048_677,324.484809,324.484395,0.028394,17.044098,0.028394
P384_NTRU_HPS_2048_677,325.910847,325.910420,0.029119,17.620960,0.029119
P384_NTRU_HPS_2048_677,329.613181,329.612754,0.026566,21.608910,0.026566
P384_NTRU_HPS_2048_677,328.201519,328.201133,0.026432,20.508437,0.026432
P384_NTRU_HPS_2048_677,323.770524,323.770083,0.044308,16.180349,0.044308
P384_NTRU_HPS_2048_677,328.787296,328.786872,0.027303,21.079039,0.027303
P384_NTRU_HPS_2048_677,327.671063,327.670637,0.041374,19.683218,0.041374
P384_NTRU_HPS_2048_677,332.808895,332.808472,0.033743,24.811435,0.033743
P384_NTRU_HPS_2048_677,327.481482,327.481046,0.026759,19.645716,0.026759
P384_NTRU_HPS_2048_677,324.632173,324.631794,0.033605,16.967515,0.033605
P384_NTRU_HPS_2048_677,325.502905,325.502407,0.028365,17.361631,0.028365
P384_NTRU_HPS_2048_677,328.073367,328.072950,0.026936,19.838852,0.026936
P384_NTRU_HPS_2048_677,329.312183,329.311745,0.032911,21.219974,0.032911
P384_NTRU_HPS_2048_677,328.576529,328.576099,0.031761,20.790942,0.031761
P384_NTRU_HPS_2048_677,327.807041,327.806619,0.033241,20.163488,0.033241
P384_NTRU_HPS_2048_677,331.416030,331.415599,0.027926,23.625170,0.027926
P384_NTRU_HPS_2048_677,328.611081,328.610659,0.030405,20.779077,0.030405
P384_NTRU_HPS_2048_677,327.829808,327.829389,0.031395,19.672872,0.031395
P384_NTRU_HPS_2048_677,324.398966,324.398543,0.029833,16.701330,0.029833
P384_NTRU_HPS_2048_677,327.870224,327.869803,0.028040,20.712264,0.028040
P384_NTRU_HPS_2048_677,327.781751,327.781354,0.031231,20.808711,0.031231
P384_NTRU_HPS_2048_677,323.462232,323.461811,0.027232,15.793057,0.027232
P384_NTRU_HPS_2048_677,325.417606,325.417177,0.028558,17.431639,0.028558
P384_NTRU_HPS_2048_677,323.861510,323.861078,0.028716,16.651522,0.028716
P384_NTRU_HPS_2048_677,325.438093,325.437667,0.034126,17.751740,0.034126
P384_NTRU_HPS_2048_677,327.889983,327.889544,0.029188,19.945627,0.029188
P384_NTRU_HPS_2048_677,332.606912,332.606499,0.034710,24.473753,0.034710
P384_NTRU_HPS_2048_677,326.404108,326.403690,0.032610,18.523989,0.032610
P384_NTRU_HPS_2048_677,328.931892,328.931479,0.027421,20.361316,0.027421
P384_NTRU_HPS_2048_677,327.860203,327.859785,0.033050,20.573169,0.033050
P384_NTRU_HPS_2048_677,325.990888,325.990448,0.033647,18.602787,0.033647
P384_NTRU_HPS_2048_677,325.407690,325.407273,0.026933,18.273894,0.026933
P384_NTRU_HPS_2048_677,325.730657,325.730241,0.033654,18.341989,0.033654
P384_NTRU_HPS_2048_677,325.400894,325.400494,0.034213,17.442261,0.034213
P384_NTRU_HPS_2048_677,331.697480,331.697072,0.038942,24.188984,0.038942
P384_NTRU_HPS_2048_677,322.666107,322.665669,0.028889,15.363923,0.028889
P384_NTRU_HPS_2048_677,323.560974,323.560552,0.028354,16.324603,0.028354
P384_NTRU_HPS_2048_677,328.770594,328.770178,0.041893,20.509865,0.041893
P384_NTRU_HPS_2048_677,323.021059,323.020656,0.027755,15.783230,0.027755
P384_NTRU_HPS_2048_677,330.728726,330.728290,0.027075,23.611307,0.027075
P384_NTRU_HPS_2048_677,323.602943,323.602515,0.034094,16.471784,0.034094
P384_NTRU_HPS_2048_677,326.261709,326.261289,0.031374,18.840286,0.031374
P384_NTRU_HPS_2048_677,325.819793,325.819390,0.029211,18.196683,0.029211
P384_NTRU_HPS_2048_677,325.360044,325.359637,0.033522,18.047087,0.033522
P384_NTRU_HPS_2048_677,327.152779,327.152359,0.027961,19.452988,0.027961
P384_NTRU_HPS_2048_677,324.426499,324.426120,0.031492,17.178111,0.031492
P384_NTRU_HPS_2048_677,326.935431,326.934815,0.041531,19.259010,0.041531
P384_NTRU_HPS_2048_677,329.294696,329.294248,0.029332,21.570093,0.029332
P384_NTRU_HPS_2048_677,325.970559,325.970139,0.026664,18.610427,0.026664
P384_NTRU_HPS_2048_677,324.367447,324.367041,0.033477,17.108024,0.033477
P384_NTRU_HPS_2048_677,325.499520,325.499129,0.025739,18.642018,0.025739
P384_NTRU_HPS_2048_677,326.792026,326.791609,0.026887,19.084360,0.026887
