algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
IBE-KEM-PDK 384,22.107759,22.107655,0.028987,17.954930,0.028987
IBE-KEM-PDK 384,15.543790,15.543652,0.018783,11.645840,0.018783
IBE-KEM-PDK 384,18.484415,18.484260,0.024263,14.138932,0.024263
IBE-KEM-PDK 384,21.129566,21.129447,0.024277,16.934077,0.024277
IBE-KEM-PDK 384,18.422102,18.421999,0.019947,14.314485,0.019947
IBE-KEM-PDK 384,20.452427,20.452316,0.026359,15.935357,0.026359
IBE-KEM-PDK 384,22.980753,22.980636,0.035306,18.137452,0.035306
IBE-KEM-PDK 384,27.231168,27.230860,0.057430,20.669100,0.057430
IBE-KEM-PDK 384,32.096936,32.096727,0.030372,27.021186,0.030372
IBE-KEM-PDK 384,30.303750,30.303558,0.030642,25.271188,0.030642
IBE-KEM-PDK 384,22.618235,22.617992,0.046184,16.729826,0.046184
IBE-KEM-PDK 384,25.371743,25.371440,0.039727,18.944025,0.039727
IBE-KEM-PDK 384,20.777944,20.777823,0.024103,15.826523,0.024103
IBE-KEM-PDK 384,15.724214,15.724096,0.034693,11.798166,0.034693
IBE-KEM-PDK 384,30.736704,30.736475,0.052279,25.541782,0.052279
IBE-KEM-PDK 384,16.403315,16.403188,0.024217,12.273263,0.024217
IBE-KEM-PDK 384,20.788530,20.788334,0.021916,16.637173,0.021916
IBE-KEM-PDK 384,25.222072,25.221914,0.030721,20.885776,0.030721
IBE-KEM-PDK 384,25.173283,25.172986,0.041737,19.053415,0.041737
IBE-KEM-PDK 384,22.203773,22.203670,0.020015,18.173198,0.020015
IBE-KEM-PDK 384,24.401710,24.401455,0.040089,19.125377,0.040089
IBE-KEM-PDK 384,17.525692,17.525572,0.023128,13.625524,0.023128
IBE-KEM-PDK 384,30.063607,30.063407,0.034942,25.205441,0.034942
IBE-KEM-PDK 384,15.907898,15.907747,0.026631,11.564490,0.026631
IBE-KEM-PDK 384,16.748590,16.748442,0.027875,12.308860,0.027875
IBE-KEM-PDK 384,27.052774,27.052671,0.046744,21.892658,0.046744
IBE-KEM-PDK 384,22.500089,22.499965,0.124522,18.135765,0.124522
IBE-KEM-PDK 384,19.339949,19.339824,0.030734,15.364859,0.030734
IBE-KEM-PDK 384,23.215115,23.215001,0.052181,19.302362,0.052181
IBE-KEM-PDK 384,27.548778,27.548667,0.050459,22.487400,0.050459
IBE-KEM-PDK 384,25.697424,25.697296,0.033171,21.683489,0.033171
IBE-KEM-PDK 384,18.281485,18.281318,0.024555,13.630733,0.024555
IBE-KEM-PDK 384,18.726013,18.725888,0.021698,14.533023,0.021698
IBE-KEM-PDK 384,21.475504,21.475357,0.026896,17.384067,0.026896
IBE-KEM-PDK 384,23.461849,23.461547,0.042009,17.404638,0.042009
IBE-KEM-PDK 384,15.876181,15.876074,0.018366,11.930972,0.018366
IBE-KEM-PDK 384,27.362524,27.362307,0.024695,22.593552,0.024695
IBE-KEM-PDK 384,18.580147,18.580045,0.019889,14.593088,0.019889
