algo,fullProtocolTiming,sendAppTiming,processServerHelloTiming,writeClientHelloTiming,processServerHelloTiming
P384_Kyber768,124.731897,124.731461,0.031786,16.926237,0.031786
P384_Kyber768,126.616747,126.616378,0.036942,18.960263,0.036942
P384_Kyber768,125.631610,125.631235,0.035523,18.071220,0.035523
P384_Kyber768,127.740293,127.739931,0.026167,23.927832,0.026167
P384_Kyber768,127.205233,127.205110,0.015495,24.779991,0.015495
P384_Kyber768,132.645166,132.644772,0.029395,25.882765,0.029395
P384_Kyber768,123.617246,123.616839,0.031651,16.497869,0.031651
P384_Kyber768,126.444975,126.444583,0.029530,19.449309,0.029530
P384_Kyber768,133.222957,133.222609,0.028123,26.172564,0.028123
P384_Kyber768,126.008799,126.008417,0.032160,17.804031,0.032160
P384_Kyber768,128.766056,128.765707,0.029185,21.748769,0.029185
P384_Kyber768,123.021476,123.021079,0.031611,15.871388,0.031611
P384_Kyber768,123.184189,123.183792,0.028620,16.052594,0.028620
P384_Kyber768,129.065401,129.065037,0.024640,22.334028,0.024640
P384_Kyber768,130.903108,130.902720,0.028327,23.905949,0.028327
P384_Kyber768,124.015260,124.014879,0.029436,16.725364,0.029436
P384_Kyber768,126.683389,126.683035,0.029324,19.268414,0.029324
P384_Kyber768,124.891366,124.891017,0.029393,18.017343,0.029393
P384_Kyber768,126.177410,126.176987,0.033850,18.570489,0.033850
P384_Kyber768,130.287215,130.286830,0.046401,22.051780,0.046401
P384_Kyber768,126.196444,126.196064,0.035914,19.343581,0.035914
P384_Kyber768,124.432621,124.432229,0.029354,17.583654,0.029354
P384_Kyber768,125.484532,125.484137,0.028791,18.640825,0.028791
P384_Kyber768,123.859830,123.859444,0.028889,16.677848,0.028889
P384_Kyber768,133.914336,133.913953,0.034583,26.826144,0.034583
P384_Kyber768,122.989411,122.989018,0.028851,16.043397,0.028851
P384_Kyber768,129.800015,129.799627,0.035752,21.947202,0.035752
P384_Kyber768,129.779566,129.779183,0.027871,22.685316,0.027871
P384_Kyber768,125.124611,125.124233,0.031877,18.406521,0.031877
P384_Kyber768,123.389169,123.388778,0.027967,16.449489,0.027967
P384_Kyber768,125.146936,125.146499,0.037309,17.554296,0.037309
P384_Kyber768,125.319571,125.319224,0.034487,18.452786,0.034487
P384_Kyber768,130.567251,130.566857,0.028102,23.102545,0.028102
P384_Kyber768,128.886484,128.886087,0.027790,22.125828,0.027790
P384_Kyber768,133.411207,133.410800,0.036442,25.975183,0.036442
P384_Kyber768,124.301200,124.300847,0.033873,16.841346,0.033873
P384_Kyber768,126.926764,126.926380,0.027687,19.760552,0.027687
P384_Kyber768,125.476390,125.475999,0.033156,18.300289,0.033156
P384_Kyber768,123.469151,123.468770,0.042424,15.931090,0.042424
P384_Kyber768,130.105124,130.104729,0.028450,22.827303,0.028450
P384_Kyber768,123.443390,123.443000,0.030118,16.255855,0.030118
P384_Kyber768,131.724120,131.723723,0.033151,24.508744,0.033151
P384_Kyber768,136.100188,136.099796,0.027746,29.203552,0.027746
P384_Kyber768,124.386579,124.386181,0.029166,17.404725,0.029166
P384_Kyber768,125.655215,125.654817,0.034510,18.252987,0.034510
P384_Kyber768,128.212571,128.212233,0.031603,21.521381,0.031603
P384_Kyber768,126.142305,126.141912,0.035645,19.074032,0.035645
P384_Kyber768,132.984032,132.983646,0.028834,25.955371,0.028834
P384_Kyber768,133.501740,133.501339,0.027751,26.940417,0.027751
P384_Kyber768,132.488301,132.487906,0.030532,25.433078,0.030532
P384_Kyber768,126.792950,126.792520,0.033121,19.720677,0.033121
P384_Kyber768,123.504166,123.503801,0.028065,16.614963,0.028065
P384_Kyber768,132.109320,132.108937,0.032265,24.820501,0.032265
P384_Kyber768,134.111071,134.110681,0.031967,26.970369,0.031967
P384_Kyber768,122.789463,122.789065,0.029876,15.936184,0.029876
